month,fl_geo_corporate_row_count,fl_geo_corporate_gross_positive,fl_geo_corporate_negative_adjustments,fl_geo_corporate_signed_net,broward_ice_action_count,broward_ice_net_action_obligation,all_geo_ice_action_count,all_geo_ice_net_action_obligation,policy_events,policy_source_urls,relationship_basis,causation_status
2025-01,0,0.00,0.00,0.00,1,6777267.00,10,43662143.28,2025-01-27 Florida Legislature TRUMP Act proposal/special session,https://www.flsenate.gov/PublishedContent/Offices/2024-2026/President/Documents/TRUMP_Act.pdf,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-02,45,382500.00,0.00,382500.00,1,2790904.00,11,91611946.50,2025-02-19 Florida announces additional ICE 287(g) agreements,https://www.flgov.com/eog/news/press/2025/governor-ron-desantis-announces-additional-memoranda-agreement-between-florida-law,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-03,38,87500.00,0.00,87500.00,0,0.00,13,49877857.59,,,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-04,0,0.00,0.00,0.00,2,4530283.00,19,67218704.09,,,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-05,0,0.00,0.00,0.00,1,7733800.00,12,81255571.72,2025-05-12 Florida announces plan for new detention facilities and expanded apprehension,https://www.flgov.com/eog/news/press/2025/governor-ron-desantis-highlights-floridas-leadership-immigration-enforcement,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-06,1,1000.00,0.00,1000.00,1,540287.00,5,22214069.11,,,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-07,1,2500.00,0.00,2500.00,0,0.00,8,31721279.26,2025-07-04 Public Law 119-21 enacted,https://www.congress.gov/bill/119th-congress/house-bill/1/text,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-08,0,0.00,0.00,0.00,2,8772350.00,8,65684098.58,,,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-09,9,422500.00,0.00,422500.00,5,6458711.58,25,206730750.11,,,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-10,3,7000.00,0.00,7000.00,0,0.00,1,690000.00,,,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-11,5,151000.00,0.00,151000.00,1,0.00,6,-431791.27,,,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
2025-12,20,592000.00,0.00,592000.00,0,0.00,6,39103490.00,,,"calendar-month co-location only; Florida political rows, federal ICE procurement actions, and policy events have different decision makers and sources",no causal inference
