"row_id","date","stage","finding_ids","evidence_family","establishes","does_not_establish","guidepost_bridge","donor_bridge","procurement_policy_bridge","favorable_treatment_effect","dependency_treatment"
"REA-01","2018-02-16","direct access","13015","ICE FOIA / ICE-FOIA2018-5705","GEO sent a voluntary-work-program litigation letter to ICE Director Homan; OPLA leadership planned to meet GEO counsel","Meeting occurrence, Homan direction to a contracting officer, political motive, reimbursement, or changed treatment","None; predates the documented 2023-2025 B.I.-Guidepost payment years and identifies no Guidepost role","None; no donor or contribution appears","None; litigation-cost engagement under existing contracts, not a selection or award","Neutral at access stage; direct attention alone is compatible with H1 and H0","Same REA episode as later requests and denials; count access once"
"REA-02","2018-03 to 2018-05","agency and congressional-response posture","13015","ICE FOIA / ICE-FOIA2018-5369","In a separate response to Representative Loudermilk, Homan said ICE tracked the litigation and was working with DOJ on an appropriate path","DOJ takeover, representation, reimbursement, or a favorable merits decision","None","None","No named procurement, award, option, or policy decision","Attention only; later record shows denial and referral","Separate correspondence from GEO letter but same litigation issue; not independent influence evidence"
"REA-03","2018-05-30","formal GEO request","13004","court-filed GEO letter","Zoley asked Edge for DOJ defense and reimbursement and forecast $15-$20 million in continued costs","Entitlement, payment, or DOJ agreement","None","None","Existing-contract cost request only","Shows requested relief, not granted relief","Same company campaign and same matter family"
"REA-04","2018-06-21","Aurora merits outcome","13005;13010","ICE denial plus Aurora contract","ICE denied $1,928,433.38 in full; fixed-price, no constructive change, noncognizable fees, and inadequate quantum support were stated","Universal absence of influence or a result on another contract","None","None","No source selection or award","Adverse to favorable-treatment inference on this request","One of three contract-level decisions in one coordinated agency episode"
"REA-05","2018-06-21","Northwest/Tacoma merits outcome","13006;13009","ICE denial plus Northwest contract","ICE denied $595,160.69 in full; contract separately assigns litigation responsibility and cost to GEO","Universal absence of influence or a result on another contract","None","None","No source selection or award","Adverse to favorable-treatment inference on this request","One of three contract-level decisions in one coordinated agency episode"
"REA-06","2018-06-21","Adelanto merits outcome","13007;13014","ICE denial plus Adelanto IGSA","ICE denied $139,059.96 in full; IGSA requires written changes and prospective rate adjustments","Universal absence of influence or a result on another contract","None","None","No source selection or award","Adverse to favorable-treatment inference on this request","One of three contract-level decisions in one coordinated agency episode"
"REA-07","2018-07-09 to 2018-07-23","final response and referral","13008","ICE/court-filed Edge response and ICE counsel email","Edge confirmed all three denials; DOJ points of contact were supplied; ICE counsel described responses as final and sent","DOJ representation, payment, reconsideration, or merits relief","None","None","No procurement or policy action","Low-weight consistent with ordinary compartmentalized H0; neutral to #337's later network proposition","Representative summary used for database ACH; dependency-collapses the three denial letters"
"REA-08","2023-2025 and 2025 filing","later Homan and Guidepost ledgers","12983","OGE and SEC","Homan disclosed Guidepost Solutions and suffix-free GEO Care as consulting sources; B.I. separately reported Guidepost payments","Homan personnel role on the B.I. engagement or payment route from B.I. to Homan","No bridge from the 2018 government contact to the later separate ledgers","None","No named procurement or policy action","No favorable-treatment inference","Retains prior one-cluster treatment; not multiplied by the 2018 Homan identity"
"REA-09","multi-cycle through 2026-07-14","donor identity context","12984;12985","FEC and SEC","Broad personal receipt ledger for SEC-bounded GEO roster plus an ambiguity exclusion control","Motive, access, reimbursement, coordination, or influence in the REA episode","None","No decision-path actor or contribution link","No named procurement or policy action","Neutral","One identity-ledger context, not one vote per person or receipt"

