search_date,source,query_or_scope,returned_or_reviewed,relevant_result,negative_boundary,limitations,artifact_or_log_reference
"2026-07-14","CourtListener cases","Exact phrase combination: David Venturella + The GEO Group; filed after 2026-05-18","2 records","Washington v. The GEO Group, Inc.; second result was semantic spillover","One relevant GEO case located","Index behavior; date and result-set limits; not sealed or unindexed material","investigations/geo-group/sources/2026-07-14-lead-59360/courtlistener-cases-venturella-geo-postreturn.json; search_log #4512"
"2026-07-14","CourtListener party search","Exact party David Venturella; filed after 2026-05-18","First 100 records","No returned JSON record named The GEO Group","No GEO match in the capped returned party-search page","100-result cap and party indexing; separate combined query found Washington","investigations/geo-group/sources/2026-07-14-lead-59360/courtlistener-party-venturella-postreturn.json; search_log #4513"
"2026-07-14","CourtListener cases","Exact name David Venturella; filed after 2026-05-18","50 records","Mostly official-capacity immigration cases","Broad post-return case coverage","Result cap; captions do not establish conduct","investigations/geo-group/sources/2026-07-14-lead-59360/courtlistener-cases-venturella-postreturn.json; search_log #4514"
"2026-07-14","CourtListener RECAP","Exact name David Venturella; filed after 2026-05-18","50 records","Arias and Washington resolved separately","Broad post-return filing coverage","Result cap; party and filing text vary; captions are not conduct","investigations/geo-group/sources/2026-07-14-lead-59360/courtlistener-recap-venturella-postreturn.json; search_log #4515"
"2026-07-14","Federal Register","Exact David J. Venturella; 2025-01-20 through 2026-07-14","0","None","No exact-name notice located","Name/index coverage only; no agency personnel or delegation files","investigations/geo-group/sources/2026-07-14-lead-59360/federal-register-david-j-venturella.json"
"2026-07-14","Federal Register","Exact David Venturella; 2025-01-20 through 2026-07-14","0","None","No exact-name notice located","Name/index coverage only","investigations/geo-group/sources/2026-07-14-lead-59360/federal-register-david-venturella.json"
"2026-07-14","GovInfo CHRG","Exact David Venturella","3 historical records","Historical 2005/2009 hearing material","No current-period hearing hit","Collection and OCR indexing limits","investigations/geo-group/sources/2026-07-14-lead-59360/govinfo-chrg-david-venturella.json; search_log #4503"
"2026-07-14","GovInfo CRPT","Exact David Venturella","3 historical records","Historical 2005–2007 report material","No current-period report hit","Collection and OCR indexing limits","investigations/geo-group/sources/2026-07-14-lead-59360/govinfo-crpt-david-venturella.json; search_log #4504"
"2026-07-14","GovInfo CPRT/CDOC","Exact David Venturella","0 / 0","None","No committee-print or congressional-document hit","Does not cover all congressional correspondence","investigations/geo-group/sources/2026-07-14-lead-59360/govinfo-cprt-david-venturella.json; investigations/geo-group/sources/2026-07-14-lead-59360/govinfo-cdoc-david-venturella.json; search_log #4505–#4506"
"2026-07-14","Congress.gov nominations","119th Congress nominations endpoint; first/current page of 250 checked for Venturella","250 nominations","None","No Venturella match in reviewed page","Result cap; non-nomination personnel mechanisms and later records excluded","investigations/geo-group/sources/2026-07-14-lead-59360/congress-119-nominations.json"
"2026-07-14","ProPublica federal disclosures","Name search Venturella","0","None","No record returned","Third-party index is not the agency ethics file and does not prove no filing","investigations/geo-group/sources/2026-07-14-lead-59360/propublica-disclosures-venturella.json"
"2026-07-13","OGE public individual-disclosure collection","Name search David Venturella","0","None","No public-collection record returned","OGE says other officials' public records may be held by employing agency; see finding #12539","finding #12539 / lead #58985 source archive"
"2026-07-14","ICE/DHS official-domain web search","June 10, 2026 + Venturella + response","0 relevant responses","Original Warren letter surfaced, no agency response","No public ICE/DHS response located","Search-engine indexing and nonpublic correspondence limits","search_log #4516–#4517"
"2026-07-14","Warren official-domain web search","David Venturella + response + June 10, 2026","0 relevant responses","Original request/press material only","No published response located on Warren site","Search-engine indexing and later publication limits","search_log #4518"
"2026-07-14","SEC EDGAR GEO proxy review","GEO CIK 0000923796; DEF 14A filed 2026-03-19; exact Venturella search","1 name occurrence","Historical 2021 non-CEO NEO list","No current Venturella holding, vesting, consulting, or payment disclosure in proxy","Proxy disclosure thresholds and former-executive reporting limits","investigations/geo-group/sources/2026-07-14-lead-59360/geo-2026-def14a.html; search_log #4519"
"2026-07-14","HigherGov","Not queried","0","None","No coverage claim","Credential rotation prohibition for this wave","Not applicable"
