a | open-record-runnable | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
a | open-record-runnable | The Aliyev family–contractor network (2013) | report-01-offshore-leaks-canon.md
b | re-anchoring | Bayartsogt Sangajav’s undeclared company and Swiss account (2013) | report-01-offshore-leaks-canon.md
a | open-record-runnable | China Leaks (2014) | report-01-offshore-leaks-canon.md
a | open-record-runnable | LuxLeaks (2014) | report-01-offshore-leaks-canon.md
b | re-anchoring | Swiss Leaks (2015) | report-01-offshore-leaks-canon.md
a | open-record-runnable | Panama Papers (2016) | report-01-offshore-leaks-canon.md
c | leak-dependent | The Putin-circle cello network (2016) | report-01-offshore-leaks-canon.md
a | open-record-runnable | Iceland’s prime minister and Wintris (2016) | report-01-offshore-leaks-canon.md
c | leak-dependent | Mossack Fonseca’s sanctions and compliance behavior (2016) | report-01-offshore-leaks-canon.md
a | open-record-runnable | Bahamas Leaks (2016) | report-01-offshore-leaks-canon.md
a | open-record-runnable | Paradise Papers (2017) | report-01-offshore-leaks-canon.md
c | leak-dependent | Appleby’s repeated compliance failures (2017) | report-01-offshore-leaks-canon.md
a | open-record-runnable | Wilbur Ross, Navigator and Sibur (2017) | report-01-offshore-leaks-canon.md
b | re-anchoring | Apple’s post-Ireland island hop (2017) | report-01-offshore-leaks-canon.md
a | open-record-runnable | Nike’s royalty conduit and the substance test (2017) | report-01-offshore-leaks-canon.md
a | open-record-runnable | West Africa Leaks (2018) | report-01-offshore-leaks-canon.md
b | re-anchoring | Mauritius Leaks (2019) | report-01-offshore-leaks-canon.md
c | leak-dependent | Luanda Leaks (2020) | report-01-offshore-leaks-canon.md
c | leak-dependent | FinCEN Files (2020) | report-01-offshore-leaks-canon.md
c | leak-dependent | HSBC and the WCM Ponzi network (2020) | report-01-offshore-leaks-canon.md
a | open-record-runnable | Britain’s shell-company factories (2020) | report-01-offshore-leaks-canon.md
c | leak-dependent | Kolomoisky’s U.S. property trail (2020) | report-01-offshore-leaks-canon.md
a | open-record-runnable | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
a | open-record-runnable | King Abdullah’s 14 hidden homes (2021) | report-01-offshore-leaks-canon.md
c | leak-dependent | Andrej Babiš’s French estate chain (2021) | report-01-offshore-leaks-canon.md
a | open-record-runnable | South Dakota’s foreign trust vault (2021) | report-01-offshore-leaks-canon.md
b | re-anchoring | Alcogal’s politician-heavy client book and late SARs (2021) | report-01-offshore-leaks-canon.md
b | re-anchoring | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
c | leak-dependent | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
c | leak-dependent | Petr Aven’s same-day $5 million payment (2023) | report-01-offshore-leaks-canon.md
c | leak-dependent | Abramovich’s hidden Chelsea payments (2023) | report-01-offshore-leaks-canon.md
b | re-anchoring | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
unassessed | -> | Extract: turn heterogeneous files into text at leak scale | report-09-meta-methods.md
unassessed | -> | Datashare: self-hosted corpus search rather than a hosted evidence custodian | report-09-meta-methods.md
unassessed | -> | Named entities are candidate pivots, not verified identities | report-09-meta-methods.md
unassessed | -> | Batch search makes hypothesis lists reproducible | report-09-meta-methods.md
unassessed | -> | Scaling is observable and separable | report-09-meta-methods.md
unassessed | -> | Public repository map | report-09-meta-methods.md
unassessed | -> | The graph model preserves investigative roles | report-09-meta-methods.md
unassessed | -> | Provider-specific reverse engineering precedes normalization | report-09-meta-methods.md
unassessed | -> | Public release is deliberately narrower than the leak | report-09-meta-methods.md
unassessed | -> | Updates are investigation-triggered and vintage-specific, not periodic | report-09-meta-methods.md
unassessed | -> | Caveat discipline is part of the interface | report-09-meta-methods.md
unassessed | -> | Correction, pruning, and takedown are distinct | report-09-meta-methods.md
unassessed | -> | “Radical sharing” reverses newsroom default incentives | report-09-meta-methods.md
unassessed | -> | Global I-Hub is the secure virtual newsroom | report-09-meta-methods.md
unassessed | -> | Partners are vetted for behavior as well as skill | report-09-meta-methods.md
unassessed | -> | Embargoes are contractual coordination infrastructure | report-09-meta-methods.md
unassessed | -> | Multilingual fact-checking is federated | report-09-meta-methods.md
unassessed | -> | What is a tool and what is a human capability | report-09-meta-methods.md
unassessed | -> | Panama Papers: two pipelines, one reporting surface | report-09-meta-methods.md
