"row_id","context","finding_ids_or_artifact","dependency_cluster","access_relationship_breadth","temporal_contemporaneity_or_tenure","named_decision_mechanism","procurement_or_enforcement_outcome","H1_reading","H0_reading","diagnostic_weight","hard_boundary"
"W10-01","GEO leadership personal federal receipt identities","12984;12985","donor_identity_ledger","19 of 20 SEC-bounded identities have retained rows; 1335 source receipts total $1632401.60 gross","Identity-scoped, not tenure-scoped; 2026 is YTD through 2026-07-14","None; no access event, request, reimbursement, coordination, or motive","None","Neutral on specific-selection causation; breadth only","Neutral; ordinary personal political participation remains plausible","Low for causation; high for identity method","Count once, not per person or receipt; $302940 is a literal committee-name subset only"
"W10-02","Paul Laird unresolved Trump Victory row","12985","donor_identity_ledger","No added breadth; disputed row excluded","2020-08-31 row conflicts with the SEC career/geography pattern","None","None","Neutral","Neutral","Method control only","Exact employer text alone does not resolve identity; not a separate context from W10-01"
"W10-03","Homan personal-source ledger","12983","homan_two_ledger","OGE establishes personal consulting services associated with Guidepost Solutions and suffix-free GEO Care","Covered period reaches from 2023 to filing on 2025-02-10, but threshold year, service date, last service, receivable, and exact overlap are absent","No project, client-specific DHS screen, authorization, recusal, or participation record","No GEO/B.I./Guidepost procurement or enforcement outcome named","Access adjacency remains, but mechanism is unresolved","Ordinary pre-government consulting remains plausible","Low-to-medium","GEO Care is not merged with The GEO Group or B.I.; Part 4 may reflect payment to an employer"
"W10-04","B.I.-Guidepost corporate ledger and non-bridge","12983","homan_two_ledger","SEC filings establish B.I. payments to Guidepost: $180000 in 2023, $180000 in 2024, $420000 in 2025","Corporate ledger overlaps the broad Homan reporting window, but personnel and exact service dates are absent","No reviewed primary record names Homan on the engagement or routes B.I. payments to him","No decision or outcome linked","Low-to-medium inconsistent with #337's linked cross-function component","Low-to-medium consistent with #338's compartmentalized-practice account","Low-to-medium, bounded negative","Count with W10-03 as one relational test; common Guidepost name is not corroboration"
"W10-05","Prior aggregate versus selection synthesis","12939","prior_tier2_synthesis","Dense political-access network already established","Multiple periods, separately bounded in prior matrix","No accepted relationship-to-decision bridge","Aggregate expansion explained more directly than vendor choice; enforcement link absent","Live but lower causal proximity","Substantially less inconsistent for aggregate; weakly less inconsistent for vendor selection","Controlling prior synthesis","Coverage-bounded, not exoneration or probability"
"W10-06","Trump household trade controls","12948;12957","household_trade_control","Household-reportable GEO financial exposure remains established","All annual trade dates occurred amid broad account activity; action-date proximity did not exceed matched controls","No owner, controller, adviser discretion, access, or order-instruction timestamp","No procurement milestone or outcome attributable to a trader","Neutral","Neutral","Low; non-discriminating","Existing #351/#352 tie preserved; broad cadence is not proof of routine management"
"W10-07","Venturella corrected return boundary","12947","venturella_return_boundary","Stronger relationship proximity and ethics relevance","ICE role documented by 2025-03-17, close to scheduled consultancy/vesting dates","No screen, financial disposition, routing, participation, conflict, or recusal-failure record","No named GEO procurement or enforcement act","#355 least inconsistent only as unresolved-boundary formulation","#356 weakened on old long-separation premise but remains plausible","Medium for boundary; neutral on outcome causation","Does not change #12939"
"W10-08","ICE Air decision visibility","run-113 accepted verified set","ice_air_visibility","No political-access actor identified","Lifecycle and current operator periods are documented","Final selection rationale, downstream payment, carrier assignment, and redacted package remain incomplete","Prime/subcontract architecture visible; why CSI/GTI or carriers were selected remains unresolved","Neutral; no actor/contact/intervention","Ordinary architecture least inconsistent in separate visibility ACH, subject to untested assumptions","Low for political causation","Missing bridge is bounded; prime dollars cannot be attributed to GEO"
"W10-09","Checkmate award-specific tasking competition","353;354","checkmate_tasking","Administration-connected lobbying relationship remains established","Engagement postdates key policy, funding, and base-task events","No filing names DHS/ICE, a facility, PIID, solicitation, or official","No Checkmate-linked outcome","#353 has 5/13 inconsistent rows","#354 has 0/13 inconsistent rows","Medium in its bounded contact/chronology scope","No Wave 10 update"
"W10-10","Corporate political payer-selection rule","357;358","political_payer_selection","Centralized corporate payment review and payer rotation remain established","2016, 2024, and 2025 contexts; new individual receipts do not add payer timing","No bank account, award-status checklist, or internal payer-selection rule","No procurement outcome","#357 has 2/14 inconsistent rows","#358 has 0/14 inconsistent rows","Low-to-medium","Individual donor identities are analytically separate from corporate treasury payer selection"
