record_id,date,vehicle,document_or_clause,authenticated_actor,record_type,amount_usd,claim_or_rule,disposition,evidentiary_limit,source_ref
T01,2018-02-14,multi-vehicle,initial REA,GEO,party request,,GEO sought adjustment/legal assistance,request described by later ICE records,"actual request and attachments not acquired",ICE-FOIA:2018-ICLI-00052#Feb-16-email
T01A,2018-02-16,multi-vehicle,ICE internal email about GEO letter and counsel meeting,ICE,agency communication,,GEO letter had reached Director Homan and OPLA leadership planned to meet GEO counsel,agency awareness/access,"does not establish favorable action influence reimbursement or DOJ representation",ICE-FOIA:2018-ICLI-00052#5705
T01B,2018-04,multi-vehicle,Homan response to Representative Barry Loudermilk,ICE,agency communication,,ICE tracking litigation and working with DOJ to determine appropriate path,agency/congressional response posture,"copy is undated; May 17 email describes it as from last month; not a DOJ representation or payment decision",ICE-FOIA:2018-ICLI-00052#5369
T02,2018-04-18,HSCEDM-11-D-00003,Aurora updated REA,GEO,party request,1928433.38,constructive change/incomplete specifications,denied 2018-06-21,"amount and theory authenticated through ICE denial; actual REA not acquired",ICE-FOIA:2018-ICLI-00052#6054-6055
T03,2018-04-18,HSCEDM-15-D-00015,Northwest updated REA,GEO,party request,595160.69,constructive change/incomplete specifications,denied 2018-06-21,"includes Chen 113123.35 and Washington 482037.44; actual REA not acquired",ICE-FOIA:2018-ICLI-00052#6056-6058
T04,2018-04-18,EROIGSA-11-0003,Adelanto updated REA,GEO,party request,139059.96,constructive change/incomplete specifications,denied 2018-06-21,"amount and theory authenticated through ICE denial; actual REA not acquired",ICE-FOIA:2018-ICLI-00052#6059-6061
T05,2018-05-30,multi-vehicle,Zoley letter to Peter T. Edge,GEO,party communication,,requested DOJ defense and reimbursement; forecast 15-20 million continued defense,received and answered by ICE,"authenticates statement not entitlement/forecast",RECAP:Novoa-DE231-2
T06,2018-06-08,multi-vehicle,ICE OPLA email,ICE,agency communication,,AUSA reported GEO/ICE meeting to discuss litigation issues,internal routing/awareness,"does not establish representation or payment",ICE-FOIA:2018-ICLI-00052#5370
T07,2018-06-21,HSCEDM-11-D-00003,Aurora denial,ICE contracting officer,agency final response,1928433.38,no constructive change; fixed-price risk; fees not cognizable; inadequate support,denied in entirety,"denial not merits adjudication by board/court",ICE-FOIA:2018-ICLI-00052#6054-6055
T08,2018-06-21,HSCEDM-15-D-00015,Northwest denial,ICE contracting officer,agency final response,595160.69,no constructive change; fixed-price risk; fees not cognizable; inadequate support,denied in entirety,"denial not merits adjudication by board/court",ICE-FOIA:2018-ICLI-00052#6056-6058
