source,query_or_scope,result_count_or_status,coverage_limit,interpretation
"Federal Register","Exact David J. Venturella","0","Exact-name API search through retrieval date","No indexed exact-name result; not proof no agency instrument exists"
"Federal Register","Exact David Venturella","0","Exact-name API search through retrieval date","Same bounded limit"
"Federal Register","ICE Senior Official Performing the Duties of the Director Venturella","0","Phrase search through retrieval date","No indexed notice located"
"GovInfo CHRG","Exact David J. Venturella","2","Collection search","Historical 2005 and 2009 hearings only"
"GovInfo CRPT","Exact David J. Venturella","3","Collection search","Historical 109th-Congress reports only"
"GovInfo CPRT/CDOC","Exact David J. Venturella","0 / 0","Two collection searches","No 2025-2026 authority or ethics record"
"Congress nominations","Venturella in first 250 records of 119th Congress","0","Capped pull; not exhaustive","No match in reviewed segment"
"Wayback","ICE /leadership 2025-01-01 through 2026-07-14","859 snapshots","Capture availability varies","Three transition captures preserved; archive time is not effective time"
"ICE site search","David Venturella","0","Live site search on 2026-07-14","Leadership page still directly available despite search zero; site search is not comprehensive"
"Government releases corpus","David Venturella","2","Two entries for the same 2026-06-11 event on OPA/USAO pages","Redundant publication is not corroboration"
"OGE public disclosure API","Exact-name filter Venturella","0 filtered of 16,622 total","Central OGE collection only","Does not establish no agency-held public/confidential filing or waiver"
"OGE official-site search","David Venturella plus ethics agreement/waiver/recusal","0 person-specific records","Indexed public OGE pages","No person-specific public record located"
"SEC insider filings","CIK 0001625272, 2022-01-01 through 2026-07-14","2","Form 4 search after identified CIK","No later filing does not establish no later holdings"
"SEC full text","Venturella, 2022-01-01 through 2026-07-14","28 filing hits","May include filings mentioning historical executive lists or exhibits","Not 28 person-specific transactions"
"CourtListener","Exact David J. Venturella post-2025 first 100","100 returned","Capped semantic results; many false positives","No appointment/ethics instrument identified in reviewed result set"
"CourtListener","Venturella GEO combined query","4","Public index/RECAP only","Relevant public material concerned older role history"
"Official DHS/ICE search","David J. Venturella appointment/delegation/succession variants","0 instruments","Public web and indexed official pages","Agency-held records remain possible"
"Official Warren/DHS/ICE search","Response to May 27 letter due June 10","0 responses","Official-domain indexed pages through 2026-07-14","Does not prove no response was sent"
"GAO local archival attempt","B-334562 PDF/HTML","access blocked","Official page reviewed; bot-blocked command-line copy excluded","No fake PDF or Access Denied page treated as evidence"
"eCFR direct page attempt","5 C.F.R. §§ 2634.201-.202, 2635.502-.503, 4601.106","access challenge","Official eCFR API July 10 issue preserved instead","Challenge pages excluded from evidence archive"

