date,case,docket,event,record_type,procedural_effect,evidence_status,source_ref,notes
2025-02-27,Delaney Hall ICE contract,Related context,"GEO announced a 15-year fixed-price ICE award for a 1,000-bed Delaney Hall facility and expected more than $60 million in first-full-year annualized revenue",sworn party declaration,none,party_position,CourtListener:docket:69832594:ECF18-3,"Contract itself not public in RECAP; do not treat all terms as independently verified here"
2025-03-31,City of Newark v. GEO,ESX-L-002510-25,"Newark filed verified complaint and officials attempted inspection access",complaint and declarations,case initiated,allegation,CourtListener:docket:69832594:ECF1-5,"Four counts: two inspection-entry counts and two City Code counts"
2025-03-31,State of New Jersey v. GEO,S-2025-5303,"Municipal search page later listed this as offense date",court metadata,none,direct_record,CourtListener:docket:70610911:ECF1-1,"Actual complaint absent"
2025-04-01,City of Newark v. GEO,2:25-cv-02225,"GEO removed City case to D.N.J.",notice of removal,federal case opened,direct_record,CourtListener:docket:69832594:ECF1,"Separate from later State removal"
2025-04-09,City of Newark v. GEO,2:25-cv-02225,"GEO moved to join ICE and dismiss or require a more definite statement",motion,no merits effect,party_position,CourtListener:docket:69832594:ECF9,"Administratively terminated without prejudice on 2025-10-30"
2025-04-11,City of Newark v. GEO,2:25-cv-02225,"Newark moved for emergency/preliminary relief",motion,no merits effect,party_position,CourtListener:docket:69832594:ECF15,"Later withdrawn; proposed order never signed"
2025-04-15,City of Newark v. GEO,2:25-cv-02225,"GEO opposed preliminary relief and asserted Yearsley, intergovernmental immunity, preemption, and lack of irreparable harm",brief,no merits effect,party_position,CourtListener:docket:69832594:ECF18,"Requested $60 million bond only if injunction issued; no bond ordered"
2025-04-17,City of Newark v. GEO,2:25-cv-02225,"United States noticed possible Statement of Interest; court held hearing",notice and minute entry,no merits effect,direct_record,CourtListener:docket:69832594:ECF23,"Hearing transcript ECF46 unavailable in RECAP"
2025-04-21,City of Newark v. GEO,2:25-cv-02225,"GEO filed permit and certificate response and sought time to redact approximately 2,300-page ICE contract",response and exhibits,no merits effect,party_position,CourtListener:docket:69832594:ECF28,"Exhibits 7-12 unavailable"
2025-04-23,City of Newark v. GEO,2:25-cv-02225,"DOJ filed Statement of Interest saying ICE would schedule needed inspection and expected applicable code compliance",government filing,no merits effect,government_position,CourtListener:docket:69832594:ECF36,"Government urged denial/dismissal based on mootness and opposed joinder"
2025-04-25,City of Newark v. GEO,2:25-cv-02225,"Nine Newark officials inspected Delaney Hall after ICE approval",inspection,access occurred,mixed_agency_record,CourtListener:docket:69832594:ECF47-2,"City identified permit/maintenance items and functioning safety systems"
2025-05-05,City of Newark v. GEO,2:25-cv-02225,"Newark filed supplemental inspection report",agency report,no merits effect,agency_position,CourtListener:docket:69832594:ECF47-2,"Initial report ECF47-1 unavailable"
2025-05-06,City of Newark v. GEO,2:25-cv-02225,"GEO disputed portions of City report and asserted remediation",party response,no merits effect,party_position,CourtListener:docket:69832594:ECF48,"Exhibits B E F unavailable"
2025-05-14,State of New Jersey v. GEO,S-2025-5303,"Municipal case-search page listed issue date and active case status",court metadata,none,direct_record,CourtListener:docket:70610911:ECF1-1,"Same page marked charge status Invalid; significance unexplained"
2025-06-23,State of New Jersey v. GEO,2:25-cv-12007,"GEO removed Newark Municipal Court matter to D.N.J.",notice of removal,federal case opened,party_position,CourtListener:docket:70610911:ECF1,"GEO supplied federal defenses; no court ruling"
2025-06-27,State of New Jersey v. GEO,2:25-cv-12007,"GEO denied apparent N.J.A.C. 5:23-2.31(b) charge and reserved amendment after service",answer,issues joined incompletely,party_position,CourtListener:docket:70610911:ECF4,"Actual complaint still absent"
2025-07-22,CoreCivic v. Murphy,23-2598,"Third Circuit affirmed AB 5207 unconstitutional as applied under intergovernmental immunity",precedential opinion,summary judgment affirmed,holding,CourtListener:docket:67854863:ECF96,"Majority limited holding to federal-only contract-ban market and left neutral conditions open"
2025-08-13,City of Newark v. GEO,2:25-cv-02225,"Newark reported access had occurred and withdrew emergency motion while parties pursued resolution",letter,motion withdrawal requested,direct_record,CourtListener:docket:69832594:ECF53,"Formal withdrawal reflected at ECF57"
2025-08-22,GEO v. Murphy,3:24-cv-04990,"Consent permanent injunction barred enforcement of N.J.S.A. 30:4-8.16(b)(2) against GEO federal immigration-detention contracting",consent order,contract ban enjoined,consent_judgment,CourtListener:docket:68437691:ECF17,"Does not adjudicate local building or fire code"
2025-08-28,GEO v. Murphy,3:24-cv-04990,"District court closed case",text order,case terminated,direct_record,CourtListener:docket:68437691:ECF18,"Consent resolution"
2025-10-30,City of Newark v. GEO,2:25-cv-02225,"Court administratively terminated GEO motion without prejudice and withdrew Newark emergency motion",text order and letter order,motions removed without merits ruling,holding,CourtListener:docket:69832594:ECF56;ECF57,"Response deadline stayed during settlement talks"
2025-12-11,State of New Jersey v. GEO,2:25-cv-12007,"Magistrate judge held status conference",minute entry,no public merits effect,direct_record,CourtListener:docket:70610911,"Last substantive public root-docket event"
2026-04-02,City of Newark v. GEO,2:25-cv-02225,"Court referred parties to mediation before former Judge Noel L. Hillman",mediation order,mediation ordered,holding,CourtListener:docket:69832594:ECF61,"Completion deadline was June 15 2026"
2026-06-26,City of Newark v. GEO,2:25-cv-02225,"Court adjourned June 30 telephone conference sine die",text order,conference adjourned,direct_record,CourtListener:docket:69832594:ECF64,"Latest public filing"
2026-07-14,State of New Jersey v. GEO,2:25-cv-12007,"Fully paginated CourtListener check found no merits motion opinion injunction final judgment or appeal",bounded docket review,none,bounded_negative,CourtListener:docket:70610911,"Docket unterminated; does not exclude sealed/nonpublic activity or indexing lag"
