b | re-anchoring | The Proxy Platform (2011) | report-01-laundromat-canon.md
b | re-anchoring | A bad-tire lawsuit opened the platform (2011) | report-01-laundromat-canon.md
c | leak-dependent | Magnitsky proceeds met a dormant UK company (2011) | report-01-laundromat-canon.md
b | re-anchoring | The Russian Laundromat (2014/2017) | report-01-laundromat-canon.md
a | open-record-runnable | Moldovan courts manufactured the payment key (2014) | report-01-laundromat-canon.md
c | leak-dependent | The 2017 bank leak exposed the destination layer (2017) | report-01-laundromat-canon.md
a | open-record-runnable | The Azerbaijani Laundromat (2017) | report-01-laundromat-canon.md
a | open-record-runnable | Same-day matching flows exposed coordinated shells (2017) | report-01-laundromat-canon.md
a | open-record-runnable | Laundromat payments aligned with reputation lobbying (2017) | report-01-laundromat-canon.md
c | leak-dependent | The Troika Laundromat (2019) | report-01-laundromat-canon.md
c | leak-dependent | Troika’s control plane leaked through routine operations (2019) | report-01-laundromat-canon.md
c | leak-dependent | Sixteen canceled share deals transferred value to Sergei Roldugin (2019) | report-01-laundromat-canon.md
b | re-anchoring | Plunder and Patronage in the Heart of Central Asia (2019) | report-01-laundromat-canon.md
a | open-record-runnable | Cash declarations turned couriers into a transport network (2019) | report-01-laundromat-canon.md
b | re-anchoring | Wires became overseas property (2019) | report-01-laundromat-canon.md
a | open-record-runnable | The Riviera Maya Gang (2020) | report-01-laundromat-canon.md
a | open-record-runnable | “Paul Ionete” was Adrian Tiugan (2020) | report-01-laundromat-canon.md
b | re-anchoring | A loan-and-sale loop washed ATM proceeds through Romanian property (2020) | report-01-laundromat-canon.md
b | re-anchoring | Suisse Secrets (2022) | report-01-laundromat-canon.md
b | re-anchoring | Risk events overlapped live accounts (2022) | report-01-laundromat-canon.md
b | re-anchoring | Venezuela’s PDVSA case graph unlocked Swiss accounts (2022) | report-01-laundromat-canon.md
b | re-anchoring | NarcoFiles: The New Criminal Order (2023) | report-01-laundromat-canon.md
b | re-anchoring | A 1,764-seizure denominator changed the maritime story (2023) | report-01-laundromat-canon.md
c | leak-dependent | Repeated controlled-delivery forms exposed a risky operational pattern (2023) | report-01-laundromat-canon.md
c | leak-dependent | Cyprus Confidential (2023) | report-01-laundromat-canon.md
c | leak-dependent | PwC’s document timestamps crossed the sanctions boundary (2023) | report-01-laundromat-canon.md
c | leak-dependent | Abramovich paid football costs outside Chelsea (2023) | report-01-laundromat-canon.md
b | re-anchoring | Dubai Unlocked (2024) | report-01-laundromat-canon.md
c | leak-dependent | Passport-grade matching reduced Dubai false positives (2024) | report-01-laundromat-canon.md
b | re-anchoring | Afghanistan contractors’ public-money trail ended in Dubai property (2024) | report-01-laundromat-canon.md
unassessed | -> | Aleph corpus-plus-workflow | report-09-meta-methods.md
unassessed | -> | FollowTheMoney interoperability layer | report-09-meta-methods.md
d | closed-platform-dependent | Aleph list cross-reference and human match review | report-09-meta-methods.md
unassessed | -> | Aleph access-class and provenance governance | report-09-meta-methods.md
unassessed | -> | OCCRP ID source catalogue | report-09-meta-methods.md
unassessed | -> | OCCRP ID research-request desk | report-09-meta-methods.md
unassessed | -> | OCCRP ID ticket-to-scraper escalation | report-09-meta-methods.md
unassessed | -> | Distributed member-center acquisition network | report-09-meta-methods.md
unassessed | -> | Annotated evidence-packet fact checking | report-09-meta-methods.md
c | leak-dependent | Laundromat two-store ledger normalization | report-09-meta-methods.md
b | re-anchoring | Suisse Secrets sparse-index enrichment | report-09-meta-methods.md
b | re-anchoring | NarcoFiles multi-level corpus authentication | report-09-meta-methods.md
unassessed | -> | Depth-first forensic archive triage | report-09-meta-methods.md
unassessed | -> | Synonames multilingual name matching | report-09-meta-methods.md
c | leak-dependent | Dubai property merge and title verification | report-09-meta-methods.md
unassessed | -> | Overseas Entities register to UK property join | report-09-meta-methods.md
unassessed | -> | Unreported methods publication channel | report-09-meta-methods.md
unassessed | -> | Six-level leak authentication doctrine | report-09-meta-methods.md
unassessed | -> | Independent fact-checking provenance audit | report-09-meta-methods.md
unassessed | -> | Right-of-reply publication gate | report-09-meta-methods.md
unassessed | -> | Reporters Shield and hostile-jurisdiction review | report-09-meta-methods.md
unassessed | -> | OCCRP corrections process | report-09-meta-methods.md
unassessed | -> | Aleph/FtM open-source ecosystem | report-09-meta-methods.md
unassessed | -> | OCCRP reporter/data utility set | report-09-meta-methods.md
unassessed | -> | VIS typed investigative visual grammar | report-09-meta-methods.md
unassessed | -> | Russian Asset Tracker documentary inclusion rule | report-09-meta-methods.md
unassessed | -> | Funding provenance and firewall control | report-09-meta-methods.md
b | re-anchoring | All the President’s Men: State Projects Handed to Apparent Proxies in Kyrgyzstan (2024) | report-11-state-capture.md
b | re-anchoring | How to Build a Customs Empire (2020) | report-11-state-capture.md
a | open-record-runnable | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
c | leak-dependent | Money for Nothing: South Africa Paid a Firm Millions for Pretending to Manage Its Properties (2020) | report-11-state-capture.md
b | re-anchoring | The 700-Million-Dollar Man (2019) | report-11-state-capture.md
b | re-anchoring | A Real Estate Empire Built on Dark Money (2019) | report-11-state-capture.md
a | open-record-runnable | Azerbaijani First Family Big on Banking (2015) | report-11-state-capture.md
c | leak-dependent | Aliyevs’ Secret Mining Empire (2016) | report-11-state-capture.md
a | open-record-runnable | Azerbaijani Insiders Benefited from Currency Collapse (2016) | report-11-state-capture.md
c | leak-dependent | Montenegro: Buying up Paradise (Part 2) (2014) | report-11-state-capture.md
c | leak-dependent | Montenegro: Prime Minister’s Family Bank Catered to Organized Crime (2014) | report-11-state-capture.md
