date,event,source,evidence_class,procedural_or_substantive_effect,finality_or_limit
2017-12-19,"Novoa filed putative class action against GEO","CourtListener docket 6244853",court_docket_metadata,"Opened C.D. Cal. 5:17-cv-02514","No merits determination"
2019-09-16,"Third amended complaint asserted California wage/UCL/unjust-enrichment and federal/state forced-labor claims","ECF 184",allegation,"Established operative claims and requested relief","Allegations are not holdings"
2019-11-26,"Court certified Adelanto Wage, Adelanto Forced Labor, and Nationwide HUSP classes","ECF 223 summarized in ECF 542 and ECF 561",holding,"Authorized class treatment","Later HUSP decertification"
2021-09-30,"Court decertified Nationwide HUSP Class but retained Adelanto Forced Labor Class","ECF 524 summarized in ECF 542 and ECF 561",holding,"Narrowed class scope","No final merits decision"
2022-01-25,"Court granted plaintiffs summary judgment on California minimum-wage and UCL liability","ECF 542 pp. 20-22, 36",holding,"Adjudicated nonfinal state-law liability against GEO","No damages, restitution, injunction, or final judgment"
2022-01-25,"Court denied both sides summary judgment on unjust enrichment","ECF 542 pp. 21-22, 36",holding,"Reserved benefit/profit issues for factfinder","No unjust-enrichment liability determination"
2022-01-25,"Court denied GEO summary judgment on federal and California trafficking claims","ECF 542 pp. 22-26, 36",holding,"Found jury-sufficient disputes over threats, serious harm, and scienter","Not a forced-labor liability finding"
2022-01-25,"Court dismissed derivative-sovereign-immunity and preemption defenses and GEO declaratory counterclaim","ECF 542 pp. 26-36",holding,"Rejected principal federal-contract defenses at summary judgment","Intergovernmental immunity and other defenses partly unresolved"
2022-01-25,"Court found ICE did not impose a one-dollar ceiling and GEO controlled detainee wages","ECF 542 pp. 16-18",holding,"Interpreted ICE contract and Rule 30(b)(6) testimony against GEO","Contract-period fact does not prove current 2026 terms"
2022-02-22,"GEO moved to stay the entire case pending Nwauzor/Washington appeals","ECF 553 docket entry and ECF 561",party_position,"Placed appellate-overlap question before court","Motion PDF unavailable; order supplies rationale"
2022-03-31,"Court stayed entire case pending Ninth Circuit Nos. 21-36024 and 21-36025","ECF 561",holding,"Paused trial and required 90-day and resolution-triggered reports","JS-6 statistical termination was administrative, not final"
2022-03-31,"Separate order continued trial to October 4, 2022","ECF 562",holding,"Created apparent conflict with full stay","Later clarification made trial motions moot"
2022-08-31,"Court granted clarification and denied pending trial-related motions as moot","ECF 584 docket text; ECF 572 application",holding,"Confirmed stay controlled over trial calendar","ECF 584 PDF unavailable"
2023-03-07,"Ninth Circuit certified state-law questions to Washington Supreme Court","Ninth Circuit order attached to ECF 593",holding,"Extended related appellate proceedings","No direct California merits effect"
2023-03-17,"Novoa plaintiffs urged court to vacate stay and set trial","ECF 591 description of ECF 590",party_position,"Requested resumption","ECF 590 unavailable and no stay-lifting order followed"
2023-12-21,"Washington Supreme Court answered that private-facility detainee workers are MWA employees and exemption does not apply","Opinion attached to ECF 597",holding,"Resolved certified Washington-law questions","Washington law; not itself a California judgment"
2024-03-25,"Parties reported case returned to Ninth Circuit with no opinion yet","ECF 598",party_status,"Stay reporting continued","No new Novoa adjudication"
2025-01-16,"Ninth Circuit affirmed judgments and rejected GEO immunity/preemption defenses","Official Ninth Circuit opinion Nos. 21-36024/21-36025",holding,"Created binding appellate precedent relevant to ECF 561","GEO sought rehearing"
2025-06-16,"Parties reported mandate had not issued because GEO rehearing petition remained pending; United States supported rehearing","ECF 606",party_status,"Last downloadable Novoa status report","Accurate only as of June 2025"
2025-08-13,"Ninth Circuit denied panel and en banc rehearing","Official Ninth Circuit order",holding,"Completed rehearing stage","Supreme Court review followed"
2025-09-15,"Joint Novoa status report docketed","ECF 607 metadata",court_docket_metadata,"Continued quarterly reporting","PDF/text unavailable; contents unknown"
2025-12-15,"Joint Novoa status report docketed","ECF 608 metadata",court_docket_metadata,"Continued quarterly reporting","PDF/text unavailable; contents unknown"
2026-01-09,"GEO filed certiorari petition No. 25-828","Official Supreme Court docket",party_filing,"Sought Supreme Court review of consolidated appeals","Petition not granted or denied as of cutoff"
2026-03-16,"Joint Novoa status report docketed","ECF 609 metadata",court_docket_metadata,"Continued quarterly reporting","PDF/text unavailable; contents unknown"
2026-05-18,"Supreme Court invited Solicitor General views","Official Supreme Court order list and docket",holding,"Kept certiorari petition pending for federal views","No SG brief as of July 14, 2026"
2026-06-15,"Joint Novoa status report docketed","ECF 610 metadata",court_docket_metadata,"Latest Novoa docket event","PDF/text unavailable; cannot quote cert/CVSG rationale"
2026-07-14,"No stay-lifting order, trial, final judgment, damages order, settlement, or dismissal identified in 654-entry docket","Full CourtListener pagination plus official appellate dockets",bounded_negative,"Case remains a nonfinal stayed merits context","Does not negate ECF 542 partial liability ruling"
