evidence_id,finding_id,verification_status,source_cluster,role_or_boundary,edge_state,h1_visibility_failure,h0_ordinary_structure,diagnosticity,disconfirming_effect,decisive_record,boundary
F12892,12892,verified,geo_sec_2024,ground_security_support,"ICE -> CSI legal prime -> GTI support subcontract",inconsistent,consistent,diagnostic_against_h1,"GEO publicly named GTI, CSI, ICE, scope, and option-inclusive term","Executed GTI-CSI subcontract and amendments","Disclosure does not provide instrument number, face value, options exercised, invoices, or payments"
F12893,12893,verified,geo_sec_2024,ground_security_support,"Historical July 2023 emergency CSI-GTI subcontract",inconsistent,consistent,diagnostic_against_h1,"GEO publicly disclosed the prior subcontract and start month","Executed emergency subcontract and payment ledger","Same issuer and document family as F12892/F12894; one dependency cluster"
F12894,12894,verified,geo_sec_2024,economic_visibility,"Approximately $25 million annualized forward estimate",inconsistent,consistent,diagnostic_against_h1,"Some downstream economics were disclosed","GTI-CSI invoices and GEO revenue subledger","Forecast is not realized revenue, minimum guarantee, total value, or option exercise"
F12895,12895,verified,usaspending_prime,legal_prime,"CSI is ICE BPA recipient; $3.6 billion potential ceiling",inconsistent,consistent,diagnostic_against_h1,"Federal recipient and vehicle are directly visible","Signed BPA and current award file","Ceiling is authority, not CSI or GEO revenue"
F12899,12899,verified,usaspending_prime,legal_prime,"Current BPA call names CSI and reports obligations/outlays",inconsistent,consistent,diagnostic_against_h1,"Current legal-prime money is directly visible","Current call and funded CLIN schedule","Obligations, outlays, award value, and downstream payments are different measures"
F12901,12901,verified,usaspending_subaward,subcontract_reporting,"Zero public subaward rows for five exact orders/calls",consistent,neutral,non_diagnostic,"No reporting-duty or exemption evidence makes the zero ambiguous","FSRS applicability determination, reports, exemptions, waivers, and correction history","A zero-row coverage result is not evidence that no subcontract existed"
F12906,12906,verified,agency_court_exhibits,legal_prime_lifecycle,"ICE termination and solicitation cancellation are public",neutral,neutral,non_diagnostic,"Agency actions are visible but do not resolve downstream roles","P00004 award file and cancellation record","Government filing and agency exhibit; not a plaintiff allegation"
F12907,12907,verified,usaspending_lifecycle,legal_prime_lifecycle,"P00005 reinstatement is public but substantive terms are absent",neutral,neutral,non_diagnostic,"Lifecycle visibility does not explain the downstream roster gap","Signed P00005, approval memo, and settlement/reinstatement record","No inference that settlement caused reinstatement"
F12909,12909,verified,usaspending_direct_prime,legal_prime,"GTI appears as direct ICE prime on a separate 2021 emergency contract",inconsistent,consistent,diagnostic_against_h1,"Recipient systems distinguish GTI when GTI is the legal prime","Complete 2021 contract file","Separate historical direct-prime history; not part of the CSI chain"
F12910,12910,verified,usaspending_prime,legal_prime,"Three CSI FSS delivery orders are publicly attributable to CSI",inconsistent,consistent,diagnostic_against_h1,"Prime/order structure and cumulative obligations are visible","Order-level CLINs and downstream payment records","Cross-snapshot sum is not GEO revenue and is dependent on one reporting system"
