context_id,facility,record_year,vehicle_or_case,record_layer,ice_reimbursement_field,contractor_pay_evidence,legal_ceiling_evidence,contractor_discretion_evidence,cost_or_profit_evidence,liability_or_remedy,dependency_control,independence_for_anchor_causation,source_refs,assessment
KAR,Karnes County Civil Detention Facility,2010,EROIGSA-11-0004,contract,"Detainee Work Program Reimbursement $1.00 per day",not established,no ceiling text located,not adjudicated,"separate fixed bed-day rates; work reimbursement separately listed",none reviewed,"ICE IGSA/template; GEO support role; common VWP policy",no,#12986; ICE-CONTRACT:EROIGSA-11-0004#pdf-p4,"Descriptive recurrence only"
BRO,Broward Transitional Center,2009,HSCEDM-09-D-00006,contract,"CLIN 0005 Detainee Volunteer Work Program Wages; 21000 EA at $1.00",not established,no ceiling text located,not adjudicated,award total separate,none reviewed,"ICE direct-contract/template; GEO facility; common VWP policy",no,ICE-CONTRACT:HSCEDM-09-D-00006#pdf-p2,"Descriptive recurrence only"
TAC09,Northwest Detention Center,2009,HSCEDM-10-D-00001,contract,"actual cost of $1.00 per day per detainee; lot ceiling/CO approval",program described as $1,CLIN amount approval is not legal wage ceiling,not adjudicated in this instrument,"$114975 lot amount; $0 obligated on displayed line",none in contract,"ICE template; GEO; same facility as later litigation",no,ICE-CONTRACT:HSCEDM-10-D-00001#pdf-p4,"Cost-allocation language; causal effect unshown"
TAC15,Northwest ICE Processing Center,2015,HSCEDM-15-D-00015,contract,"actual cost of $1.00 per day per detainee; amount ceiling/CO approval",program described as $1,contract field does not state maximum lawful pay,not adjudicated in contract,"$114975 line amount; large detention economics separately reported",none in contract,"ICE template; GEO; continuation at same facility",no,RECAP:Washington-DE16-1#pdf-p6,"Same wording across vehicle generations is template evidence"
TAC-LIT,Northwest ICE Processing Center,2025,Nwauzor/Washington,judicial,program historically linked to $1 schedule,$1 program generated wage dispute,no anchor/ceiling holding in persisted finding,no direct pay-discretion holding in specified findings,"$700m ten-year minimum; $18.6m-$23.5m annual gross profit reported","$17.287m back pay; $5.950m unjust enrichment; injunction",same GEO/ICE facility as contract rows,partial,#12402; #12553; #12554,"Independent liability context but not anchor causation"
AUR,Aurora Contract Detention Facility,2022,Menocal,judicial,"ICE reimbursed at $1 level in underlying record",GEO standardized $1 agreement,"court held ICE did not impose $1 maximum","ICE neither directed nor required $1; GEO could not show government made it pay $1 and no more",another GEO facility reportedly paid up to $4,"$1 agreement unenforceable; merits not final",different court/facility but same GEO/ICE program,yes for discretion; no for anchoring,#12556; #12557; #12559,"Strong negative control against legal-ceiling/mechanical-anchor theory"
ADE,Adelanto ICE Processing Center,2022,Novoa,judicial,"direct contract wording referenced $1 but court found ambiguity",GEO paid $1,"ICE witness: literally no contract limit","court found GEO controlled wages and ICE did not restrict higher pay",profit/competitive-benefit issue reserved,"nonfinal California minimum-wage and UCL liability",different court/facility but same GEO/ICE program,yes for discretion; no for anchoring,#12779; #12780; #12781,"Second direct no-cap/control context"
OTHER-GEO,Unidentified other GEO facility,2022,Menocal doc 380 background,negative_control,"ICE reimbursement reportedly at $1 level",GEO reportedly paid up to $4,no ceiling indicated,observed deviation implies discretion,incremental contractor-funded amount not reconstructed,not a separate damages holding,same firm/program; facility unidentified,partial,2026-07-13-lead-59489 litigation-forensics report,"Within-firm deviation weighs against mechanical determinism; coverage limited"
COMMON-PARENT,ICE detention/VWP system,2009-2015,multiple templates,dependency_control,repeated nominal $1 field,correlated GEO policy choices possible,not applicable,not applicable,common procurement administration,not applicable,"same agency; common PBNDS/VWP policy; repeated wording; same contractor across many facilities",no,contract rows above,"Three schedule copies are not three independent causal tests"

