coverage_id,scope,universe_denominator,key_dockets,analysis_status,full_text_or_posture_coverage,cutoff,open_gap_type,open_gap,existing_db_actions,principal_verified_findings,remaining_rank
UNIVERSE,"75 alias rows / 67 normalized groups","4597 candidates; 1494 exact-party; 1489 confirmed; 5 unresolved","all canonical records","identity-controlled bounded baseline","party + quoted-case + opinion treatment; parent date sharding; canonical court/docket dedupe","2026-07-13","structural/search","not a full PACER/state census; 44 zero-result aliases; FJC failed","lead 59487","12617;12618",""
IDENTITY-5,"generic same-name resolution","5 unresolved","5549851;19415800;19328834;33801649;33802281","unresolved","exact spelling confirmed but GEO lineage not confirmed","2026-07-13","identity","1 Community Alternatives and 4 SECON records","none","","lower"
DOC-AVAILABILITY,"identity-confirmed universe","1489","1087 with RECAP indicator; 402 without RECAP/opinion indicator","indexed availability audited","17 confirmed dockets linked to an opinion cluster; 1087 with RECAP ID or more_docs","2026-07-13","RECAP/PACER","indicator absence is not filing absence; indicator presence is not full-text review","lead 59487","12617;12618",""
DETAINEE-LABOR-NWIPC,"Nwauzor / Washington","labor/wage/TVPA bucket 37","6167009;6159152; Supreme Court 25-828","full merits/remedy/appellate posture","state and Ninth Circuit opinions; district judgment and JMOL; rehearing; cert posture","2026-07-14","appeal","CVSG pending; no Supreme Court merits disposition","lead 59489","12550;12553;12554;12591",""
DETAINEE-LABOR-MENOCAL,"Menocal / Aurora","labor/wage/TVPA bucket 37","4196461; Supreme Court 24-758","developed current posture","certification opinion; ECF 380; Supreme Court Yearsley decision; renewed motion/pretrial record","2026-07-13","PACER/current drift","July 13 order and late ECF 479/481/483-492 unavailable","human action 45; lead 59578","12551;12556;12557;12559;12732;12733;12734","1"
DETAINEE-LABOR-NOVOA,"Novoa / Adelanto","labor/wage/TVPA bucket 37","6244853; CA9 21-36024/21-36025","developed nonfinal merits posture","654 docket entries; ECF 542 partial merits; ECF 561 stay; status reports and appellate sources","2026-07-14","PACER/current drift","ECF 607-610 unavailable; no final judgment/remedy/stay-lift record","human action 57; lead 59678","12779;12780;12781","7"
NWIPC-INSPECTION,"Inslee / parallel DOH","civil-rights/state-regulatory","67606656;69046095;69016834","developed appellate/remand posture","complaint; four opinions; mandate; remand motions; July injunctions; appeal notices","2026-07-14","appeal/contract","new CA9 numbers; ECF 77 Exhibit F contract; State briefs; possible Supreme Court merits docket","human actions 46-47; lead 59856","12736;12737;12738;12739;12740;12741;12742;12743;12744;12745","3"
DEATH-REID,"Reid / Lawrenceville death","routed civil rights; medical/death issue","68639873","developed active posture","258 docket entries; complaint; MTD opinion; Daubert opinion; GEO/officer SJ memorandum","2026-07-13","PACER/sealed/current drift","July 13 settlement outcome; SJ papers/ruling; state record; sealed attachments","human action 44; lead 59676","12728;12729;12730;12731","2"
MEDICAL-CONDITIONS-SAMPLE,"Minneci / Bilal / Pesci / Newsome","25 medical/death + 148 detention-condition routing rows","620567;5364110; selected opinions/dockets","high-priority sample analyzed","full controlling opinions and selected dispositions","2026-07-13","coverage","not full coverage of medical/death or detention-condition denominator","lead 59489","12579;12580;12581","8"
MEDICAL-CONDITIONS-RESIDUAL,"recent/high-score residual","25 medical/death + 148 detention-condition routing rows","70844088;72097949;73178988;66846016;4522862","not yet full-text audited as a cluster","metadata and RECAP indicators only for this audit","2026-07-13","coverage/current drift","complaints and dispositive/current filings require reading; routing labels unverified","none","","8"
FCA-ROYCROFT,"Roycroft Ohio Medicaid","contract/procurement/FCA bucket 15","6238455;6086896","appellate merits/procedural audit complete","both dockets paginated; full authenticated CA6 opinion; acquisition timing checked","2026-07-14","PACER/sealed","complaints; declination paper; invoices; dismissal briefing; district order","human actions 54-56; lead 59854","12768;12769;12770;12771;12772;12773",""
FCA-BURCIAGA,"Burciaga","contract/procurement/FCA bucket 15","6114747","partial because decisive source missing","46 entries paginated; ECF 55; later federal descriptions and DOJ quotation authenticated","2026-07-14","PACER","complaint; ECF 41; ECF 70-75; terminal record; payer/agency/contract/settlement unknown","human action 59; lead 59716","12784;12785;12786;12787;12788","5"
PROCUREMENT-GEO,"GEO v United States BOP protest","targeted record outside later confirmed set","63759997","preliminary/posture complete","published TRO opinion and Rule 41 dismissal reviewed","2026-07-13","scope","BOP not ICE; no ICE procurement-fraud merits judgment","lead 59509","12560;12573;12574;12592;12614",""
PROCUREMENT-SALUS,"CSI v United States / Salus CSRO","external DHS comparator; not GEO-universe case","COFC 25-1338C","developed public-record audit","reported 66-page opinion; public pleadings; 93-source manifest; money/protest matrices","2026-07-14","protected/FOIA/appeal","administrative record; GAO file; signed contract/mods; partners; OCI; political communications; no GEO bridge established","human action 70; lead 62736","12967;12968;12969;12970;12971;12972;12973;12974;12975","10"
NEW-JERSEY,"State/City of Newark v GEO / Delaney Hall","state/local + removed federal cases","70610911;69832594","developed but no merits judgment","both dockets paginated; pleadings; DOJ position; inspections; CoreCivic; mediation","2026-07-14","state/PACER/contract","municipal complaint; complete ICE contract; inspection exhibits; current state disposition","human actions 49-52; lead 59858","12760;12761;12762;12763;12764;12765","6"
SECURITIES-HARTEL,"Hartel","securities/investor bucket 5","17329078","full public merits/settlement posture","132 entries; DE 45; recovered DE 63; complaint/answer; settlement/final/distribution","2026-07-14","agency/contract","ICE reimbursement/equitable-adjustment record behind pleaded theory unauthenticated","lead 63588","12562;12577;12593;12594;12595;12596;12815;12816;12817","4"
EMPLOYEE-WAGE,"systemic employee-payroll sample","89 employment + related labor rows; early seed 53 employment/labor","4228597;4364643;6278044; related state/federal cases","ranked systemic sample complete","California five-case agreement; Lewis; Mayes; Garcia; Perez/Mazzei mapping; controls","2026-07-14","state/PACER/settlement","terminal agreements/orders missing for Lewis; Mayes; Giles; Perez; Mazzei; Burch","lead 59722","12824;12825;12826;12827;12828","9"
LEGACY-COMMERCIAL,"HCC / ARAMARK / Watson / Gilliland / McDougall","early seed 14 contract/commercial; broader universe contract bucket 15","13426410;4669735; selected legacy dockets","ranked residual sample complete","complaints/opinion/FJC/acquisition timing; demand/judgment/settlement labels separated","2026-07-14","PACER/settlement","several complaints; judgments; agreements; exact payments unavailable","lead 59720","12838;12839;12840;12841;12842;12843;12844;12845","lower"
STATE-COURTS,"nonfederal origin and settlement records","outside CourtListener denominator","Newark municipal; California wage; Brunswick County; other state cases","not censused","known state records identified through federal filings and reports","2026-07-14","state access","CourtListener absence is not case absence; clerk/state portal retrieval required","human actions 44;49;57","","6;7;9"
CURRENT-DRIFT,"unterminated and unknown dockets","177 active + 2 unknown","all such rows","snapshot only","status metadata audited but not live-verified","2026-07-13","current drift","post-cutoff filings/cases/transfers/appeals and delayed RECAP contributions","human actions 44-47;57","","1;2;3;7"
