event_id,case,event_date,date_precision,milestone_type,procedural_posture,adversity_class,facility,match_status,source_artifacts,source_finding_ids,event_note,control_eligibility,nearest_action_date,nearest_action_days_signed,nearest_action_days_absolute,nearest_action_award_id,nearest_action_parent_award_id,nearest_action_modification_number,nearest_action_type,nearest_action_obligation,pre90_exposure_days,post90_exposure_days,pre90_count,pre90_net,pre90_positive_mean,pre90_base_count,pre90_positive_mod_count,pre90_deob_count,pre90_zero_mod_count,pre90_option_extension_count,pre90_award_ids,pre90_action_mix,post90_count,post90_net,post90_positive_mean,post90_base_count,post90_positive_mod_count,post90_deob_count,post90_zero_mod_count,post90_option_extension_count,post90_award_ids,post90_action_mix,pre180_exposure_days,post180_exposure_days,pre180_count,pre180_net,pre180_positive_mean,pre180_base_count,pre180_positive_mod_count,pre180_deob_count,pre180_zero_mod_count,pre180_option_extension_count,pre180_award_ids,pre180_action_mix,post180_count,post180_net,post180_positive_mean,post180_base_count,post180_positive_mod_count,post180_deob_count,post180_zero_mod_count,post180_option_extension_count,post180_award_ids,post180_action_mix,observed_count_difference,observed_net_difference,permutation_candidate_days,permutation_p_count_raw,permutation_p_count_holm,permutation_p_net_raw,permutation_p_net_holm,permutation_p_proximity_raw,permutation_p_proximity_holm
nw-nwauzor-complaint,Nwauzor v. GEO,2017-09-26,day,complaint,allegations filed; no merits holding,pleading_only,Tacoma / Northwest ICE Processing Center,facility_matched,2026-07-13-courtlistener-litigation-universe.json; lead-59489 report,,,eligible: equal 90-day pre/post windows,2017-05-31,-118,118,HSCEDM09J00032,HSCEAL02C0004,XXX9,option_or_extension_zero,0.00000000,90,90,0,0,,0,0,0,0,0,,{},0,0,,0,0,0,0,0,,{},180,180,1,0.00000000,,0,0,0,1,1,HSCEDM09J00032,"{""option_or_extension_zero"": 1}",0,0,,0,0,0,0,0,,{},0,0,828,1.00000000,1.00000000,1.00000000,1.00000000,0.66224367,1.00000000
nw-washington-complaint,State of Washington v. GEO,2017-10-09,day,government complaint,government allegations filed; no merits holding on filing date,pleading_only,Tacoma / Northwest ICE Processing Center,facility_matched,2026-07-13-courtlistener-litigation-universe.json; lead-59489 report,,,eligible: equal 90-day pre/post windows,2017-05-31,-131,131,HSCEDM09J00032,HSCEAL02C0004,XXX9,option_or_extension_zero,0.00000000,90,90,0,0,,0,0,0,0,0,,{},0,0,,0,0,0,0,0,,{},180,180,1,0.00000000,,0,0,0,1,1,HSCEDM09J00032,"{""option_or_extension_zero"": 1}",0,0,,0,0,0,0,0,,{},0,0,828,1.00000000,1.00000000,1.00000000,1.00000000,0.56694813,1.00000000
nw-district-judgment,Nwauzor / State of Washington v. GEO,2021-11-03,day,district judgment sequence,district remedies followed jury and bench proceedings; companion dockets terminated 2021-11-02 and 2021-11-03,adverse_merits_and_remedy,Tacoma / Northwest ICE Processing Center,facility_matched,2026-07-13-courtlistener-litigation-universe.json; lead-59489 report,12553,Uses the later of the two companion docket termination/judgment dates.,eligible: equal 90-day pre/post windows,2021-10-27,-7,7,70CDCR22FR0000002,HSCEDM15D00015,0,base_task_order_or_call,11166087.74000000,90,90,2,16682962.87000000,8341481.43500000,2,0,0,0,0,70CDCR21FR0000073|70CDCR22FR0000002,"{""base_task_order_or_call"": 2}",4,10694184.36000000,3564728.12000000,0,3,0,1,0,70CDCR22FR0000002,"{""positive_modification"": 3, ""zero_dollar_modification"": 1}",180,180,2,16682962.87000000,8341481.43500000,2,0,0,0,0,70CDCR21FR0000073|70CDCR22FR0000002,"{""base_task_order_or_call"": 2}",8,21781952.10000000,3630325.35000000,0,6,0,2,0,70CDCR22FR0000002,"{""positive_modification"": 6, ""zero_dollar_modification"": 2}",2,-5988778.51000000,828,0.29191797,1.00000000,0.32207479,1.00000000,0.21471653,1.00000000
nw-ninth-circuit-merits,Nwauzor / State of Washington v. GEO,2025-01-16,day,appellate merits judgment,Ninth Circuit affirmed wage-law application and remedies,adverse_appellate_merits,Tacoma / Northwest ICE Processing Center,facility_matched,lead-59489 report and matrix,12402;12550;12553;12554,,eligible: equal 90-day pre/post windows,2025-01-24,8,8,70CDCR25FR0000004,HSCEDM15D00015,P00001,positive_modification,11628517.45000000,90,90,2,19090280.00000000,9545140.00000000,1,1,0,0,0,70CDCR24FR0000003|70CDCR25FR0000004,"{""base_task_order_or_call"": 1, ""positive_modification"": 1}",6,13178525.68000000,4540123.94250000,0,4,2,0,0,70CDCR23FR0000002|70CDCR24FR0000003|70CDCR25FR0000004,"{""deobligation_modification"": 2, ""positive_modification"": 4}",180,180,5,25709575.41000000,6437412.86000000,1,3,1,0,0,70CDCR22FR0000002|70CDCR24FR0000003|70CDCR25FR0000004,"{""base_task_order_or_call"": 1, ""deobligation_modification"": 1, ""positive_modification"": 3}",8,34988769.41000000,6661789.91666667,0,6,2,0,0,70CDCR23FR0000002|70CDCR24FR0000003|70CDCR25FR0000004,"{""deobligation_modification"": 2, ""positive_modification"": 6}",4,-5911754.32000000,842,0.08896797,0.97864769,0.27164887,1.00000000,0.30249110,1.00000000
nw-rehearing-denied,Nwauzor / State of Washington v. GEO,2025-08-13,day,rehearing denial,Ninth Circuit rehearing denied,adverse_appellate_procedural,Tacoma / Northwest ICE Processing Center,facility_matched,lead-59489 report,12553,,eligible: equal 90-day pre/post windows,2025-07-24,-20,20,70CDCR25FR0000004,HSCEDM15D00015,P00007,positive_modification,13700853.00000000,90,90,2,13697703.00000000,13700853.00000000,0,1,1,0,0,70CDCR23FR0000002|70CDCR25FR0000004,"{""deobligation_modification"": 1, ""positive_modification"": 1}",1,11894500.00000000,11894500.00000000,0,1,0,0,1,70CDCR25FR0000004,"{""option_or_extension_positive"": 1}",180,180,8,41925779.27000000,7007179.17500000,0,6,2,0,0,70CDCR23FR0000002|70CDCR25FR0000004,"{""deobligation_modification"": 2, ""positive_modification"": 6}",3,29027400.00000000,14513700.00000000,0,2,0,1,1,70CDCR25FR0000004,"{""option_or_extension_positive"": 1, ""positive_modification"": 1, ""zero_dollar_modification"": 1}",-1,-1803203.00000000,828,0.54644150,1.00000000,0.50663450,1.00000000,0.40651387,1.00000000
nw-cert-petition,GEO Group v. Nwauzor,2026-01-09,day,certiorari petition,GEO petitioned; lower-court judgment remained in force,company_challenge_pending,Tacoma / Northwest ICE Processing Center,facility_matched,lead-59489 report and official-docket finding,12591,,eligible: equal 90-day pre/post windows,2026-01-16,7,7,70CDCR25FR0000004,HSCEDM15D00015,P00010,positive_modification,17132900.00000000,90,90,1,0.00000000,,0,0,0,1,0,70CDCR25FR0000004,"{""zero_dollar_modification"": 1}",2,38248135.00000000,19124067.50000000,0,2,0,0,0,70CDCR25FR0000004,"{""positive_modification"": 2}",180,180,4,25592203.00000000,12797676.50000000,0,2,1,1,1,70CDCR23FR0000002|70CDCR25FR0000004,"{""deobligation_modification"": 1, ""option_or_extension_positive"": 1, ""positive_modification"": 1, ""zero_dollar_modification"": 1}",4,77290881.99000001,19322720.49750000,1,3,0,0,0,70CDCR25FR0000004|70CDCR26FR0000055,"{""base_task_order_or_call"": 1, ""positive_modification"": 3}",1,38248135.00000000,842,0.44246738,1.00000000,0.03677343,0.40450771,0.27639383,1.00000000
nw-cvsg,GEO Group v. Nwauzor,2026-05-18,day,CVSG,Supreme Court invited the Solicitor General's views; no grant or denial as of snapshot,neutral_pending_posture,Tacoma / Northwest ICE Processing Center,facility_matched,lead-59489 report and official-docket finding,12591,,not tested: incomplete equal 90-day exposure,2026-05-21,3,3,70CDCR26FR0000055,70CDCR26D00000026,P00001,positive_modification,30143898.85000000,90,57,2,30014083.14000000,15007041.57000000,1,1,0,0,0,70CDCR25FR0000004|70CDCR26FR0000055,"{""base_task_order_or_call"": 1, ""positive_modification"": 1}",1,30143898.85000000,30143898.85000000,0,1,0,0,0,70CDCR26FR0000055,"{""positive_modification"": 1}",180,57,3,47146983.14000000,15715661.04666667,1,2,0,0,0,70CDCR25FR0000004|70CDCR26FR0000055,"{""base_task_order_or_call"": 1, ""positive_modification"": 2}",1,30143898.85000000,30143898.85000000,0,1,0,0,0,70CDCR26FR0000055,"{""positive_modification"": 1}",,,,,,,,,
menocal-complaint,Menocal v. GEO,2014-10-22,day,complaint,allegations filed; no merits holding,pleading_only,Aurora Contract Detention Facility,facility_matched,2026-07-13-courtlistener-litigation-universe.json; lead-59489 report,,,not tested: incomplete equal 90-day exposure,2015-01-15,85,85,HSCEDM14J00031,HSCEDM11D00003,P00004,positive_modification,3958925.60000000,0,19,0,0,,0,0,0,0,0,,{},1,3958925.60000000,3958925.60000000,0,1,0,0,0,HSCEDM14J00031,"{""positive_modification"": 1}",0,109,0,0,,0,0,0,0,0,,{},5,15253054.17000000,5108856.85333333,0,3,1,1,0,HSCEDM13J00036|HSCEDM14J00031,"{""deobligation_modification"": 1, ""positive_modification"": 3, ""zero_dollar_modification"": 1}",,,,,,,,,
menocal-class-cert,Menocal v. GEO,2018-02-09,day,appellate class certification,Tenth Circuit affirmed class certification; merits expressly undecided,adverse_procedural,Aurora Contract Detention Facility,facility_matched,lead-59489 report and matrix,12556,,eligible: equal 90-day pre/post windows,2018-02-15,6,6,HSCEDM16J00042,HSCEDM11D00003,P00013,positive_modification,779.31000000,90,90,3,6974026.49000000,2324675.49666667,0,3,0,0,0,HSCEDM16J00042|HSCEDM17J00031,"{""positive_modification"": 3}",5,19177276.13000000,3835455.22600000,1,4,0,0,0,70CDCR18FR0000052|HSCEDM16J00042|HSCEDM17J00031,"{""base_task_order_or_call"": 1, ""positive_modification"": 4}",180,180,7,16719828.16000000,2388546.88000000,1,6,0,0,0,HSCEDM16J00042|HSCEDM17J00031,"{""base_task_order_or_call"": 1, ""positive_modification"": 6}",8,20301198.13000000,2537649.76625000,1,7,0,0,0,70CDCR18FR0000052|HSCEDM16J00042|HSCEDM17J00031,"{""base_task_order_or_call"": 1, ""positive_modification"": 7}",2,12203249.64000000,993,0.52012072,1.00000000,0.21126761,1.00000000,0.45875252,1.00000000
menocal-summary-judgment,Menocal v. GEO,2022-10-18,day,partial summary judgment,government-contractor defenses rejected and standardized agreement held unenforceable; no final TVPA or damages judgment,adverse_interlocutory_merits,Aurora Contract Detention Facility,facility_matched,lead-59489 report and matrix,12557;12559,,eligible: equal 90-day pre/post windows,2022-10-14,-4,4,70CDCR23FR0000001,70CDCR22D00000001,0,base_task_order_or_call,5553933.28000000,90,90,7,11773499.23000000,3087961.36800000,1,4,1,1,0,70CDCR19FR0000089|70CDCR20FR0000066|70CDCR22FR0000001|70CDCR23FR0000001,"{""base_task_order_or_call"": 1, ""deobligation_modification"": 1, ""positive_modification"": 4, ""zero_dollar_modification"": 1}",2,1784200.00000000,892100.00000000,0,2,0,0,0,70CDCR22FR0000001|70CDCR23FR0000001,"{""positive_modification"": 2}",180,180,9,22702877.99000000,3767026.51428571,1,6,1,1,0,70CDCR19FR0000089|70CDCR20FR0000066|70CDCR22FR0000001|70CDCR23FR0000001,"{""base_task_order_or_call"": 1, ""deobligation_modification"": 1, ""positive_modification"": 6, ""zero_dollar_modification"": 1}",7,19352072.06000000,5082615.70750000,0,4,1,2,1,70CDCR22FR0000001|70CDCR23FR0000001|HSCEDM11J00054|HSCEDM14J00031,"{""deobligation_modification"": 1, ""option_or_extension_zero"": 1, ""positive_modification"": 4, ""zero_dollar_modification"": 1}",-5,-9989299.23000000,1012,0.04935834,0.59230010,0.30108588,1.00000000,0.20631787,1.00000000
