record_date,record,subject,primary_source_url,what_it_proves,what_it_does_not_prove,evidentiary_status
"2025-02-10","Homan OGE Form 278e","Homan / Homeland Strategic Consulting / Guidepost / GEO Care","https://www.whitehouse.gov/wp-content/uploads/2025/08/Homan-Thomas.pdf","Homan personally provided consulting services associated with Guidepost and GEO Care; each exceeded the Part 4 threshold in a covered year; Homan reported a $360,000 salary from Homeland Strategic Consulting","Exact fee, threshold year, service date, invoice, payment path, deliverable, or B.I./ICE project","Primary; confirmed within form limits"
"current guide","OGE Form 278e Part 4 guide","Reporting period and payment-path rules","https://www.oge.gov/web/278eGuide.nsf/Part_4","Part 4 covers the preceding two calendar years through filing and includes personal services even when the client paid the filer's employer","That Homan was paid directly or through Homeland Strategic Consulting; any exact client amount","Primary interpretive guidance"
"current guide","OGE guide for ethics officials §2.01 and §2.07","Reporting period and threshold","https://www.oge.gov/web/278eGuide.nsf/For_Ethics_Officials","Part 4 reporting period and >$5,000 per-calendar-year threshold","Which covered year or payment crossed the threshold","Primary interpretive guidance"
"current guide","OGE Law Firm or Consulting Employment guidance","Former-client impartiality framework","https://www.oge.gov/web/OGE.nsf/0/52C4153BD9632593852585B6005A1F8E/$FILE/Law%20Firm%20or%20Consulting%20Employment.pdf","Former clients are covered relationships for one year after last service and while fees remain outstanding; certain-party participation can require agency notification/authorization","Homan's last service date, outstanding fee status, recusal, authorization, or participation in a matter","Primary general guidance; not a case determination"
"2021-12-08","FEC Schedule B transaction","Homeland Strategic Consulting LLC","https://docquery.fec.gov/pdf/111/202201309475565111/202201309475565111.pdf","Official filing identifies the consulting company as a Fredericksburg payee for strategy consulting before the OGE reporting period","Homan's receipt of that payment; any GEO or Guidepost relationship","Primary; corroborates business use only"
"2014-07-09","GEO Form 8-K","Guidepost / B.I. / Julie Myers Wood","https://www.sec.gov/Archives/edgar/data/923796/000119312514264220/d755717d8k.htm","Guidepost-B.I. agreement existed in fiscal 2013 before Wood's July 2014 GEO board appointment","Agreement start date, scope, named personnel, or Homan role","Primary; finding #12450"
"2024-03-22","GEO 2024 proxy","Guidepost / B.I.","https://www.sec.gov/Archives/edgar/data/923796/000119312524074555/d717730ddef14a.htm","GEO paid Guidepost $180,000 in fiscal 2023 and extended the agreement through 2024","Homan assignment, scope, SOW, invoice, deliverable, or ICE relationship","Primary; entity-level only"
"2025-03-20","GEO 2025 proxy","Guidepost / B.I.","https://www.sec.gov/Archives/edgar/data/923796/000119312525059356/d882905ddef14a.htm","GEO paid Guidepost $180,000 in fiscal 2024 and extended the agreement through 2025","Homan assignment, scope, SOW, invoice, deliverable, or ICE relationship","Primary; entity-level only"
"2026-03-19","GEO 2026 proxy","Guidepost / B.I.","https://www.sec.gov/Archives/edgar/data/923796/000119312526116014/d923546ddef14a.htm","GEO paid Guidepost $420,000 in fiscal 2025; agreement ended December 31, 2025","Whether any payment related to Homan; date his Guidepost work occurred","Primary; post-filing context"
"2025-02-28","GEO fiscal-2024 Exhibit 22","GEO Care LLC","https://www.sec.gov/Archives/edgar/data/923796/000095017025029972/geo-ex22_1.htm","GEO listed GEO Care LLC as a guarantor subsidiary during Homan's reporting period","That this exact entity paid for Homan's services","Primary legal-entity context"
