source_or_channel,query_or_scope,cutoff,result_count,identity_or_scope_review,disposition,limitation,archive
"OGE PAS API","Thomas D. Homan; all 16,622 index rows","2026-07-14",0,"No Homan row","Not treated as no-record evidence because Homan is a non-PAS appointee and the White House hosts the operative form","PAS index scope does not cover every executive-branch filer","investigations/geo-group/sources/2026-07-14-lead-59112/oge/oge-pas-homan-records-as-of-2026-07-14.json"
"White House official domain","Thomas Homan + GEO Care/Guidepost + recusal/ethics/screen/authorization","2026-07-14",1,"The one responsive primary record is Homan's 278e","No separate client-specific ethics record located","Search-index coverage and unpublished Presidential Records remain outside this result","investigations/geo-group/sources/2026-07-14-lead-59112/oge/Homan-Thomas-2025-278e.pdf"
"OGE official domain","Thomas Homan + GEO Care/Guidepost + recusal/ethics/screen/authorization","2026-07-14",0,"No Homan-specific responsive page","General OGE guidance retained; no case determination inferred","OGE guidance is not Homan-specific","investigations/geo-group/sources/2026-07-14-lead-59112/oge/OGE-law-firm-consulting-employment.pdf"
"DHS official domain / FOIA library","Thomas Homan + Guidepost or GEO Care","2026-07-14",0,"No responsive release located","Bounded negative only","DHS search page is partly client-rendered and internal/unpublished records are outside the library","investigations/geo-group/sources/2026-07-14-lead-59112/dhs/dhs-foia-library.html"
"ICE FOIA library","Thomas Homan + Guidepost or GEO Care","2026-07-14",0,"No responsive release located","Bounded negative only","Library and search-engine indexing may omit differently described records","investigations/geo-group/sources/2026-07-14-lead-59112/dhs/ice-foia-library.html"
"SEC EDGAR","Thomas Homan + GEO Care; 2023-01-01 through 2026-07-14","2026-07-14",0,"Zero SEC full-text hits","No SEC bridge","Exact terms can miss variants, but the relevant GEO proxies were also read directly","investigations/geo-group/sources/2026-07-14-lead-59112/sec/edgar-homan-geocare.json"
"SEC EDGAR","Thomas Homan + Guidepost Solutions; 2023-01-01 through 2026-07-14","2026-07-14",0,"Zero SEC full-text hits","No SEC bridge","Exact terms can miss variants, but the relevant GEO proxies were also read directly","investigations/geo-group/sources/2026-07-14-lead-59112/sec/edgar-homan-guidepost.json"
"SEC EDGAR","Guidepost Solutions + B.I. Incorporated; all forms 2013-01-01 through 2026-07-14","2026-07-14",16,"One 2014 8-K; twelve DEF 14A; one PRE 14A; one DEFA14A; one PX14A6G","No contract exhibit, amendment, invoice, deliverable, or personnel schedule in returned filings","EDGAR stdout miscounts structured results; payload total used (papercut #931)","investigations/geo-group/sources/2026-07-14-lead-59112/sec/edgar-guidepost-bi-allforms-2013-2026.json"
"GEO proxies","2023, 2024, 2025, and 2026 definitive proxies","2026-07-14",4,"All four read directly","No Homan name, client-specific pay route, agreement attachment, invoice, deliverable, or committee minutes","Public filings summarize Item 404 transactions; they do not expose the private contract file","investigations/geo-group/sources/2026-07-14-lead-59112/sec/"
"GEO Audit and Finance Committee charter","Current public charter amended 2024-11-12","2026-07-14",1,"Read in full-text extraction","No Homan, Guidepost, B.I., Wood-recusal, abstention, or agreement-specific minutes","Charter states authority and procedure categories, not individual meeting history","investigations/geo-group/sources/2026-07-14-lead-59112/sec/geo-audit-finance-charter-2024.pdf"
