domain,question,public_evidence,record_status,bounded_conclusion,next_record
"public appearance","When did Venturella first appear at ICE?","2025-03-17 public-record email signature says Senior Advisor to the Director; ICE leadership page first located 2026-05-18","partially established","Public appearances are dated; earliest internal start remains unknown","Personnel action and onboarding records"
"internal effective date","When did top-office service begin?","Leadership-page change bracketed between 2026-05-17 23:12:07Z and 2026-05-18 16:49:24Z","not established","Archive transition is not an effective date","Appointment/personnel-action instrument"
"permanent office","What permanent position did Venturella hold?","Public pages list Senior Advisor then Director/SOPTD/Acting Director labels","not established","Working/public titles do not identify the underlying position","SF-50-equivalent nonexempt fields and position description"
"PAS office","How is the ICE Director appointed?","6 U.S.C. § 113(a)(1)(G) lists ICE Director among presidentially appointed Senate-confirmed officers","office-level established","Does not establish Venturella's appointment to that office","Nomination/commission if any"
"acting or succession authority","What instrument authorized performance of Director duties?","GAO B-334562 describes Annex N's Deputy Director succession framework; official pages use SOPTD and Acting labels","not established for Venturella","No Venturella-specific FVRA designation or succession instrument located","Designation/succession instrument and underlying office"
"delegated functions","Which Director functions were delegated?","GAO records DHS's broad delegation position; no Venturella instrument located","not established","Public labels do not enumerate functions","Delegation/redelegation memorandum"
"nondelegable limits","Which functions remained exclusive?","GAO records DHS's statement that no ICE Director functions were FVRA-exclusive","office-level agency position only","Does not identify limits in Venturella's instrument","Current delegation annex and legal memorandum"
"title policy","What does Director mean as a working title?","ICE Directive 1052.2 applies working titles without regard to associated position descriptions","established as policy","Directive is not appointment or authority evidence","Venturella-specific personnel and authority records"
"public disclosure filing","Was a public Form 278e required or filed?","OGE exact-name API filter returned 0; §§ 2634.201-.202 define filing triggers","not established","Zero in OGE collection is not proof of no filing; position/pay classification unknown","OGE Form 201 response and position classification"
"confidential disclosure","Was a Form 450 filed?","No public person-specific record located","not publicly established","Confidential filings are not established by public collection","Agency ethics-file confirmation and releasable portions"
"initial ethics screen","Was GEO identified and screened?","No person-specific screening record located","not established","No inference about existence or result","DHS/ICE initial ethics review"
"ethics agreement","Was an agreement signed?","No person-specific agreement located","not established","No inference about existence or terms","Ethics agreement and compliance certification"
"18 U.S.C. § 208","Did a current financial interest require recusal or waiver?","Statute defines personal-and-substantial participation and advance written waiver; current interest and participation not established","not established","No conflict or violation finding is supported","Disclosure, holdings/payment record, matter assignment, waiver"
"5 C.F.R. § 2635.502","Was there an appearance recusal or authorization?","Rule provides one-year former-employer covered relationship and § 502(d) authorization; no person-specific record located","not established","Rule alone does not prove trigger, recusal, or authorization","Screen, recusal, or § 502(d) authorization"
"5 C.F.R. § 2635.503","Was there a covered payment and two-year recusal?","Rule requires a defined >$10,000 covered payment and excludes qualifying programs; public SEC terms do not show person-specific receipt/classification","not established","Do not classify retirement, consulting, or performance shares without payment/program facts","Written covered-payment determination or waiver"
"DHS supplemental rule","Does § 4601.106 impose a blanket GEO restriction?","Rule concerns ICE outside activity and specified household employment","established boundary","It is not a blanket former-employer rule","Agency ethics analysis if relied upon"
"Warren response","Did DHS/ICE answer the 2026-05-27 letter?","Official letter and press release located; no official response located through 2026-07-14","bounded zero","Absence from bounded public search is not proof no response exists","Agency correspondence and Executive Secretariat tracking"
"GEO matter participation","Did Venturella act on a GEO/BI matter?","No person-specific 2025-2026 participation record located; old CourtListener exhibit used only for role history","not established","No participation or nonparticipation conclusion","Matter-level calendars, assignment, acquisition, and screening records"

