finding_id,verification_status,claim_type,source_dependency_cluster,evidence_role,h351_assessment,h352_assessment,assessment_provenance,tool_diagnosticity,analytic_treatment,boundary
12447,verified,direct_quote,GEO_SEC_activation_statements,"FY2025 ICE activation sequence including Delaney announcement",consistent,consistent,prior_agent_timeline_analysis,non_diagnostic,"Context for both explanations; an activation wave does not identify a trader or information path","Company announcement timing is not selection, notice, access, or trade-instruction timing"
12514,verified,paraphrase,OGE_disclosures,"Household-reportable year-end GEO interest",consistent,consistent,prior_agent_timeline_analysis,non_diagnostic,"Necessary exposure fact but compatible with both explanations","Public Part 6 covers filer, spouse, and dependent children and does not identify the owner"
12515,verified,paraphrase,OGE_disclosures,"March 4 2026 purchase and late-notification field",consistent,consistent,prior_agent_timeline_analysis,non_diagnostic,"Transaction fact but no owner, controller, rationale, access, or instruction chronology","Late notification does not identify the covered owner or imply procurement knowledge"
12516,verified,synthesis,OGE_disclosures,"Ten 2025 purchases and four sales with categorical value bounds",consistent,consistent,prior_agent_timeline_analysis,non_diagnostic,"Repeated transactions are compatible with active positioning and ordinary portfolio activity","Value-band endpoint sums are not exact values, profits, net exposure, or evidence of control"
12531,verified,synthesis,DHS_USAspending_action_ledger,"Dense GEO DHS action universe",consistent,consistent,prior_agent_timeline_analysis,non_diagnostic,"Dense action cadence supplies context under both hypotheses","Action counts combine bases and modifications and do not identify procurement decision dates"
12532,verified,synthesis,DHS_USAspending_action_ledger,"Period-level ICE obligation totals",consistent,consistent,prior_agent_timeline_analysis,non_diagnostic,"Expansion-period context is compatible with both explanations","Obligations do not establish trade knowledge, instructions, revenue, payment, or profit"
12542,verified,synthesis,DHS_USAspending_action_ledger,"Trump-II action-frequency and obligation-pace comparison",consistent,consistent,prior_agent_timeline_analysis,non_diagnostic,"Larger average actions with modest frequency change does not connect a trade to a milestone","Duration-normalized period aggregates are not account- or event-level evidence"
12543,verified,synthesis,DHS_USAspending_action_ledger,"All fifteen trades within fourteen days of an action, with express density caveat",neutral,consistent,prior_agent_timeline_analysis,"tool_asymmetric_but_no_inconsistency","At most compatible with incidental timing; it is not evidence that routine management occurred and creates no evidence against H1","The broad action class includes modifications, deobligations, closeouts, and zero-dollar rows"
12948,verified,synthesis,OGE_disclosures,"Broad same-account annual cadence and same-report PTR cadence",neutral,neutral,agent_timeline_analysis_run_108,non_diagnostic,"Dense portfolio activity does not reveal whether GEO was targeted within a batch or who controlled the trade","Do not infer a spouse, dependent, owner, adviser, discretionary manager, automation, motive, or lack of knowledge"
12957,verified,synthesis,DHS_USAspending_action_ledger,"Matched same-weekday all-action and base-action timing controls",neutral,neutral,agent_timeline_analysis_run_108,non_diagnostic,"Controls invalidate broad proximity as a discriminator but do not test exact selection, notice, access, or instruction chronology","Controls overlap, are descriptive rather than independent causal samples, use a symmetric +30-day event buffer, and retain an early-window left-censoring caveat"
