date,ecf,event,record_status,evidence_class,supported_effect,unresolved_or_prohibited_inference
2012-08-23,,Case filed,metadata_only,classification,"FJC and CourtListener classify the action under 31 USC 3729 and NOS 375","Does not establish exact allegations, qui tam status, retaliation, government customer, or liability"
2015-07-10,29,Summary-judgment motion indexed,index_only,party_motion,"Summary-judgment briefing began","Movant and requested relief unavailable"
2015-07-13,31,Second summary-judgment motion indexed,index_only,party_motion,"A second motion was docketed","Movant and requested relief unavailable"
2015-08-03,32,Opposition indexed,index_only,party_position,"Opposition to summary judgment was docketed","Arguments unavailable"
2015-08-10,34,Reply/support paper indexed,index_only,party_position,"Summary-judgment briefing continued","Arguments unavailable"
2017-02-28,41,Order on summary-judgment motion,index_only_plus_later_federal_quotations,nonfinal_holding,"Later federal sources say ACA-auditor record-destruction evidence was sufficient for FCA scienter and quote an anti-concealment materiality rationale","Complete grants and denials, exact claim, agency, contract, and final liability unavailable"
2017-03-09,44,Scheduling order after ECF 41,index_only,case_management,"Case continued after the summary-judgment ruling","No final termination at ECF 41"
2017-03-28,45,Reconsideration filing,index_only,party_motion,"Reconsideration was sought","Movant and grounds unavailable"
2017-06-14,53,Order on reconsideration,index_only,holding,"Court ruled on reconsideration","Result and rationale unavailable"
2017-06-27,55,Mandatory settlement conference scheduled,full_public_pdf,case_management,"Conference set for 2017-08-30; discussions designated off record privileged and confidential","Does not prove settlement or payment"
2017-07-10,56-57,Pretrial and trial-management orders,index_only,case_management,"Case advanced toward trial management","No trial or verdict shown"
2017-08-30,,Mandatory settlement conference,index_only,case_management,"Conference occurred or was docketed","Outcome unavailable"
2018-02-28,,Mandatory settlement conference,index_only,case_management,"Second conference occurred or was docketed","Outcome unavailable"
2018-04-09,70,Order to show cause,index_only,holding,"Terminal show-cause sequence began","Subject and demanded showing unavailable"
2018-04-12,73,Order terminating deadlines and hearings,index_only,case_management,"Pending dates were terminated","Reason unavailable; does not prove settlement"
2018-04-17,75,Order,index_only,holding,"Court entered another order","Text and effect unavailable"
2018-05-25,,FJC termination date with disposition code 12,metadata_plus_official_code_list,synthesis,"Federal statistical record classifies the termination as voluntary dismissal","Code 12 does not establish settlement, payment, prejudice, admission, or reason"
2026-07-14,,Public acquisition cutoff,complete_public_path_audit,bounded_negative,"CourtListener paginated to exhaustion and IA item contains only ECF 55 PDF","Missing documents may exist in PACER or Clerk records; absence from public archives is not nonexistence"
