source_node,target_node,edge_class,directness,start_date,end_date,evidence_basis,finding_ids,source_url,confidence,caveat
Thomas D. Homan,GEO Care,paid consulting,direct,reporting period before 2025 filing,unknown,"Certified OGE Form 278e lists GEO Care as a >$5,000 annual compensation source for consulting services",12505,https://www.documentcloud.org/documents/25969182-thomas-homan-dhs-278.pdf,confirmed,"Exact amount, service dates, scope, and legal suffix not disclosed"
Thomas D. Homan,Guidepost Solutions,paid consulting,direct,reporting period before 2025 filing,unknown,"Certified OGE Form 278e lists Guidepost Solutions as a >$5,000 annual compensation source for consulting services",12505,https://www.documentcloud.org/documents/25969182-thomas-homan-dhs-278.pdf,confirmed,"No evidence the work involved B.I. Incorporated"
Thomas D. Homan,U.S. Immigration and Customs Enforcement,appointment/employment,direct,2017-01-30,2018-06-30,"Trump White House statement appoints Homan acting ICE director",12511,https://trumpwhitehouse.archives.gov/briefings-statements/statement-press-secretary-sean-spicer-2/,confirmed,"End date from public tenure chronology; source cited here proves appointment"
Thomas D. Homan,Second Trump Administration,appointment/employment,direct,2025-01-20,present,"Current White House identifies Homan as White House Border Czar",12511,https://www.whitehouse.gov/releases/2026/01/border-czar-affirms-commitment-to-public-safety-removing-violent-criminals-in-minnesota/,confirmed,"Title does not establish procurement authority"
David J. Venturella,The GEO Group Inc.,former employment,direct,2012,2023,"Current ICE biography states GEO senior vice president tenure",12506,https://www.ice.gov/leadership,confirmed,"Exact start/end days and portfolios not stated"
David J. Venturella,U.S. Immigration and Customs Enforcement,current appointment/employment,direct,unknown,current as of 2026-07-13,"ICE leadership page identifies Senior Official Performing the Duties of the Director",12506,https://www.ice.gov/leadership,confirmed,"Appointment date and ethics terms not stated"
Daniel H. Ragsdale,U.S. Immigration and Customs Enforcement,appointment/employment,direct,2017-01-20,2017-01-30,"ICE transition packet states he became acting director January 20; Homan appointment followed January 30",12512;12511,https://www.dhs.gov/sites/default/files/publications/ICE%20Presidential%20Transition%20Records.pdf,confirmed,"Exact ICE separation date not established by this row"
Daniel Ragsdale,The GEO Group Inc.,former-official employment,direct,2017-07,present,"GEO proxy states he joined in July 2017",12457,https://www.sec.gov/Archives/edgar/data/923796/000119312526116014/d923546ddef14a.htm,confirmed,"No procurement-influence inference"
Matthew T. Albence,U.S. Immigration and Customs Enforcement,appointment/employment,direct,2019-09-27,2020,"Trump White House briefing identifies him performing director duties",12513;12385,https://trumpwhitehouse.archives.gov/briefings-statements/press-briefing-acting-director-ice-matthew-albence/,confirmed,"Cited page proves status on briefing date"
Matthew T. Albence,The GEO Group Inc.,former-official employment,direct,2022-09-01,present,"GEO 8-K and proxy disclose employment start and pre-employment consulting payment",12456,https://www.sec.gov/Archives/edgar/data/923796/000119312522200110/d362438d8k.htm,confirmed,"Consulting scope and procurement effect not inferred"
