date,ecf,document_or_event,actor,availability,procedural_effect,claim_status,source,source_quote_or_note
2022-10-18,380,Cross-motions and merits order,District Court,full_text,"Plaintiffs won summary judgment on GEO's Yearsley/government-contractor defenses; GEO's merits summary judgment and decertification motions denied except TVPA class start narrowed","holding; not final liability or damages",https://www.courtlistener.com/docket/4196461/380/menocal-v-the-geo-group-inc/,"GEO has not simply performed as ICE directed."
2026-02-25,,Supreme Court opinion,Supreme Court,full_text,"Yearsley denial not immediately appealable; affirmed and remanded","holding only on appealability",https://www.supremecourt.gov/opinions/25pdf/24-758_2dp3.pdf,"Because Yearsley provides a defense to liability, not an immunity from suit, an order denying its protection can be effectively reviewed after a final judgment."
2026-03-12,439,Minute order,District Court,docket_text,"Stay lifted; facility visit and pretrial planning ordered","procedural holding",https://www.courtlistener.com/docket/4196461/439/menocal-v-the-geo-group-inc/,"The stay previously entered in this case is LIFTED."
2026-03-26,441,Trial-setting order,District Court,docket_text,"Three-week jury trial set for 2026-11-02; final preparation conference set for 2026-10-27","procedural holding",https://www.courtlistener.com/docket/4196461/441/menocal-v-the-geo-group-inc/,"This case is set for a three-week Jury Trial beginning Monday, November 2, 2026."
2026-03-30,442,Tenth Circuit order,Tenth Circuit,docket_text,"Prior mandate recalled and October 22 2024 appellate judgment vacated pending remand processing","procedural holding",https://www.courtlistener.com/docket/4196461/442/menocal-v-the-geo-group-inc/,"the judgment of this court filed October 22, 2024 is vacated"
2026-04-06,449,Motion to certify interlocutory appeal,GEO,docket_text,"Requests another interlocutory route","party request; no readable disposition located",https://www.courtlistener.com/docket/4196461/449/menocal-v-the-geo-group-inc/,"MOTION for Leave to Appeal Defendant's Motion to Certify Question for Interlocutory Appeal"
2026-04-06,450,Partial summary judgment / judgment on pleadings motion,GEO,full_text,"Seeks judgment only on TVPA via qualified immunity","party argument; not a holding",https://www.courtlistener.com/docket/4196461/450/menocal-v-the-geo-group-inc/,"GEO moves the Court under Rule 56 or alternatively Rule 12(c) to enter judgment in its favor as to Plaintiffs' claim under the TVPA."
2026-04-06,451,Stay motion,GEO,full_text,"Requests all deadlines stayed through June 1 or unjust-enrichment proceedings stayed pending Nwauzor certiorari action","party argument; requested date expired",https://www.courtlistener.com/docket/4196461/451/menocal-v-the-geo-group-inc/,"GEO requests this Court stay all deadlines through June 1, 2026."
2026-04-13,455-456,Tenth Circuit order and mandate,Tenth Circuit,docket_text,"Mandate ordered to issue forthwith and entered","procedural holding",https://www.courtlistener.com/docket/4196461/455/menocal-v-the-geo-group-inc/,"The mandate shall issue forthwith."
2026-04-14,457,Deadline/pretrial order,District Court,docket_text,"ECF 449/450 briefing extended; pretrial moved to June 3; other trial deadlines retained","procedural holding",https://www.courtlistener.com/docket/4196461/457/menocal-v-the-geo-group-inc/,"All other trial deadlines shall remain as set by my March 26, 2026 Order."
2026-04-29,461,Facility-visit minute order,District Court,docket_text,"Records April 21 Aurora facility tour; jury-view argument to be scheduled","procedural holding",https://www.courtlistener.com/docket/4196461/461/menocal-v-the-geo-group-inc/,"Also present during the tour were employees of GEO Group and counsel for the parties ... and Timothy Jafek for U.S. Immigration and Customs Enforcement."
2026-05-11,465,Opposition to ECF 450,Plaintiffs,full_text,"Argues waiver/no immunity/factual disputes; says unjust enrichment remains regardless","party argument; not a holding",https://www.courtlistener.com/docket/4196461/465/menocal-v-the-geo-group-inc/,"Even if GEO were to prevail on its qualified immunity defense, Plaintiffs' unjust enrichment claim would remain."
2026-05-21,471,Jury-view hearing minutes,District Court,docket_text,"Orders July 21 report on jury-view logistics; minute entry does not state a final grant or denial","procedural holding with outcome gap",https://www.courtlistener.com/docket/4196461/471/menocal-v-the-geo-group-inc/,"The parties shall submit a status report on or before July 21, 2026, as discussed."
2026-05-25,474,Reply supporting ECF 450,GEO,full_text,"Renews qualified-immunity request for TVPA judgment","party argument; not a holding",https://www.courtlistener.com/docket/4196461/474/menocal-v-the-geo-group-inc/,"enter judgment in GEO's favor as to Plaintiffs' claim under the TVPA"
2026-06-03,477,Final pretrial conference,District Court,full_text,"ECF 450 argued; Daubert hearing set August 27; jury instructions due September 2; revised pretrial order directed","procedural holding; no ECF 450 disposition stated",https://www.courtlistener.com/docket/4196461/477/menocal-v-the-geo-group-inc/,"[450] Defendant's Motion for Partial Summary Judgment or Judgment on the Pleadings is raised for argument."
2026-06-10,479,Revised proposed pretrial order,Parties,unavailable,"Filed after June 3 directive","party filing; contents unknown",https://www.courtlistener.com/docket/4196461/479/menocal-v-the-geo-group-inc/,"RECAP document unavailable"
2026-07-08,481;483-492,Motions in limine and exclusion filings,Parties,unavailable,"Late-stage evidentiary motions filed","party filings; contents unknown",https://www.courtlistener.com/docket/4196461/,"Search results list document types but no readable docket descriptions or PDFs."
2026-07-13,,Order on Motion for Order,District Court,unavailable,"Unknown; may affect one or more pending matters","court order exists but target/result cannot be determined",https://www.courtlistener.com/api/rest/v4/recap-documents/485997554/,"description=Order on Motion for Order; is_available=false; docket entry number and text absent"
