"record_id","cluster","venue_or_program","mechanism_tested","proposition_class","government_role_or_position","contract_or_control_point","adjudicated_or_recorded_result","economic_or_procurement_point","coordination_diagnosticity","finding_ids","evidence_refs","primary_artifact","limits"
"M01","Nwauzor / Washington","NWIPC; Ninth Circuit","contractor control; intergovernmental immunity; preemption","appellate holding","United States was not treated as having directed the challenged wage practice","State wage law reached work essential to GEO facility operations despite the ICE contract","Ninth Circuit affirmed the lower-court wage and unjust-enrichment remedies and rejected GEO's federal defenses","$17.287 million back pay; $5.950 million unjust enrichment; injunction","Against blanket sovereign-direction theory; does not by itself establish agency opposition to GEO","12402;12553","CA9:21-36024;CourtListenerOpinion-10315081","2026-07-13-lead-59489-courtlistener-litigation-forensics.md","One Tacoma dispute family; certiorari remained pending at cutoff"
"M02","Nwauzor / Washington","NWIPC; ICE facility economics","labor substitution and incumbent economics","court-reported contract/economic facts","ICE contract supplied facility revenue but not a lawful wage exemption","GEO estimated replacement of detainee labor would require about 85 outside FTEs","Economic facts were background to the adjudicated wage dispute","Ten-year minimum reported as $700 million; annual facility gross profit $18.6-$23.5 million for 2010-2018","Explains incentive and incumbent-capacity null; not evidence of coordination","12550;12554","CourtListenerOpinion-10315081","2026-07-13-lead-59489-courtlistener-litigation-forensics.md","Court-reported figures are not an independent accounting reconstruction"
"M03","Menocal","Aurora; District of Colorado and Supreme Court","actual federal direction; Yearsley; government-contractor defense","district holding plus Supreme Court procedural holding","ICE contracted for detention but neither directed the challenged labor nor capped pay at $1/day","Reimbursement/program language did not establish a wage ceiling or compelled sanitation policy","District court rejected Yearsley/government-contractor defenses and held the standard $1/day agreement unenforceable; Supreme Court held Yearsley is a merits defense rather than immediately appealable immunity","No final TVPA or unjust-enrichment damages judgment recovered","Strongly against blanket direction and coordinated-insulation theories; consistent with issue-specific allocation","12551;12557;12559","CourtListenerOpinion-10800194;CourtListenerRECAP-4196461-doc380-p28;CourtListenerRECAP-4196461-doc380-p40;CourtListenerRECAP-4196461-doc380-p75-holding","2026-07-13-menocal-post-scotus-merits-posture.md","District case remained active; late July 2026 order unavailable"
"M04","Novoa","Adelanto; Central District of California","contractor wage discretion; derivative immunity; preemption","nonfinal partial-summary-judgment and stay holdings","ICE witness and contract text did not establish a $1/day upper limit","Court found GEO controlled wages; direct contract language was ambiguous rather than a federal cap","Nonfinal California wage/UCL liability; derivative-immunity and preemption defenses dismissed; forced-labor claims unresolved; case stayed","No final judgment, remedy, trial, or settlement recovered","Strongly against blanket federal-direction theory; stay shows common appellate doctrine without proving agency coordination","12779;12780;12781","CourtListenerRECAP-6244853-doc542-p18-no-limit;CourtListenerRECAP-6244853-doc542-p36;CourtListenerRECAP-6244853-doc561-p5-tvpa-limit","2026-07-14-novoa-geo-post-nwauzor-case-analysis.md","Nonfinal adjudication; unavailable ECF 607-610 prevent quoting current stay rationale"
"M05","Inslee appellate merits","NWIPC; Ninth Circuit","direct regulation; comparator choice; field and obstacle preemption","published appellate holdings","United States supported GEO only on the comparator question according to the authenticated case report","2015 contract contemplated compliance with applicable law and the most stringent applicable standard","Statute regulated GEO rather than the federal government; private civil-detention comparators controlled; field and obstacle preemption rejected","No procurement consequence adjudicated","Selective federal participation and rejected broad defenses weigh against a unified GEO-DHS position","12741;12742;12743;12744","CourtListener:10656684","2026-07-13-geo-inslee-courtlistener-case-analysis.md","The government-amici scope is report-classified; findings capture the court holdings"
"M06","Inslee remand inspection","NWIPC; Western District of Washington","inspection access and spatial control allocation","preliminary-injunction holdings plus party contract representation","Court recognized ICE-controlled administrative/medical areas while directing relief to GEO-controlled portions","GEO invoked a March 2026 ICE access clause; complete contract exhibit remained unavailable","GEO ordered to admit DOH inspectors except in ICE-controlled administrative and medical areas; scheme found nondiscriminatory at preliminary stage","Potential contractual consequences did not defeat injunction analysis","Strong evidence for granular area/function control; inconsistent with categorical GEO claim of no access control","12737;12739;12745","CourtListener:485656493;CourtListener:482143306","2026-07-13-geo-inslee-courtlistener-case-analysis.md","Preliminary ruling under appeal; full 2026 contract unavailable"
"M07","State of New Jersey v. GEO","Delaney Hall; District of New Jersey","federal-officer removal; Yearsley; intergovernmental immunity; preemption","GEO party position","GEO argued ICE secure-area control and federal contracting supported the complete defense suite","Complete ICE contract and municipal complaint were unavailable","No merits ruling in the public root docket","No adjudicated contract or payment consequence","Shows repeated GEO advocacy only; cannot be counted as agency conduct or a holding","12761;12765","CourtListener:docket:70610911:ECF1;CourtListener:docket:70610911","2026-07-14-new-jersey-v-geo-delaney-hall-case-analysis.md","Unadjudicated position; underlying municipal charge remained unresolved"
"M08","City of Newark v. GEO Re-Entry","Delaney Hall; District of New Jersey","inspection facilitation; local-code compliance; federal participation","United States statement plus administrative/party records","United States said ICE expected applicable-code compliance and was prepared to schedule needed inspection","Contract reportedly required compliance with applicable codes, but complete terms were unavailable","Inspection occurred; emergency motion withdrawn; GEO dismissal motion administratively terminated; mediation without merits judgment","GEO represented more than $60 million in first-full-year annualized revenue; no bond or damages ordered","Federal position is inconsistent with categorical immunity from local codes and against inferred coordinated obstruction","12762;12763","CourtListener:docket:69832594:ECF36;CourtListener:docket:69832594:ECF47-2;CourtListener:docket:69832594:ECF57","2026-07-14-new-jersey-v-geo-delaney-hall-case-analysis.md","Access/remediation records are mixed; no merits adjudication"
"M09","New Jersey contract-ban comparator","CoreCivic v. Murphy; GEO consent order","intergovernmental immunity boundary","Third Circuit holding plus cross-case synthesis","Federal interest prevailed against a state ban in a federal-only contracting market","Holding expressly left neutral contractor conditions open","Contract ban invalid as applied; ordinary code/inspection questions not decided","Protects ability to contract; does not immunize facility operations","Demonstrates doctrine is issue-specific; not proof of a general federal shield","12764","CourtListener:docket:67854863:ECF100;CourtListener:docket:68437691:ECF17","2026-07-14-new-jersey-v-geo-delaney-hall-case-analysis.md","CoreCivic is an independent contractor comparator, not GEO operational proof"
"M10","Hartel securities case","S.D. Florida; detainee-labor litigation-risk disclosure","defense-cost reimbursement; DOJ assistance; disclosure compartment","pleading-stage ruling, authenticated underlying records, settlement","The pleaded request theory is independently supported by GEO's May 30 letter and ICE's June 2018 denials","Contract entitlement was not adjudicated in Hartel","Scienter adequately pleaded for pending-lawsuit statements; later statements cut off for loss causation; $3 million no-admission settlement and dismissal","Establishes disclosed litigation-risk significance; the securities case did not adjudicate reimbursement entitlement","Neutral on coordination by itself; the authenticated cost record is separated in M10A","12562;12577;12593;12594;12815;12816;12817;13004","CourtListener:17329078:DE45;CourtListener:17329078:DE46;CourtListener:17329078:DE63;Novoa:DE231-2","2026-07-14-hartel-geo-de63-case-analysis.md;2026-07-14-lead-63588-hartel-ice-defense-cost-report.md","Do not convert a pleading-stage securities ruling into a contract-entitlement holding"
