artifact_id,public_date_or_status,control_layer,scope,relevance_to_isap_v,relevance_to_skip_tracing,what_public_record_proves,unresolved_record,official_url
DAA-0567-2018-0001,2019-12-20 approved,records schedule,"ATD participant tracking and incident/violation records; GPS and voice verification",Direct ATD records authority,Indirect unless skip outputs become ATD participant tracking records,"ATD categories cut off at program termination and destroyed 7 years after cutoff",Current system-and-record-category implementation crosswalk,https://www.archives.gov/files/records-mgmt/rcs/schedules/departments/department-of-homeland-security/rg-0567/daa-0567-2018-0001_sf115.pdf
DHS/ICE/PIA-062,2023-03-17,PIA,ICE ATD programs including ISAP and SmartLINK,"Direct prior baseline; says monitoring app was not continuously monitoring location",Indirect ATD/case-system context,"Public privacy baseline and safeguards for the then-described ATD workflow",Update/non-update decision covering continuous location and on-demand requests,https://www.dhs.gov/sites/default/files/2023-08/privacy-pia-ice062-atd-august2023.pdf
DHS/ICE/PIA-064,2023-12-15 document date / 2024-11 public PDF,adjacent PIA,"HSI and OPR use of publicly available information and commercial databases",General ICE PTA process only,"Adjacent model for commercial databases; stated scope does not name ERO","ICE says PII-handling tools require PTA submission and DHS Privacy approval",ERO/project-specific PTA or applicability determination,https://www.dhs.gov/sites/default/files/2024-11/24_1126_priv_pia_ice064_socialmedia.pdf
FR-2024-14768,2024-07-05 published / 2024-08-05 effective,SORN,CARIER across ICE enforcement and ATD,"Direct: contractor ATD systems; geolocation; biometric verification; GPS/geotags","Partial: relevant populations; possible addresses; public/commercial sources; contractor routine use","Pre-award SORN categories purposes locations sources routine uses and retention statement",Project-specific privacy review and implementation mapping,https://www.federalregister.gov/documents/2024/07/05/2024-14768/privacy-act-of-1974-system-of-records
ISAP-V-Attachment-13,2025-08-15 package,contract privacy control,ISAP V contractor and personnel privacy requirements,"Direct: Privacy Lead supports required PTA PIA SORN and records work",None,"Prospective privacy-document support and coordination gate",Completed PTA/PIA/SORN decision and dates,https://sam.gov/opp/8bcce9c16821469395136f30f092ffbf/view
70CDCR25R00000018-ATO-clause,2025-08-25 final package,security authorization,Contractor/federal systems processing CUI,Direct conditional gate,None,"No CUI processing in covered federal information system until ATO granted",Issued ATO letter boundary date and risk decision,https://sam.gov/opp/8bcce9c16821469395136f30f092ffbf/view
ISAP-V-SOW,2025-08-25 revised,technical and transition baseline,"Continuous supervisory-app location; FedRAMP/A&A; four-month transition",None,"Required changed function and disclosed transition/authorization deliverables",Actual activation COR acceptance and full-performance dates,https://sam.gov/opp/8bcce9c16821469395136f30f092ffbf/view
70CDCR25FR0000127,2025-09-30 award/start proxy,procurement,ISAP V first task order,Direct,None,"Award and reported period of performance begin",First production coordinate storage or on-demand request date,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000127_7012_70CDCR25D00000062_7012/
26-SOL-DCR-01-final,2025-11-20 final package,workflow and contract control,"Commercial-data verification; automated/manual research; possible physical observation; government case exports",None,Direct,"Required skip-tracing workflow privacy/security clauses and immediate-work expectation",Project PTA/PIA decision vendor system boundary ATO and records mapping,https://sam.gov/opp/bc8d7837d72149479146485298ff5ed5/view
26-SOL-DCR-01-first-tasks,2025-12-16 to 2025-12-18 award/start proxies,procurement,First visible task orders across 13 vendors,None,Direct,"Contractual tasking and obligations exist",First case transfer query observation accepted delivery and vendor-specific authorization dates,https://sam.gov/opp/bc8d7837d72149479146485298ff5ed5/view
DHS-PIA-index-exact-queries,2026-07-13 checked,public repository,"Exact terms: ATD; PIA-062; SmartLINK; commercial data; skip tracing","Only 2023 PIA-062 returned for ATD/PIA-062; no SmartLINK result","No skip-tracing result; commercial data returned only HSI RAVEn","Bounded state of DHS public PIA index on research date",Internal/unpublished compliance files and index completeness,https://www.dhs.gov/keywords/privacy-impact-assessment-pia
Wayback-CDX,through 2026-06-21,archive coverage,"PIA-062 PDF and DHS PIA collection captures","14 successful PIA-062 PDF captures from 2024-05-20","66 collection-page captures from 2019-10-19 through 2026-06-02","Public-page capture coverage",Non-public records and pages never archived,https://web.archive.org/
