facility,source_class,query_or_document,missing_or_redacted_field,result,boundary,next_record_holder
Adelanto / Desert View,ICE FOIA contract,70CDCR20D00000009 original plus P00004,"unit prices, obligated amounts, revised Desert View guarantee","2019 schedule discloses Adelanto 1-1,455 and Desert View 1-600 tiers but price fields are withheld; P00004 visibly removes the revised Desert View bed count",Historic schedule architecture is not a current FY25/FY26 rate schedule; the ICE workbooks independently provide later operational minimums.,ICE Office of Acquisition Management
Aurora,ICE FOIA modification,70CDCR22D00000001/P00011,"monthly, bed-day, transportation, and labor rates; quantities and amounts",document shows the rate-bearing CLIN architecture but numeric fields are redacted,Redaction is not zero and cannot be reconstructed from cumulative obligations.,ICE Office of Acquisition Management
Tacoma / Northwest,ICE FOIA modification,HSCEDM15D00015/P00049,"guaranteed-minimum beds, bed-day rate, staffing-plan headcount, quantity, unit price and amount",modification explicitly changes and incorporates those fields but withholds the values,OIG's 2021 rate is historical and cannot substitute for the current redacted schedule.,ICE Office of Acquisition Management
All four Western CDFs,USAspending,eight FY25/FY26 task-order award and transaction histories,"CLIN quantities and rates, invoices, receiving reports, vouchers, facility revenue allocation and performance deductions",award stocks and transaction obligations recovered; current cumulative outlays recovered,"Outlay is an award/account disbursement measure, not a gross invoice or proof of a specific service-period payment.",ICE finance/contracting office
All four Western CDFs,ICE detention statistics,FY25 and FY26 facility workbooks,daily/monthly population series aligned to task invoices and rates,facility-level YTD ADP classification components and guaranteed minimum recovered,"YTD average occupancy cannot be converted to billed bed-days without the applicable schedule, daily/monthly series and invoice rules.",ICE ERO and contracting office
All four Western CDFs,public contract search,exact current task PIIDs and parent IDs across ICE/SAM/GAO official records,funded task-order CLIN schedules and invoice packages,zero current unredacted official schedule/invoice results in bounded search,"A bounded zero result is an access/coverage result, not proof that records do not exist.",ICE Office of Acquisition Management
Aurora,USAspending closeout action,70CDCR25FR0000005/P00012,invoice reconciliation or performance-penalty basis,"2026-04-07 action deobligates 1,795,324.02 in remaining funds and closes the award","The description says remaining funds; it does not call the deobligation a deduction, credit, penalty, or unused-bed adjustment.",ICE contracting office
Desert View,USAspending closeout action,70CDCR25FR0000010/P00009,closeout reconciliation and invoice treatment,2026-06-16 zero-obligation closeout modification,"A zero-dollar closeout action does not prove no deduction, no credit, or full invoice payment.",ICE contracting office
All four Western CDFs,GEO 2025 Form 10-K,SEC filing,"facility-specific ICE revenue, invoices, credits and deductions",company/segment context only; no facility-period payment ledger,Corporate revenue recognition and government procurement measures remain separate.,agency contract-administration records
All four Western CDFs,restricted/non-used sources,"HigherGov, live SAM, paid PACER",not applicable,not used,No conclusion relies on prohibited or paid access.,not applicable
