Portcullis TrustNet provider database | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
Commonwealth Trust provider database | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
Nuix | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
Interdata | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
corporate registries | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
sanctions lists | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
BVI corporate records | The Aliyev family–contractor network (2013) | report-01-offshore-leaks-canon.md
Azerbaijani procurement records | The Aliyev family–contractor network (2013) | report-01-offshore-leaks-canon.md
Azerbaijani corporate registry | The Aliyev family–contractor network (2013) | report-01-offshore-leaks-canon.md
BVI corporate records | Bayartsogt Sangajav’s undeclared company and Swiss account (2013) | report-01-offshore-leaks-canon.md
Mongolian asset declarations | Bayartsogt Sangajav’s undeclared company and Swiss account (2013) | report-01-offshore-leaks-canon.md
Portcullis TrustNet provider database | China Leaks (2014) | report-01-offshore-leaks-canon.md
Commonwealth Trust provider database | China Leaks (2014) | report-01-offshore-leaks-canon.md
Chinese leadership and wealth rosters | China Leaks (2014) | report-01-offshore-leaks-canon.md
company registries | China Leaks (2014) | report-01-offshore-leaks-canon.md
LuxLeaks advance tax rulings | LuxLeaks (2014) | report-01-offshore-leaks-canon.md
Luxembourg company registry and accounts | LuxLeaks (2014) | report-01-offshore-leaks-canon.md
corporate annual reports | LuxLeaks (2014) | report-01-offshore-leaks-canon.md
HSBC Private Bank client files | Swiss Leaks (2015) | report-01-offshore-leaks-canon.md
sanctions lists | Swiss Leaks (2015) | report-01-offshore-leaks-canon.md
court and enforcement records | Swiss Leaks (2015) | report-01-offshore-leaks-canon.md
Mossack Fonseca files | Panama Papers (2016) | report-01-offshore-leaks-canon.md
Offshore Leaks Database | Panama Papers (2016) | report-01-offshore-leaks-canon.md
corporate registries | Panama Papers (2016) | report-01-offshore-leaks-canon.md
Mossack Fonseca transaction files | The Putin-circle cello network (2016) | report-01-offshore-leaks-canon.md
corporate registries | The Putin-circle cello network (2016) | report-01-offshore-leaks-canon.md
Mossack Fonseca files | Iceland’s prime minister and Wintris (2016) | report-01-offshore-leaks-canon.md
Icelandic asset declarations | Iceland’s prime minister and Wintris (2016) | report-01-offshore-leaks-canon.md
Landsbanki creditor records | Iceland’s prime minister and Wintris (2016) | report-01-offshore-leaks-canon.md
Mossack Fonseca client-service files | Mossack Fonseca’s sanctions and compliance behavior (2016) | report-01-offshore-leaks-canon.md
U.N. sanctions list | Mossack Fonseca’s sanctions and compliance behavior (2016) | report-01-offshore-leaks-canon.md
EU sanctions list | Mossack Fonseca’s sanctions and compliance behavior (2016) | report-01-offshore-leaks-canon.md
U.S. sanctions list | Mossack Fonseca’s sanctions and compliance behavior (2016) | report-01-offshore-leaks-canon.md
enforcement records | Mossack Fonseca’s sanctions and compliance behavior (2016) | report-01-offshore-leaks-canon.md
Bahamas corporate registry | Bahamas Leaks (2016) | report-01-offshore-leaks-canon.md
Offshore Leaks Database | Bahamas Leaks (2016) | report-01-offshore-leaks-canon.md
official asset declarations | Bahamas Leaks (2016) | report-01-offshore-leaks-canon.md
Appleby/Estera files | Paradise Papers (2017) | report-01-offshore-leaks-canon.md
Offshore Leaks Database | Paradise Papers (2017) | report-01-offshore-leaks-canon.md
corporate registries | Paradise Papers (2017) | report-01-offshore-leaks-canon.md
Appleby internal audits | Appleby’s repeated compliance failures (2017) | report-01-offshore-leaks-canon.md
regulatory audit records | Appleby’s repeated compliance failures (2017) | report-01-offshore-leaks-canon.md
Appleby ownership files | Wilbur Ross, Navigator and Sibur (2017) | report-01-offshore-leaks-canon.md
SEC filings | Wilbur Ross, Navigator and Sibur (2017) | report-01-offshore-leaks-canon.md
U.S. financial disclosures | Wilbur Ross, Navigator and Sibur (2017) | report-01-offshore-leaks-canon.md
sanctions lists | Wilbur Ross, Navigator and Sibur (2017) | report-01-offshore-leaks-canon.md
Appleby adviser correspondence | Apple’s post-Ireland island hop (2017) | report-01-offshore-leaks-canon.md
Apple corporate filings | Apple’s post-Ireland island hop (2017) | report-01-offshore-leaks-canon.md
Irish and Jersey tax-residence rules | Apple’s post-Ireland island hop (2017) | report-01-offshore-leaks-canon.md
Appleby/Nike records | Nike’s royalty conduit and the substance test (2017) | report-01-offshore-leaks-canon.md
Dutch company accounts | Nike’s royalty conduit and the substance test (2017) | report-01-offshore-leaks-canon.md
IP ownership records | Nike’s royalty conduit and the substance test (2017) | report-01-offshore-leaks-canon.md
Offshore Leaks Database | West Africa Leaks (2018) | report-01-offshore-leaks-canon.md
West African corporate registries | West Africa Leaks (2018) | report-01-offshore-leaks-canon.md
tax and contract records | West Africa Leaks (2018) | report-01-offshore-leaks-canon.md
Conyers Mauritius files | Mauritius Leaks (2019) | report-01-offshore-leaks-canon.md
Mauritius corporate registry | Mauritius Leaks (2019) | report-01-offshore-leaks-canon.md
tax-treaty texts | Mauritius Leaks (2019) | report-01-offshore-leaks-canon.md
company accounts | Mauritius Leaks (2019) | report-01-offshore-leaks-canon.md
Luanda Leaks corpus | Luanda Leaks (2020) | report-01-offshore-leaks-canon.md
Datashare | Luanda Leaks (2020) | report-01-offshore-leaks-canon.md
corporate registries | Luanda Leaks (2020) | report-01-offshore-leaks-canon.md
Sonangol records | Luanda Leaks (2020) | report-01-offshore-leaks-canon.md
FinCEN suspicious activity reports | FinCEN Files (2020) | report-01-offshore-leaks-canon.md
ICIJ FinCEN transaction dataset | FinCEN Files (2020) | report-01-offshore-leaks-canon.md
U.S. enforcement records | FinCEN Files (2020) | report-01-offshore-leaks-canon.md
FinCEN suspicious activity reports | HSBC and the WCM Ponzi network (2020) | report-01-offshore-leaks-canon.md
HSBC settlement records | HSBC and the WCM Ponzi network (2020) | report-01-offshore-leaks-canon.md
WCM court filings | HSBC and the WCM Ponzi network (2020) | report-01-offshore-leaks-canon.md
UK Companies House | Britain’s shell-company factories (2020) | report-01-offshore-leaks-canon.md
FinCEN suspicious activity reports | Britain’s shell-company factories (2020) | report-01-offshore-leaks-canon.md
PrivatBank audit records | Kolomoisky’s U.S. property trail (2020) | report-01-offshore-leaks-canon.md
U.S. property deeds | Kolomoisky’s U.S. property trail (2020) | report-01-offshore-leaks-canon.md
federal forfeiture complaints | Kolomoisky’s U.S. property trail (2020) | report-01-offshore-leaks-canon.md
state corporate registries | Kolomoisky’s U.S. property trail (2020) | report-01-offshore-leaks-canon.md
Pandora Papers provider databases | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
Datashare | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
Offshore Leaks Database | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
sanctions lists | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
PEP lists | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
wealth lists | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
Pandora Papers property files | King Abdullah’s 14 hidden homes (2021) | report-01-offshore-leaks-canon.md
UK Land Registry | King Abdullah’s 14 hidden homes (2021) | report-01-offshore-leaks-canon.md
U.S. deed and title records | King Abdullah’s 14 hidden homes (2021) | report-01-offshore-leaks-canon.md
Pandora Papers loan files | Andrej Babiš’s French estate chain (2021) | report-01-offshore-leaks-canon.md
French property records | Andrej Babiš’s French estate chain (2021) | report-01-offshore-leaks-canon.md
Czech asset declarations | Andrej Babiš’s French estate chain (2021) | report-01-offshore-leaks-canon.md
Pandora Papers trust files | South Dakota’s foreign trust vault (2021) | report-01-offshore-leaks-canon.md
South Dakota trust statutes | South Dakota’s foreign trust vault (2021) | report-01-offshore-leaks-canon.md
risk and court records | South Dakota’s foreign trust vault (2021) | report-01-offshore-leaks-canon.md
Alcogal client and SAR files | Alcogal’s politician-heavy client book and late SARs (2021) | report-01-offshore-leaks-canon.md
Offshore Leaks Database | Alcogal’s politician-heavy client book and late SARs (2021) | report-01-offshore-leaks-canon.md
public enforcement records | Alcogal’s politician-heavy client book and late SARs (2021) | report-01-offshore-leaks-canon.md
Cyprus Confidential provider files | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
Dow Jones Risk & Compliance | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
Forbes billionaires list | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
sanctions lists | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
company accounts | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
PwC Cyprus files | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
EU sanctions list | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
U.S. sanctions list | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
U.K. sanctions list | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
TUI disclosures | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
German corporate records | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
Abacus files | Petr Aven’s same-day $5 million payment (2023) | report-01-offshore-leaks-canon.md
U.K. National Crime Agency court filings | Petr Aven’s same-day $5 million payment (2023) | report-01-offshore-leaks-canon.md
Cyprus corporate registry | Petr Aven’s same-day $5 million payment (2023) | report-01-offshore-leaks-canon.md
EU sanctions notices | Petr Aven’s same-day $5 million payment (2023) | report-01-offshore-leaks-canon.md
Cyprus Confidential payment files | Abramovich’s hidden Chelsea payments (2023) | report-01-offshore-leaks-canon.md
Chelsea financial accounts | Abramovich’s hidden Chelsea payments (2023) | report-01-offshore-leaks-canon.md
Premier League/FA submissions | Abramovich’s hidden Chelsea payments (2023) | report-01-offshore-leaks-canon.md
corporate records | Abramovich’s hidden Chelsea payments (2023) | report-01-offshore-leaks-canon.md
