"finding_id","verification_status","claim_type","source_family","dependency_group","independence_weight","establishes","does_not_establish","H355_assessment","H356_assessment","diagnosticity","current_run_note"
"12535","verified","direct_quote","ICE/Wayback","ICE leadership chronology","independent","May 2026 top-page transition and title correction","Return date, appointment authority, GEO participation, screening or insulation","neutral","neutral","non_diagnostic","Use only as leadership-page chronology; #12944 refines the return boundary"
"12536","verified","direct_quote","SEC EDGAR","GEO role/consulting/equity filings","shared_family","GEO proposal-development responsibility","Specific procurement participation or screening failure","consistent","neutral","diagnostic_shared_family","Makes a GEO-specific boundary relevant but does not show failure"
"12537","verified","direct_quote","SEC EDGAR","GEO role/consulting/equity filings","shared_family","Proposal/renewal consulting scope and scheduled 2025-01-31 end","Actual termination, no extension, last payment or ICE conflict","consistent","consistent","non_diagnostic","Prior-matter scope fits H1; scheduled end also fits the innocent account"
"12538","verified","synthesis","SEC EDGAR","GEO role/consulting/equity filings","shared_family","Scheduled 2025-03-15 award event and continued eligibility","Actual vesting, distribution, retention, sale, divestiture or holdings","consistent","neutral","diagnostic_shared_family","Two-day timing sharpens the question; actual financial status remains unknown"
"12539","verified","paraphrase","OGE public collection","OGE bounded coverage","independent","No central public result and agency-held-record route","Absence or existence of a disclosure, screen, waiver or recusal","neutral","neutral","non_diagnostic","Missing public record is not adverse evidence"
"12540","verified","direct_quote","GAO/US Code","ICE office-level authority","independent","PAS office, succession and delegability framework","Venturella appointment, delegation, routing, participation or insulation","neutral","neutral","non_diagnostic","Possible delegation is not actual delegation or screening"
"12541","verified","direct_quote","ICE/DHS APFS","ICE acquisition structure","independent","Public acquisition placement under M&A/OAQ","Venturella-specific routing, supervisory limit, screen or nonparticipation","neutral","consistent","diagnostic","Strongest public structural H0 evidence, but not proof of adequate insulation"
"12545","verified_corrected","synthesis","analysis run","Derivative corrected synthesis","zero_dependency_only","May 2026 top-page interval only; old return-boundary interpretation is stale","An independent return interval, conflict, screening failure or insulation","not_applicable","not_applicable","excluded_dependency","Do not count 472/429 days; score direct #12944 instead"
"12944","verified","paraphrase","Mineral County release/MuckRock","March 2025 ICE role","independent","ICE Senior Advisor evidence by 2025-03-17; 45 days after scheduled consulting end and two days after scheduled vesting","Exact start, actual consulting termination, actual vesting/holdings, authority, screen or GEO participation","consistent","inconsistent","diagnostic","Directly invalidates H0's old 14-to-15-month return-separation premise"
"12945","verified","direct_quote","CourtListener/RECAP judicial opinion","Arias official-capacity case","independent_but_not_applicable","Automatic official-capacity substitution and case-specific traceability dismissal","Personal action, GEO matter participation or adequate insulation","not_applicable","not_applicable","not_applicable","Non-GEO case; neither participation nor nonparticipation evidence"
"12946","verified","direct_quote","CourtListener/RECAP DOJ filing","Washington collective litigation","independent","Collective U.S. Government party and mediation language in a GEO case","Venturella attendance, authority, direction, communication, decision or nonparticipation","neutral","neutral","non_diagnostic","Collective litigation status cannot be individualized"

