check_id,source,query_or_scope,result_count,relevant_result,negative_conclusion,limitation
N01,MuckRock,2019-ICFO-39006 initial production,1,no,initial ICE response reported no responsive records,appeal/remand later produced related material so initial no-record result is not dispositive
N02,MuckRock,2020-ICAP-00213 remand production 41 pages,1,partial,related correspondence/denial copies with redactions; 15 pages withheld under b5,no complete reconsideration/payment trail in released packet
N03,ICE FOIA mirror,2018-ICLI-00052 selected 126-page packet,1,yes,final denial sequence located; no later payment or reversal located,packet is selected pages and not a complete contracting file
N04,RECAP Novoa,DE231-2 through DE231-5 exhibits,4,yes,May 30 letter denials Edge reply and testimony located; no payment/modification record,party-selected litigation exhibits are not an agency file
N05,USAspending,HSCEDM-11-D-00003 IDV action descriptions,55,no,none describes 2018 litigation-cost reimbursement/settlement/REA grant,IDV rows show zero and do not expose invoice-level payments or every modification attachment
N06,USAspending,HSCEDM-15-D-00015 IDV action descriptions,51,no,"later REAs are expressly wage/CBA/MOU-related; none describes 2018 litigation-cost request",description-only search cannot exclude vague or omitted attachment terms
N07,USAspending,EROIGSA-11-0003 exact normalized award ID,0,no,no transaction row returned,no inference about payment because old IGSA may not be indexed under exact ID
N08,CBCA,published CDA decision index through 2026-07-14,1 GEO Group entry,no,"CBCA 7168 is DOJ/BOP not the three ICE vehicles",index excludes unfiled claims and may not expose sealed/nonprecedential matters
N09,CourtListener/web,"exact PIIDs plus equitable adjustment/legal fees/June 21 2018/reconsideration",0,no,no matching CDA appeal/reconsideration located,search-engine and RECAP coverage are incomplete
N10,RECAP governing instruments,"Aurora 62-page exhibit; Northwest 204-page exhibit; Adelanto 69-page exhibit",3,yes,changes/disputes/payment clauses located,"Aurora exhibit omits some original pages; Adelanto exhibit skips contract page 44a; modifications not exhaustive"

