evidence_id,evidence_date,proposition,source_or_artifact,h1_assessment,h1_diagnostic,h0_assessment,h0_diagnostic,limitation
finding-12521,2018/2021,"MUR 7180 reached reason-to-believe, probable-cause deadlock, and closure without adjudicated violation","FEC MUR 7180; finding #12521",neutral,no,neutral,no,"Procedural history can motivate a later review but does not establish one"
finding-12752,2024,"GEO reports a consolidated $2.15 million corporate Federal/National Committees total","GEO 2024 political report; finding #12752",neutral,no,consistent,no,"Aggregate does not identify payer or approval process"
finding-12753,2025,"GEO reports a consolidated $1.575 million corporate Federal/National Committees total","GEO 2025 political report; finding #12753",neutral,no,consistent,no,"Aggregate does not identify payer or approval process"
finding-12754,2025,"CLF reports early-2025 Acquisition II receipts","FEC recipient filings; finding #12754",consistent,no,consistent,no,"Payer identity is not itself a reason for selection"
finding-12755,2024-12-11,"Trump-Vance Form 13 labels a $500,000 inaugural receipt as GEO PAC but donor-side stream is unresolved","FEC Form 13; finding #12755",not_applicable,no,not_applicable,no,"Excluded from verified corporate-payer series"
finding-12756,2024,"Recipient filings itemize $2.125 million of the $2.15 million company aggregate under Acquisition II variants","FEC/company reconciliation; finding #12756",consistent,no,consistent,no,"$25,000 remains unresolved; selection reason absent"
finding-12757,2025,"Recipient filings contain both Acquisition II and Reentry rows and exceed company aggregate by $90,000","FEC/company reconciliation; finding #12757",consistent,no,consistent,no,"Unreconciled aggregate cannot be attributed by assumption"
finding-12758,2024,"Make America Great Again Inc. reports $1 million from Acquisition II","FEC recipient filings; finding #12758",consistent,no,consistent,no,"Shows payer and amount, not approval rule"
finding-12759,2025-10-09,"MAGA Inc. reports $1 million from Reentry","FEC recipient filing; finding #12759",consistent,no,consistent,no,"Shows later payer identity, not approval rule"
finding-12766,2016/2024/2025,"Twenty-six scoped rows rotate GCH to Acquisition II to Reentry; parent is direct ICE/DHS awardee; payer identities have no exact direct-award match in bounded records","lead 57788 crosswalk; finding #12766",consistent,no,consistent,no,"Necessary recurring condition but purpose is unproved; negatives are bounded"
finding-12767,2017-01-20,"GEO's response invokes entity-specific contractor status, 2013 REIT restructuring, holding-company role, and separate contracting entities","MUR 7180 response; finding #12767",consistent,no,consistent,yes,"Respondent advocacy; proves stated explanation and legal awareness, not later payment protocol"
mur7180-38,2021-09-16,"Broussard and Weintraub describe shared management, intertwined finances, and uniform policies","FEC MUR 7180 document 38",consistent,no,consistent,no,"Commissioner view; central administration does not distinguish award-aware selection from ordinary cash management"
mur7180-39,2021-10-13,"Dickerson, Cooksey, and Trainor emphasize different named contract parties and ordinary lawful holding-company structure","FEC MUR 7180 document 39",neutral,no,consistent,yes,"Competing commissioner view; not a Commission adjudication"
sec-ex22-base-rate,2024/2025,"All three payer entities appear among roughly 62 rows in the guarantor-subsidiary table","SEC Exhibits 22.1",neutral,no,consistent,no,"High guarantor base rate makes three-of-three payer overlap non-diagnostic"
