priority_group,bucket,finding_id,target_name,claim_type,confidence,evidence_type,evidence_ref,docsdb_status,suggested_action,summary
high,canonical-but-missing-quote,11,Kathy Ruemmler,direct_quote,confirmed,efta,EFTA01266278,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Ruemmler named as TRUSTEE of Epstein's 2019 trust (alongside Indyke and Kahn) and SUCCESSOR EXECUTOR of Epstein's will. Trust documents EFTA01266457 name 'DARREN K. INDYKE, RICHARD D. KAHN, and KATHERYN H. RUEMMLER, as Trustees.' Will EFTA01266278 appoints 'KATHRYN H. RUEMMLER, as successor Executor.' Additional trust EFTA01266434 names Ruemmler as successor trustee. This places Ruemmler at the absolute inner core of Epstein's legal and financial structure — not merely a social contact but a fiduciary of the estate."
high,canonical-but-missing-quote,11,Kathy Ruemmler,direct_quote,confirmed,efta,EFTA01266434,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Ruemmler named as TRUSTEE of Epstein's 2019 trust (alongside Indyke and Kahn) and SUCCESSOR EXECUTOR of Epstein's will. Trust documents EFTA01266457 name 'DARREN K. INDYKE, RICHARD D. KAHN, and KATHERYN H. RUEMMLER, as Trustees.' Will EFTA01266278 appoints 'KATHRYN H. RUEMMLER, as successor Executor.' Additional trust EFTA01266434 names Ruemmler as successor trustee. This places Ruemmler at the absolute inner core of Epstein's legal and financial structure — not merely a social contact but a fiduciary of the estate."
high,canonical-but-missing-quote,50,Kathy Ruemmler,direct_quote,confirmed,efta,EFTA00335051,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Epstein provided Ruemmler with substantial gifts and personal services. Nov 2015 — Epstein bought Ruemmler an iMac for NY ('He is so over the top\!\!\! The iMac in NY is amazing', EFTA00335003), a 64-inch TV for DC, printers, and had his personal tech 'genius' James set them up at her apartment and Latham office (EFTA00335051). Nov 2018 — Hermes Apple Watch gift ('Of course, I love the Hermes one\!', EFTA02262535). Feb 2019 — wine delivery to Ruemmler (EFTA02276922). Apr 2018 — flowers on birthday from Roses and Blooms (EFTA02240847). Feb 2018 — Valentine's Day 'Glam Squad' arranged by Lesley Groff for 'Karyna, Mel, Kathy Ruemmler' (EFTA02238367). Oct 2015 — Epstein offered to buy Paul Simon concert tickets for Ruemmler and friends (EFTA02486703). Pattern of lavish gift-giving consistent with Epstein's method of creating dependency and obligation."
high,canonical-but-missing-quote,90,International Peace Institute,direct_quote,confirmed,efta,EFTA01357084,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","LMSBAND contains images of actual check copies from Gratitude America to IPI, all drawn on Deutsche Bank Trust Company Americas (New York NY 10154). Checks: EFTA01357084 (May 8 2017, 150K), EFTA01360128 (Jun 12 2017, 125K), EFTA01362195 (Nov 1 2017, 100K). All payable to International Peace Institute Inc, 777 United Nations Plaza, 4th Floor, New York NY 10017-3521. This confirms Gratitude America banked at Deutsche Bank Trust Company Americas -- the same bank that maintained Epstein personal accounts and was later fined by NYDFS for the Epstein relationship."
high,canonical-but-missing-quote,90,International Peace Institute,direct_quote,confirmed,efta,EFTA01360128,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","LMSBAND contains images of actual check copies from Gratitude America to IPI, all drawn on Deutsche Bank Trust Company Americas (New York NY 10154). Checks: EFTA01357084 (May 8 2017, 150K), EFTA01360128 (Jun 12 2017, 125K), EFTA01362195 (Nov 1 2017, 100K). All payable to International Peace Institute Inc, 777 United Nations Plaza, 4th Floor, New York NY 10017-3521. This confirms Gratitude America banked at Deutsche Bank Trust Company Americas -- the same bank that maintained Epstein personal accounts and was later fined by NYDFS for the Epstein relationship."
high,canonical-but-missing-quote,90,International Peace Institute,direct_quote,confirmed,efta,EFTA01362195,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","LMSBAND contains images of actual check copies from Gratitude America to IPI, all drawn on Deutsche Bank Trust Company Americas (New York NY 10154). Checks: EFTA01357084 (May 8 2017, 150K), EFTA01360128 (Jun 12 2017, 125K), EFTA01362195 (Nov 1 2017, 100K). All payable to International Peace Institute Inc, 777 United Nations Plaza, 4th Floor, New York NY 10017-3521. This confirms Gratitude America banked at Deutsche Bank Trust Company Americas -- the same bank that maintained Epstein personal accounts and was later fined by NYDFS for the Epstein relationship."
high,canonical-but-missing-quote,108,Steve Bannon,direct_quote,high,efta,EFTA01615902,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","iMessage Jun 1-4 2019 reveals Bannon visiting 9 E 71st for film project shoot. Discussion of Emmet Flood WH departure, Bannon: rats jumping ship. Epstein asks: Kelly Anne next? Bannon: She has nowhere to go. On Jun 2 Epstein offers 100k invoice payment and island trip. On Jun 3 discuss prince andrew and trump, Epstein: recall prince andrews accuser came out of mara lago. Bannon: Cant believe nobody is making u the connective tissue."
high,canonical-but-missing-quote,108,Steve Bannon,direct_quote,high,efta,EFTA01615903,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","iMessage Jun 1-4 2019 reveals Bannon visiting 9 E 71st for film project shoot. Discussion of Emmet Flood WH departure, Bannon: rats jumping ship. Epstein asks: Kelly Anne next? Bannon: She has nowhere to go. On Jun 2 Epstein offers 100k invoice payment and island trip. On Jun 3 discuss prince andrew and trump, Epstein: recall prince andrews accuser came out of mara lago. Bannon: Cant believe nobody is making u the connective tissue."
high,canonical-but-missing-quote,111,Steve Bannon,direct_quote,high,efta,EFTA01615908,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.",iMessage Jun 3-4 2019 discusses George Nader arrest. Epstein: Mandatory minimum 15. Bannon: MBZ must have coughed him up. Epstein: Nope. He was not extradited. He was duped. Epstein then mentions Nader literally had pictures of some kid with a goat. Bannon asks about film cast. Epstein: Government wants to consider timing and how to control press. Government sensitive to exploitation. This reveals Epstein had inside knowledge of Nader arrest and DOJ considerations.
high,canonical-but-missing-quote,111,Steve Bannon,direct_quote,high,efta,EFTA01615909,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.",iMessage Jun 3-4 2019 discusses George Nader arrest. Epstein: Mandatory minimum 15. Bannon: MBZ must have coughed him up. Epstein: Nope. He was not extradited. He was duped. Epstein then mentions Nader literally had pictures of some kid with a goat. Bannon asks about film cast. Epstein: Government wants to consider timing and how to control press. Government sensitive to exploitation. This reveals Epstein had inside knowledge of Nader arrest and DOJ considerations.
high,canonical-but-missing-quote,149,Lawrence Summers,direct_quote,confirmed,efta,EFTA01920171,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Summers hosted Epstein at his home (207 Fisher Ave, Brookline MA) and attended Epstein's Sunday dinners with world leaders. Documented gatherings include: (1) Jun 7, 2014 dinner at Epstein's NYC house with 'Ehud, Hardeep Puri (former head of counter terrorism U.N.), Kevin Rudd, Woody, Joi Ito' -- Epstein invited Summers (EFTA01920171); (2) Mar 26, 2017 dinner at Summers's home where Summers wrote 'See u 630. 207 fisher ave Brookline ma' and 'Lisa enjoyed your time at our house. We should discuss philanthropy' (EFTA02653740); (3) Epstein responded to the Brookline visit mocking himself: 'jeff greene? I thought my work for african dictators was low.' The home visits confirm this was not a transactional relationship but a deep personal friendship where Summers's wife Lisa (Elisa New, Harvard professor) was also involved."
high,canonical-but-missing-quote,154,Lawrence Summers,direct_quote,confirmed,efta,EFTA01919974,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Summers wrote a recommendation letter for Nicole Junkermann at Epstein's request (Jul 2014). Epstein forwarded to Lesley Groff: 'Larry Summers Recommendation Ltr for Nicole Junkermann' with instruction 'Please send to Klaus at WCF' (EFTA01916963, Jul 25, 2014). Earlier (Jul 6, 2014), Summers told Epstein about Junkermann: 'Yes I get this. I met her I think in Gabon' (EFTA01919974). Epstein described Junkermann to Summers: 'Many of tall successful Jewish blondes. Few who are hot and charming' (EFTA01920248, Jul 6, 2014). Junkermann is a German-British investor who was linked to Israeli intelligence through her investment in Carbyne911 (board included Ehud Barak). The recommendation was sent to Klaus Schwab at the World Economic Forum. This demonstrates Summers providing his credibility to advance Epstein network members' institutional positioning."
high,canonical-but-missing-quote,154,Lawrence Summers,direct_quote,confirmed,efta,EFTA01920248,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Summers wrote a recommendation letter for Nicole Junkermann at Epstein's request (Jul 2014). Epstein forwarded to Lesley Groff: 'Larry Summers Recommendation Ltr for Nicole Junkermann' with instruction 'Please send to Klaus at WCF' (EFTA01916963, Jul 25, 2014). Earlier (Jul 6, 2014), Summers told Epstein about Junkermann: 'Yes I get this. I met her I think in Gabon' (EFTA01919974). Epstein described Junkermann to Summers: 'Many of tall successful Jewish blondes. Few who are hot and charming' (EFTA01920248, Jul 6, 2014). Junkermann is a German-British investor who was linked to Israeli intelligence through her investment in Carbyne911 (board included Ehud Barak). The recommendation was sent to Klaus Schwab at the World Economic Forum. This demonstrates Summers providing his credibility to advance Epstein network members' institutional positioning."
