topic,specific_record_or_query,current_evidence,status,lead_ids,source_track,question
2000 family agreement,"Executed December 14, 2000 agreement and attached schedules",Complaint paper 1 omits Exhibit A; all 40 pages of paper 65 independently reviewed without the agreement. Paper 11 was not preserved or reviewed page by page.,evidence_gap,95684;95685,local-courts,Beneficial interests and any buyout terms
2022 family settlement,Public settlement terms beyond paper 78 in 2084CV00531,The two-page with-prejudice stipulation is fully read and contains no economic terms.,evidence_gap,95684;95685,local-courts,Whether earlier claimed interests changed
2018 Concepts merger,Agreement and Plan of Merger referenced in MA 201826378650,Primary merger certificate read; the plan and schedules are absent.,evidence_gap,95835,capital,"Consideration, post-closing ownership and recipients"
Concepts IP transfer,USPTO 9039/0339 nine assignment pages,Official index read; PDF viewer failed to load original pages.,original_unread,95835;95688,capital,Terms of 2025 asset transfer; separate from 2018 merger
Alana bankruptcy,"17-12396 docs 27/30/35, 10/17/32, 46/51, 63/64 and final account",RECAP and Internet Archive alternatives did not supply the needed PDFs.,evidence_gap,95687,capital,"Schedules, sales, settlements, distributions"
Nader bankruptcy,"17-12398 docs 11 attachment 1/15, 24/25, 28/29/31, 30/35/38",Free-copy checks did not recover the amendments or later disposition papers.,evidence_gap,95687,capital,2019 reopening and amended asset/liability disclosures
Probate and family coverage,39 additional county/transliteration cells in coverage.csv,All 40 priority cells plus 13 Plymouth variants and 1 diagnostic completed; remaining cells explicitly unexecuted.,search_remaining,95679;95680;95681;95682;95683;95684,probate-family,Other spellings and remote-index limits
Lexington title continuation,Current title verification beyond bounded certificate 232457 index result,Historical deed/certificate read; exact certificate query ends in November 2004 seller-mortgage discharges. Official FY2026 assessor lists Tarek and repeats the same deed locator. Assessment continuity is established; certified current title is not.,title_gap,95684;95685,other-counties,Current/later owner must not be inferred from 2004 deed
Middlesex variants and historical indexes,Other observed variants and North pre-1976 grantor/grantee modes,32 canonical/hyphenated name queries and 2 address queries completed; remaining modes unexecuted.,search_remaining,95685,other-counties,Bounded zeros are not complete historical absence
Groton borrower title,Middlesex South 63603/484,Mortgage and linked payoff/discharge read; borrower deed was not opened.,original_unread,95682;95686,other-counties,Collateral chain; Houssam remains documented as creditor
Hull 1992 mortgage,Plymouth 10797/121 remaining 20 pages and underlying Abdul Rahman note,"Operative collateral/party/signature pages read; $200,000 cross-person support established.",partial_original,95681;95686,plymouth,"Additional terms, proceeds use, actual advances"
Hull 1986 mortgage,Plymouth 7361/58,Its January 1993 satisfaction read; underlying original mortgage remains unread.,original_unread,95686,plymouth,Earlier acquisition/debt history
Trust beneficiary schedules,"Hassull,376 Boylston, 384 Boylston and other separate trust schedules",Recorded declarations refer to separate schedules absent from the reviewed public instruments.,evidence_gap,95685;95688,plymouth/suffolk,Trustee capacity does not disclose beneficial percentages
400 Boylston chronology,Instrument resolving December 2000 removals versus March 2001 trustee signatures,Original removals/resignation recorded April 2004 and 2001 deed both preserved.,chronology_conflict,96319;95686,plymouth,No uninterrupted sole-trustee period established
Tivoli proceedings,Appellate 2026-J-0711 and 2026-P-1139 outcomes; any later satisfaction,March 2026 LLC judgment and June attachment checked; unspecified payment credited.,litigation_open,96192,local-courts,Appeal outcome and exact unpaid balance are not established
Brattle judgment,1781CV02053 corrected judgment and satisfaction,"Corrected $557,359.11 judgment followed by appeal dismissal and satisfaction in full on 2020-02-18.",resolved,95687,local-courts,Do not report historical award as outstanding debt
372–378 Boylston,19679/1 pages 2–19 — mortgage remainder,page1_only,record_follow_up,95685;95686,suffolk,"Complete covenants, note terms incorporated by reference, collateral, signatures and exhibits; do not restate the $1m face amount as a later balance."
376 Boylston Street Realty Trust,19728/320;20592/118;34256/228;53977/69 — trustee succession certificates/acceptance,indexed_successor_refs_not_read,record_follow_up,95685;95686,suffolk,Explain the recorded path from Hicham and Zouhair as 1995 co-trustees to Hicham certifying sole-trustee status in 2016.
18 Brimmer,21879/264 and evidence-led successors — foreclosed junior mortgage/assignments/discharge,not_read,record_follow_up,95685;95686,suffolk,Complete the mortgage actually foreclosed by Institutional Asset LLC; keep it separate from the senior 19143/176 obligation.
216–218 Newbury,20630/164 Exhibit B attachment — missing title-exception attachment,referenced_but_not_present_in_six_viewer_images,record_follow_up,95685;95686,suffolk,Seek a lawful registry/certified-copy route for the attached permitted-exceptions page; do not treat its absence as a clean-title result.
419 Boylston,20420/333;20428/305;56617/265 — trust/acquisition/certificate,not_read_wave3,record_follow_up,95685;95686,suffolk,"Read original trust declaration, 1996 acquisition consideration/capacities, and 2016 beneficiary-direction certificate."
419 Boylston,61827/227;62309/299 and exact releases — liens/releases,index_only,record_follow_up,95685;95686,suffolk,"Identify claimant, debtor capacity, amount, property and actual release/discharge; do not infer current debt from index entries."
384–390 Boylston,47449 recording session / exact parties — financing search,not_exhaustively_searched,record_follow_up,95685;95686,suffolk,"Search Hicham as trustee, 384 trust and exact date for mortgages/UCC filings; absence from the deed itself is not a negative finding."
Brimmer and Newbury trusts,trustee succession refs for 21956/113 and 20592/119 — trustee appointments/removals,not_complete,record_follow_up,95685;95686,suffolk,Explain how recorded title capacity changed from Zouhair as original sole trustee to Hicham as sole trustee by 2016.
216–218 Newbury,72957/242 and later disposition instruments — attachment/release/satisfaction follow-up,attachment_previously_read_later_chain_open,record_follow_up,95685;95686,suffolk,"Reconcile with Tivoli docket, appeals and any recorded discharge; attachment amount must not be added to overlapping judgment totals."
18 Brimmer,0684CV00302 judgment lien — registry locator unresolved — mechanics lien / release-satisfaction trace,court_judgment_context_only_registry_record_not_identified,record_follow_up,95685;95686,suffolk,Locate the exact recorded lien or memorandum and any release or satisfaction; absence of a satisfaction entry in the public court docket does not establish a current balance or enforceability.
all four reviewed chains,bounded post-review searches — later title/encumbrance search,not_complete,record_follow_up,95685;95686,suffolk,Run exact parcel/party/book-reference follow-ups before asserting current title or current liens.
Amine Hull predecessor,Plymouth 5006/79 and corrected 5787/169,Both 1981 deed pages read; prior 5036/79 locator excluded and corrected. Lead 96318 completed.,resolved,96318,plymouth,"The deed states $100,000 consideration; actual funds and kinship remain separate questions."
Pinecrest five-instrument chain,34623/310; 34676/138; 34869/46; 38184/288; 38241/147,"Operative mortgage pages, complete HELOC, both discharges and authority certificate reviewed. Lead 96320 completed.",bounded_scope_resolved,96320;95686,plymouth,Unreviewed first-mortgage covenants and actual draw/payoff sources remain in broader financing work.
2000 agreement document retrieval,2084CV00531 paper 11 and any properly identified agreement exhibit,No durable copy of paper 11 was preserved; no claim that the agreement is absent from that packet.,original_unread,95684;95685,local-courts,Retrieve and review the full packet before using it to confirm or exclude the agreement
Land Court original dockets,92 MISC 180515; 92 MISC 174404; 94 MISC 211789,Index candidates include a Hicham miscellaneous case and 400/711 Boylston trust servicemembers cases; details not read.,original_unread,95685;95686,local-courts,"Resolve parties, collateral, proceedings and outcomes without inferring foreclosure from case category"
Lower-court entity coverage,11 BMC Central core-vehicle cells; 44 Housing division/entity cells; remaining District divisions/entities,"Six canonical-name searches completed in BMC Central, four Housing and three District divisions.",search_remaining,95679;95680;95681;95682;95683;95684;95685;95687,local-courts,Complete business-prefix and other division coverage; preserve additional spelling gaps
Plymouth civil identity candidates,1083CV00701;1083CV00702;2483CV00708;2583CV00169,Four full-name Hicham cases reviewed; no independent Boston-company/property bridge established.,identity_unresolved,95679;95687,local-courts,"Resolve identities before attributing allegations, awards or assets to the subject"
Rainbows original ruling,"2484CV00348 April 8, 2026 summary-judgment order",Official docket disposition read; full order not opened.,original_unread,96192;95687,local-courts,Read grounds and remaining claims; do not treat partial ruling as final liability
