finding_id,independence_group,evidence_role,h333,h334,h341,h342,assessment_note
12398,golden-direct-prime,direct-prime-unused-payment-control,neutral,consistent,neutral,neutral,"Golden's $25.3m unused-space payment shows this economic effect can occur on a visible direct prime; it does not test IGSA structured joins."
12404,karnes-igsa,ordering-control,neutral,consistent,neutral,consistent,"The zero-dollar base and funded-order rule are ordinary IGSA administration; the reviewed base neither names GEO nor quantifies downstream economics."
12405,charlton-igsa,public-prime-geo-subcontract-topology,consistent,consistent,consistent,neutral,"Charlton-to-GEO topology is established, but the same fact is compatible with a routine facility-specific operator arrangement."
12406,evangeline-igsa,public-prime-geo-subcontract-topology,consistent,consistent,consistent,neutral,"The sheriff-prime/GEO-subcontract path repeats the topology; it does not establish common economics or structured-dollar recoverability."
12407,lasalle-igsa,public-prime-geo-subcontract-topology,consistent,consistent,consistent,neutral,"The development-district/GEO path repeats the topology across a different public-body type without proving a common effect."
12408,clearfield-igsa,public-prime-geo-economic-role,consistent,consistent,consistent,neutral,"GEO's REA beneath the county prime proves an economic role while remaining compatible with ordinary contract administration."
12410,portfolio-synthesis,chain-denominator,consistent,consistent,consistent,neutral,"Use the completed denominator of nine facility rows but six independent chains; recurrence alone does not show uniform terms or material dollars."
12421,golden-direct-prime,direct-prime-remedy-control,neutral,consistent,neutral,neutral,"ICE's planned reassessment of a direct-prime minimum is a control showing that minimum-setting and revision are not distinctive to IGSAs."
12425,charlton-igsa,unenforced-remedy,consistent,neutral,neutral,neutral,"Folkston received full funding despite attempted penalties, but the amount and cross-chain prevalence are unknown."
12428,torrance-non-geo,non-geo-enforced-remedy-control,neutral,consistent,neutral,neutral,"The non-GEO comparator shows ICE used a billing reduction and cut a minimum in another local-prime/private-operator setting."
12435,lasalle-igsa,operator-control-and-price-pass-through,consistent,consistent,consistent,neutral,"LaSalle passes federal per-diem adjustments to GEO and gives ICE/LEDD inspection rights; one chain cannot establish a common six-chain effect."
12436,lasalle-igsa,tiered-local-fee,consistent,consistent,consistent,neutral,"LaSalle's $5k/$10k/$15k monthly fee is predicted intermediary economics but differs from Montgomery's historical fixed annual fee."
12437,lasalle-igsa,quantified-annual-waterfall,consistent,consistent,consistent,neutral,"The $39.8m audited annual waterfall is financially material in one chain, but no verified structured-join test establishes system-wide omission."
12438,evangeline-igsa,ambiguous-local-fund,consistent,consistent,neutral,neutral,"A GEO-agreement-linked $39.45m fund exists, but payer, payee, and transaction direction are not resolved."
12439,charlton-igsa,local-control-variation,consistent,consistent,consistent,neutral,"Quarterly audit and 30-day convenience termination repeat the layered structure while materially differing from LaSalle's disclosed controls."
12441,clearfield-igsa,partial-local-ledger,consistent,consistent,consistent,neutral,"The budget exposes a $4.69m GEO/ICE account and a separate fee, but direction and task-order attribution remain unresolved."
12442,karnes-igsa,subcontract-flow-down-control,neutral,consistent,neutral,consistent,"Standard flow-down and invoice substantiation support ordinary legal-prime administration; the missing county-GEO agreement prevents downstream attribution."
