evidence_id,source_class,issuer,document_date,locator,exact_quote,fact_boundary,hypothesis_relevance,source_path,source_sha256,source_url
USAS-P00002,official federal award transaction,USAspending / ICE award data,2025-10-30,PIID 70CDCR25FR0000127; modification P00002; action type FUNDING ONLY ACTION,"THIS MODIFICATION ADDS FUNDING FOR SKIP TRACING SERVICES FOR THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETENTION, UTILIZING TECHNOLOGY AND CASE M","Action obligation $690,000.00; obligation is not an invoice, outlay, payment, or GEO revenue.","Establishes the dated funding action and public label only; the truncated description does not reveal item 42's unit, quantity, cohort, or deliverable.",investigations/geo-group/sources/2026-07-14-lead-62587/usaspending/usaspending-isapv-transactions-current.json,838ab3310538c84b35b04bbdad4e2f219cab2650c2333e1350b6aa273f75a6b6,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000127_7012_70CDCR25D00000062_7012/
USAS-P00003,official federal award transaction,USAspending / ICE award data,2025-12-17,PIID 70CDCR25FR0000127; modification P00003; action type FUNDING ONLY ACTION,THIS MODIFICATION ADDS FUNDING FOR ATTACHMENT 4 PRICING SCHEDULE ITEM 42 SKIP TRACING SERVICES FOR THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETE,"Action obligation $9,660,000.00; obligation is not an invoice, outlay, payment, or GEO revenue.","Establishes the dated funding action and public label only; the truncated description does not reveal item 42's unit, quantity, cohort, or deliverable.",investigations/geo-group/sources/2026-07-14-lead-62587/usaspending/usaspending-isapv-transactions-current.json,838ab3310538c84b35b04bbdad4e2f219cab2650c2333e1350b6aa273f75a6b6,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000127_7012_70CDCR25D00000062_7012/
USAS-P00004,official federal award transaction,USAspending / ICE award data,2026-01-27,PIID 70CDCR25FR0000127; modification P00004; action type FUNDING ONLY ACTION,THIS MODIFICATION ADDS FUNDING FOR ATTACHMENT 4 PRICING SCHEDULE ITEM 42 SKIP TRACING SERVICES FOR THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETE,"Action obligation $76,011,425.00; obligation is not an invoice, outlay, payment, or GEO revenue.","Establishes the dated funding action and public label only; the truncated description does not reveal item 42's unit, quantity, cohort, or deliverable.",investigations/geo-group/sources/2026-07-14-lead-62587/usaspending/usaspending-isapv-transactions-current.json,838ab3310538c84b35b04bbdad4e2f219cab2650c2333e1350b6aa273f75a6b6,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000127_7012_70CDCR25D00000062_7012/
USAS-AWARD-SNAPSHOT,official federal award snapshot,USAspending / ICE award data,2026-07-14 retrieval,PIID 70CDCR25FR0000127,total_obligation=108343853.0; total_account_outlay=94747700.79; subaward_count=0; total_subaward_amount=None,Current award-level snapshot; structured zero does not prove that no subcontractor or supplier exists.,Quantifies the award state without resolving the missing acquisition file or downstream supplier chain.,investigations/geo-group/sources/2026-07-14-lead-62587/usaspending/usaspending-isapv-award-current.json,5c145f887f9088bfaa86c25bcc9d6c830652b8f7dae4953e477d20a15e229dbd,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000127_7012_70CDCR25D00000062_7012/
SAM-PREAWARD-ITEM39,preserved extraction from public pre-award solicitation attachment,ICE / SAM opportunity,2025-08-15 posting,"Attachment 4, operational-support schedule ending at item 39",39. J-site Case Coordination Meeting,The original XLSX was not recovered in this wave; the preserved text extraction is a secondary local representation of the public SAM attachment.,Shows the public pre-award schedule reached item 39; does not establish the contents or absence of a post-award item 42.,investigations/geo-group/sources/2026-07-14-lead-62587/sam-preaward/attachment-4-pricing-template-preserved-text-extract.txt,4bf4b69d4ea9d3b61083afaa018a75c0756be574d3a41fd81ed10c8a545aef43,https://sam.gov/opp/8bcce9c16821469395136f30f092ffbf/view
SAM-PREAWARD-ESTIMATE,preserved extraction from public pre-award solicitation attachment,ICE / SAM opportunity,2025-08-15 posting,"Attachment 4, schedule note",*Quantities are estimated for evaluation purposes only. They shall not be modified by offerors and the Government is not obligated to order the stated quantity.,"Pre-award estimated quantities are not commitments, orders, invoices, or realized volume.",Limits any attempt to infer realized item-42 volume from the pre-award workbook.,investigations/geo-group/sources/2026-07-14-lead-62587/sam-preaward/attachment-4-pricing-template-preserved-text-extract.txt,4bf4b69d4ea9d3b61083afaa018a75c0756be574d3a41fd81ed10c8a545aef43,https://sam.gov/opp/8bcce9c16821469395136f30f092ffbf/view
SEC-PILOT,SEC-filed company statement,"The GEO Group, Inc.",2026-02-12,"Exhibit 99.1, 2025 results release",This two-year contract award follows an initial Skip Tracing pilot contract that we successfully implemented during the fourth quarter of 2025.,Company statement about its own contracting history; it does not identify the pilot PIID.,Distinguishes an initial Q4 2025 pilot from the two-year award but does not map the pilot to ISAP V item 42.,investigations/geo-group/sources/2026-07-14-lead-62587/sec/geo-2025-results-ex99-1.txt,9939375329b31475ca04e5c78b6313cac0e47e9ccad5d2b74fddd88998540aec,https://www.sec.gov/Archives/edgar/data/923796/000119312526047556/d88889dex991.htm
SEC-TRANSITION,SEC-filed company statement,"The GEO Group, Inc.",2026-02-12,"Exhibit 99.1, Q1 2026 guidance",no revenue or earnings assumption for the Skip Tracing services contract as we transition from the pilot contract that was implemented in the fourth quarter to the new two-year contract.,Forward-looking company guidance; not an agency acquisition record or payment ledger.,Establishes GEO described a pilot-to-new-contract transition; does not resolve case or data overlap.,investigations/geo-group/sources/2026-07-14-lead-62587/sec/geo-2025-results-ex99-1.txt,9939375329b31475ca04e5c78b6313cac0e47e9ccad5d2b74fddd88998540aec,https://www.sec.gov/Archives/edgar/data/923796/000119312526047556/d88889dex991.htm
SEC-GO-LIVE,SEC-filed company statement,"The GEO Group, Inc.",2026-05-06,"Exhibit 99.1, Q1 2026 results release",We began providing skip tracing services under this new two-year contract in March 2026.,Company-stated service-start month; not an ICE acceptance record and not proof of first case transfer.,Supplies a March 2026 public operational anchor for the new two-year skip-tracing contract.,investigations/geo-group/sources/2026-07-14-lead-62587/sec/geo-2026-q1-results-ex99-1.txt,1a5b4a66254bdc61e0e7fe564d29971bda4bda1dea10f46b1e5b047c0670331e,https://www.sec.gov/Archives/edgar/data/923796/000119312526207484/d122560dex991.htm
SEC-REVENUE-CAPACITY,SEC-filed company statement,"The GEO Group, Inc.",2026-05-06,"Exhibit 99.1, Q1 2026 results release",valued at up to $60 million in revenues per year.,"Company-described potential revenue capacity; not obligation, outlay, invoice, or recognized revenue.",Prevents conflation of company revenue guidance with USAspending action obligations.,investigations/geo-group/sources/2026-07-14-lead-62587/sec/geo-2026-q1-results-ex99-1.txt,1a5b4a66254bdc61e0e7fe564d29971bda4bda1dea10f46b1e5b047c0670331e,https://www.sec.gov/Archives/edgar/data/923796/000119312526207484/d122560dex991.htm
