shell-network convergence | The Proxy Platform (2011) | report-01-laundromat-canon.md
pass-through laundering | The Proxy Platform (2011) | report-01-laundromat-canon.md
litigation-seed expansion | A bad-tire lawsuit opened the platform (2011) | report-01-laundromat-canon.md
proceeds re-entry | Magnitsky proceeds met a dormant UK company (2011) | report-01-laundromat-canon.md
registry-status mismatch | Magnitsky proceeds met a dormant UK company (2011) | report-01-laundromat-canon.md
judicial legitimation | The Russian Laundromat (2014/2017) | report-01-laundromat-canon.md
legal-pretext laundering | The Russian Laundromat (2014/2017) | report-01-laundromat-canon.md
institutionalized pretext repetition | Moldovan courts manufactured the payment key (2014) | report-01-laundromat-canon.md
beneficiary fan-out | The 2017 bank leak exposed the destination layer (2017) | report-01-laundromat-canon.md
document-template anomaly | The 2017 bank leak exposed the destination layer (2017) | report-01-laundromat-canon.md
state-origin layering | The Azerbaijani Laundromat (2017) | report-01-laundromat-canon.md
influence laundering | The Azerbaijani Laundromat (2017) | report-01-laundromat-canon.md
velocity pairing | Same-day matching flows exposed coordinated shells (2017) | report-01-laundromat-canon.md
payment-policy alignment | Laundromat payments aligned with reputation lobbying (2017) | report-01-laundromat-canon.md
operator-attributed shell system | The Troika Laundromat (2019) | report-01-laundromat-canon.md
multi-purpose hidden treasury | The Troika Laundromat (2019) | report-01-laundromat-canon.md
control-plane attribution | Troika’s control plane leaked through routine operations (2019) | report-01-laundromat-canon.md
canceled-deal value transfer | Sixteen canceled share deals transferred value to Sergei Roldugin (2019) | report-01-laundromat-canon.md
insider-ledger corroboration | Plunder and Patronage in the Heart of Central Asia (2019) | report-01-laundromat-canon.md
customs-capture finance | Plunder and Patronage in the Heart of Central Asia (2019) | report-01-laundromat-canon.md
courier-network aggregation | Cash declarations turned couriers into a transport network (2019) | report-01-laundromat-canon.md
illicit-to-asset conversion | Wires became overseas property (2019) | report-01-laundromat-canon.md
criminal-market capture | The Riviera Maya Gang (2020) | report-01-laundromat-canon.md
identity laundering | The Riviera Maya Gang (2020) | report-01-laundromat-canon.md
hard-identifier alias resolution | “Paul Ionete” was Adrian Tiugan (2020) | report-01-laundromat-canon.md
loan-sale round trip | A loan-and-sale loop washed ATM proceeds through Romanian property (2020) | report-01-laundromat-canon.md
high-risk-client retention | Suisse Secrets (2022) | report-01-laundromat-canon.md
account-holder identity resolution | Suisse Secrets (2022) | report-01-laundromat-canon.md
risk-event overlap | Risk events overlapped live accounts (2022) | report-01-laundromat-canon.md
case-graph-to-account match | Venezuela’s PDVSA case graph unlocked Swiss accounts (2022) | report-01-laundromat-canon.md
case-file network reconstruction | NarcoFiles: The New Criminal Order (2023) | report-01-laundromat-canon.md
criminal supply-chain mapping | NarcoFiles: The New Criminal Order (2023) | report-01-laundromat-canon.md
constructed-denominator correction | A 1,764-seizure denominator changed the maritime story (2023) | report-01-laundromat-canon.md
procedural-template anomaly | Repeated controlled-delivery forms exposed a risky operational pattern (2023) | report-01-laundromat-canon.md
control-gap detection | Repeated controlled-delivery forms exposed a risky operational pattern (2023) | report-01-laundromat-canon.md
service-provider facilitation | Cyprus Confidential (2023) | report-01-laundromat-canon.md
sanctions-edge execution | Cyprus Confidential (2023) | report-01-laundromat-canon.md
effective-time compliance diff | PwC’s document timestamps crossed the sanctions boundary (2023) | report-01-laundromat-canon.md
off-books regulatory circumvention | Abramovich paid football costs outside Chelsea (2023) | report-01-laundromat-canon.md
asset-haven screening | Dubai Unlocked (2024) | report-01-laundromat-canon.md
post-event asset disposal | Dubai Unlocked (2024) | report-01-laundromat-canon.md
hard-ID asset resolution | Passport-grade matching reduced Dubai false positives (2024) | report-01-laundromat-canon.md
snapshot disposition diff | Passport-grade matching reduced Dubai false positives (2024) | report-01-laundromat-canon.md
public-money-to-foreign-asset link | Afghanistan contractors’ public-money trail ended in Dubai property (2024) | report-01-laundromat-canon.md
capture-by-opacity | All the President’s Men: State Projects Handed to Apparent Proxies in Kyrgyzstan (2024) | report-11-state-capture.md
proxy-contractor graph | All the President’s Men: State Projects Handed to Apparent Proxies in Kyrgyzstan (2024) | report-11-state-capture.md
state-to-private asset drift | All the President’s Men: State Projects Handed to Apparent Proxies in Kyrgyzstan (2024) | report-11-state-capture.md
regulatory-chokepoint capture | How to Build a Customs Empire (2020) | report-11-state-capture.md
proxy succession | How to Build a Customs Empire (2020) | report-11-state-capture.md
market-access coercion | How to Build a Customs Empire (2020) | report-11-state-capture.md
declared-means/lived-assets divergence | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
kin-title parking | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
social-post property attribution | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
pre-authorization billing | Money for Nothing: South Africa Paid a Firm Millions for Pretending to Manage Its Properties (2020) | report-11-state-capture.md
service-without-performance | Money for Nothing: South Africa Paid a Firm Millions for Pretending to Manage Its Properties (2020) | report-11-state-capture.md
front-company procurement insertion | Money for Nothing: South Africa Paid a Firm Millions for Pretending to Manage Its Properties (2020) | report-11-state-capture.md
insider-ledger re-anchoring | The 700-Million-Dollar Man (2019) | report-11-state-capture.md
trade-cover capacity mismatch | The 700-Million-Dollar Man (2019) | report-11-state-capture.md
customs-patronage revenue share | The 700-Million-Dollar Man (2019) | report-11-state-capture.md
flow-to-asset conversion | A Real Estate Empire Built on Dark Money (2019) | report-11-state-capture.md
purpose-code contradiction | A Real Estate Empire Built on Dark Money (2019) | report-11-state-capture.md
phantom-development parking | A Real Estate Empire Built on Dark Money (2019) | report-11-state-capture.md
elite-sector concentration | Azerbaijani First Family Big on Banking (2015) | report-11-state-capture.md
related-market enclosure | Azerbaijani First Family Big on Banking (2015) | report-11-state-capture.md
address-based ownership bridge | Azerbaijani First Family Big on Banking (2015) | report-11-state-capture.md
self-dealing concession | Aliyevs’ Secret Mining Empire (2016) | report-11-state-capture.md
offshore ownership peel-back | Aliyevs’ Secret Mining Empire (2016) | report-11-state-capture.md
enforcement immunity for insiders | Aliyevs’ Secret Mining Empire (2016) | report-11-state-capture.md
event-eve currency positioning | Azerbaijani Insiders Benefited from Currency Collapse (2016) | report-11-state-capture.md
captured-regulator tolerance | Azerbaijani Insiders Benefited from Currency Collapse (2016) | report-11-state-capture.md
state-company value transfer | Azerbaijani Insiders Benefited from Currency Collapse (2016) | report-11-state-capture.md
elite-credit privilege | Montenegro: Buying up Paradise (Part 2) (2014) | report-11-state-capture.md
criminal-collateral bridge | Montenegro: Buying up Paradise (Part 2) (2014) | report-11-state-capture.md
private-risk/public-rescue cascade | Montenegro: Buying up Paradise (Part 2) (2014) | report-11-state-capture.md
criminal-client bank capture | Montenegro: Prime Minister’s Family Bank Catered to Organized Crime (2014) | report-11-state-capture.md
KYC nullification | Montenegro: Prime Minister’s Family Bank Catered to Organized Crime (2014) | report-11-state-capture.md
reciprocal liquidity | Montenegro: Prime Minister’s Family Bank Catered to Organized Crime (2014) | report-11-state-capture.md
Sanctions-edge asset surfacing | Newfound Assets of Russian Billionaire Besties: London Flats and Show Horses (2022) | report-13-asset-tracing.md
registry-flight | Newfound Assets of Russian Billionaire Besties: London Flats and Show Horses (2022) | report-13-asset-tracing.md
kinship-held wealth | Newfound Assets of Russian Billionaire Besties: London Flats and Show Horses (2022) | report-13-asset-tracing.md
Latent infrastructure consortium | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
