date,event,document,issue,status_or_holding,evidence_characterization
2018-05-30,"Zoley letter to ICE allegedly expresses alarm at defense costs and seeks ICE reimbursement or DOJ assistance","Alleged in DE 45 and SAC DE 46","ICE litigation-cost communications","Used by the court in pleading-stage falsity/scienter analysis","Allegation accepted for pleading analysis; underlying correspondence not independently authenticated in this wave"
2018-11-08,"GEO files 3Q18 Form 10-Q","SAC DE 46 ¶¶107-108; GEO answer DE 64","No accrual and no expected material adverse effect from litigation","Pre-July 17 publication event allowed to proceed after DE 63","Publication/date admitted in answer; challenged character and falsity remained disputed"
2019-02-14,"GEO conducts 4Q18 earnings call","SAC DE 46 ¶¶109-110; GEO answer DE 64","Known legal cases adequately accounted for in 2019 guidance","Pre-July 17 publication event allowed to proceed after DE 63","Publication/date admitted in answer; challenged character and falsity remained disputed"
2019-02-25,"GEO files FY18 Form 10-K","SAC DE 46 ¶¶111-112; GEO answer DE 64","No accrual and no expected material adverse effect from litigation","Pre-July 17 publication event allowed to proceed after DE 63","Publication/date admitted in answer; challenged character and falsity remained disputed"
2019-05-06,"GEO files 1Q19 Form 10-Q","SAC DE 46 ¶¶113-114; GEO answer DE 64","No accrual and no expected material adverse effect from litigation","Pre-July 17 publication event allowed to proceed after DE 63","Publication/date admitted in answer; challenged character and falsity remained disputed"
2019-07-17,"Articles allegedly reveal GEO requests that ICE help cover litigation-defense costs","DE 45; DE 63","Corrective disclosure and loss causation","Accepted as adequately pleaded; alleged 7.9% stock decline over following two days","Pleading-stage treatment, not independent verification of article contents or causation"
2019-08-02,"GEO files 2Q19 Form 10-Q","SAC DE 46 ¶¶115-116","Pending-lawsuit statement","Dismissed by DE 63 because made after July 17, 2019 and no post-cutoff loss causation was pleaded","Dismissal was not a finding that the statement was true"
2019-11-07,"GEO files 3Q19 Form 10-Q","SAC DE 46 ¶¶117-118","Pending-lawsuit statement","Dismissed by DE 63 because made after July 17, 2019","Dismissal was not a finding that the statement was true"
2020-02-26,"GEO files FY19 Form 10-K","SAC DE 46 ¶¶119-120","Pending-lawsuit statement","Dismissed by DE 63 because made after July 17, 2019","Dismissal was not a finding that the statement was true"
2020-05-06,"GEO files 1Q20 Form 10-Q","SAC DE 46 ¶¶121-122","Pending-lawsuit statement","Dismissed by DE 63 because made after July 17, 2019","Dismissal was not a finding that the statement was true"
2020-07-07,"Securities class action filed","CourtListener docket 17329078","Case initiation","Case opened in S.D. Fla.","Docket metadata"
2021-09-23,"Court rules on motion to dismiss first amended complaint","DE 45","Pleading sufficiency","Only pending-lawsuit statements survive Count I against GEO/Zoley; Count II survives against Zoley","No liability adjudication"
2021-10-04,"Plaintiffs file second amended complaint","DE 46","Operative pleading","Claims limited to pending-lawsuit statements","Allegations, not proof"
2022-06-21,"Court grants dismissal as to all post-July 17 statements and denies alternative strike motion as moot","DE 63","Loss causation and cutoff","Claim proceeds only on statements before July 17, 2019; class period to be adjusted","Original court-stamped order recovered and visually verified"
2022-07-01,"GEO and Zoley answer second amended complaint","DE 64; DE 65","Pleadings close","Publication dates admitted; substantive allegations denied","Answers are party pleadings"
2023-05-01,"Parties execute settlement agreement","DE 86, filed 2023-05-08","Settlement","$3 million amount; defendants expressly deny fault, liability, wrongdoing, and damages","Settlement without admission"
2023-11-17,"Court enters final judgment and fee order","DE 104; DE 106","Final disposition and settlement administration","Settlement-only class certified for Nov. 9, 2018-Aug. 5, 2020; action dismissed with prejudice; 32% fee and expenses awarded","Broader class did not revive dismissed merits claims"
2024-09-19,"Plaintiffs seek distribution","DE 107","Claims administration","Administrator reports 12,047 processed and 5,161 accepted claims with $49,227,419.41 recognized losses","Party-submitted administrator figures"
2024-11-07,"Court orders distribution","DE 108","Settlement distribution","$250,438.83 administrator balance; pro rata initial distribution; possible second distribution and residual cy pres","Court order"
