id,person_a,person_b,relationship_type,date_range,verification_status,finding_id,finding_verification,thread_id,description
6343,Matthew T. Albence,U.S. Immigration and Customs Enforcement,employment,,verified,12385,verified,111,Former ICE official whose roles culminated as Acting Director; later a GEO senior executive.
6344,Daniel Ragsdale,U.S. Immigration and Customs Enforcement,employment,2012-2017,verified,12386,verified,111,Served as ICE Deputy Director from 2012 through 2017; later a GEO senior executive.
6345,Julie Myers Wood,U.S. Immigration and Customs Enforcement,employment,2006-01 to 2008-11,verified,12387,verified,111,Headed ICE from January 2006 through November 2008; later a GEO director.
6346,B.I. Incorporated,Guidepost Solutions LLC,contracts_with,through 2025-12-31,verified,12462,verified,112,"Guidepost had a consulting agreement with B.I. Incorporated; GEO disclosed $420,000 paid under it in 2025 and that it ended December 31, 2025."
6349,B.I. Incorporated,U.S. Immigration and Customs Enforcement,contracts_with,,verified,12397,verified,109,GAO-22-104529 reviewed ICE's performance assessment of the B.I. Incorporated ISAP contractor.
6350,Checkmate Government Relations,"The GEO Group, Inc.",advisory,2025 Q4,verified,12401,verified,112,Checkmate reported Q4 2025 lobbying income from GEO concerning detention-center contracts.
6351,"The GEO Group, Inc.",U.S. Immigration and Customs Enforcement,contracts_with,,verified,12474,verified,108,"USAspending parent-UEI reconstruction identifies direct ICE prime awards to THE GEO GROUP, INC.; finding #12474 preserves the legal-name breakdown and cumulative-obligation caveats."
6352,"GEO Transport, Inc.",U.S. Immigration and Customs Enforcement,contracts_with,,verified,12474,verified,108,"USAspending parent-UEI reconstruction identifies two direct ICE prime awards to GEO TRANSPORT, INC.; finding #12474 preserves the legal-name breakdown and cumulative-obligation caveats."
6353,"Charlton County, Georgia","The GEO Group, Inc.",contracts_with,,verified,12405,verified,108,ICE IGSA modification names Charlton County as prime public counterparty and GEO as subcontractor for Folkston/D. Ray James work.
6354,Evangeline Parish Sheriff’s Office,"The GEO Group, Inc.",contracts_with,,verified,12406,verified,108,ICE IGSA modifications identify the sheriff's office as named prime and GEO as subcontractor for Pine Prairie/South Louisiana.
6355,LaSalle Economic Development District,"The GEO Group, Inc.",contracts_with,,verified,12407,verified,108,ICE IGSA modifications identify the development district as named contractor and GEO Group as subcontractor for Alexandria/Central Louisiana.
6356,"Clearfield County, Pennsylvania","The GEO Group, Inc.",contracts_with,,verified,12408,verified,108,ICE Moshannon modifications name Clearfield County as contractor and state that GEO submitted the request for equitable adjustment.
6357,"Charlton County, Georgia",U.S. Immigration and Customs Enforcement,contracts_with,,verified,12405,verified,108,Charlton County is the named public counterparty under ICE IGSA EROIGSA-17-0002; the reviewed modification identifies GEO as subcontractor.
