question,path_or_source,result,scope_boundary,preserved_artifact,next_route
"Operating agreement/member schedule","Florida Sunbiz indexed filing links","Formation, amendment, and annual-report links identified; direct document requests returned Cloudflare interstitial HTML","No substantive claim drawn from interstitials; manager summary does not establish members","negative/sunbiz-*-cloudflare.html; negative/sunbiz-geo-cdr.*","Human action 76"
"Operating agreement/member schedule","Unified registry filing lookup","Entity and officer snapshots returned; filing-content lookup returned zero","Local snapshot may lag and does not substitute for exact scanned filing images","registry/*.json","Human action 76"
"Operating agreement/member schedule","GEO SEC filings","GEO calls counterparty another contractor and reports joint control/equity method; no name or percentage recovered","Do not infer that CDR Maguire is the contractor/member","contract/geo-2025q3-10q.html","Human action 76"
"Operating agreement/member schedule","CourtListener exact GEO-CDR BAKER search","Zero results","Bounded to indexed CourtListener/RECAP; not proof no court record exists","negative/courtlistener-exact-geo-cdr-baker.json","Human action 76 if agency records do not resolve"
"Signed PO terms/rates","FDEM Salesforce object 069cs00001C12EsAAJ","Requests redirected to authenticated login","No rate, term, quantity, or line assignment recovered","negative/sf-*.headers; negative/sf-*.bin","Human action 77"
"Signed PO terms/rates","Wayback CDX for Salesforce object","Zero archived captures","No inference about contract contents","negative/wayback-sf-069cs00001C12EsAAJ.json","Human action 77"
"PO/modification listing","Florida FACTS exact PO-010844 and GEO-CDR searches","Zero result pages","FACTS nonreturn does not establish that the PO or modifications do not exist","contract/facts-po-010844-results.html; contract/facts-geo-cdr-results.html","Human action 77"
"Prior-year invoice detail","Current FLAIR invoice lookup for 33.00_001","No record returned after FY rollover","Current lookup is not an exhaustive FY2025-26 archive","flair/flair-invclkup.html","Human action 77"
"Warrant cleared/cashed status","FLAIR warrant lookup","Detailed warrant path was secured/unavailable","Posted and warrant-issued fields do not establish clearing or cashing","flair/flair-wrtlkup.html","Human action 77"
"FY2026-27 later payments","Transparency Florida FY27 vendor page","Vendor heading returned with no transaction rows as of 2026-07-14","Snapshot result only; later postings may appear","flair/transparency-geo-cdr-payments-fy27.html","Refresh in later period if lead resumes"

