ledger,edge_or_question,record_date,exact_record_fact,amount_or_threshold,payer_to_payee_route,role_or_scope,ethics_or_approval_fact,not_established,source_url,local_source,exact_quote
"Homan disclosure","Homan←Guidepost consulting source","2025-02-10","Guidepost is a Part 4 source for Homan's personal consulting services in the covered reporting period",">$5,000 in at least one covered calendar year","May have paid Homan or his employer; form does not say","Consulting Services","Form reviewed 2025-04-10 and certified 2025-05-08; no client-specific determination shown","Exact amount; threshold year; service dates; contract; invoice; employer; project; B.I./ICE/ISAP link; receivable; recusal/screen/authorization","https://www.whitehouse.gov/wp-content/uploads/2025/08/Homan-Thomas.pdf","investigations/geo-group/sources/2026-07-14-lead-59112/oge/Homan-Thomas-2025-278e.pdf","3 Guidepost Solutions | Washington, District of Columbia | Consulting Services"
"Homan disclosure","Homan←GEO Care consulting source","2025-02-10","GEO Care is a Part 4 source for Homan's personal consulting services in the covered reporting period",">$5,000 in at least one covered calendar year","May have paid Homan or his employer; form does not say","Consulting Services","Form reviewed 2025-04-10 and certified 2025-05-08; no client-specific determination shown","Exact amount; threshold year; service dates; legal entity; contract; invoice; employer; project; receivable; recusal/screen/authorization","https://www.whitehouse.gov/wp-content/uploads/2025/08/Homan-Thomas.pdf","investigations/geo-group/sources/2026-07-14-lead-59112/oge/Homan-Thomas-2025-278e.pdf","5 GEO Care | Boca Raton, Florida | Consulting Services"
"Homan disclosure","Part 4 payment-route rule","current guide / embedded form instructions","A personal-services source is reportable even when it paid the filer's employer instead of the filer","Threshold is per source and calendar year","Direct-versus-employer payment is intentionally unresolved by the source entry","Personal services required","General disclosure rule only","Which route applied to Guidepost or GEO Care","https://www.oge.gov/web/278eGuide.nsf/Part_4","investigations/geo-group/sources/2026-07-14-lead-59112/oge/Homan-Thomas-2025-278e.txt","The filer discloses a source even if the source made its payment to the filer's employer and not to the filer."
"Homan disclosure","Homan←Homeland Strategic Consulting","2023-01-01/2025-02-10 reporting record","Homan reported president through 12/2024 and a $360,000 salary from Homeland Strategic Consulting","$360,000 salary","Employer→Homan salary; client composition undisclosed","President","A separate dormancy line uses the inconsistent name Homeland Security Consulting","Any allocation to Guidepost, GEO Care, or another client; whether the dormancy line is the same legal entity","https://www.whitehouse.gov/wp-content/uploads/2025/08/Homan-Thomas.pdf","investigations/geo-group/sources/2026-07-14-lead-59112/oge/Homan-Thomas-2025-278e.pdf","Homeland Strategic Consulting, LLC | Salary | $360,000"
"Homan disclosure","Homan appointment and review chronology","2025-01-20/2025-05-08","Appointment 2025-01-20; signed 2025-02-10; ethics review 2025-04-10; agency certification 2025-05-08","N/A","N/A","DHS Border Czar; non-career","Certification concludes compliance based on information in the report","Client-specific recusal; screen; authorization; waiver; participation history","https://www.whitehouse.gov/wp-content/uploads/2025/08/Homan-Thomas.pdf","investigations/geo-group/sources/2026-07-14-lead-59112/oge/Homan-Thomas-2025-278e.txt","On the basis of information contained in this report, I conclude that the filer is in compliance with applicable laws and regulations."
"Homan disclosure","Former-client covered-relationship rule","general OGE guidance","Former clients remain covered relationships for one year after last service and while fees remain outstanding","N/A","Outstanding fee status can extend the period","General framework; not a Homan-specific determination","Matter participation may require notice to agency designee and authorization","Homan's last service; outstanding fee; particular matter; notice; authorization","https://www.oge.gov/web/OGE.nsf/0/52C4153BD9632593852585B6005A1F8E/$FILE/Law%20Firm%20or%20Consulting%20Employment.pdf","investigations/geo-group/sources/2026-07-14-lead-59112/oge/OGE-law-firm-consulting-employment.pdf","an employee will have a covered relationship with their former clients for one year after last providing services to the particular client"
"GEO–Guidepost/B.I. corporate","B.I.→Guidepost","2023-12-31","GEO reported aggregate payment under the Guidepost consulting agreement and extension through 2024","$180,000; $15,000/month current retainer","B.I. Incorporated→Guidepost at entity level","Consulting agreement; scope undisclosed","GEO says Audit and Finance Committee reviewed and approved related-party transactions","Agreement; invoices; personnel; deliverables; Wood vote/recusal; Homan involvement or flow-through","https://www.sec.gov/Archives/edgar/data/923796/000119312524074555/d717730ddef14a.htm","investigations/geo-group/sources/2026-07-14-lead-59112/sec/2024-03-22-geo-def14a.htm","For the year ended December 31, 2023, $180,000 was paid in the aggregate pursuant to the consulting agreement"
"GEO–Guidepost/B.I. corporate","B.I.→Guidepost","2024-12-31","GEO reported aggregate payment under the Guidepost consulting agreement and extension through 2025","$180,000; $15,000/month current retainer","B.I. Incorporated→Guidepost at entity level","Consulting agreement; scope undisclosed","GEO says Audit and Finance Committee reviewed and approved related-party transactions","Agreement; invoices; personnel; deliverables; Wood vote/recusal; Homan involvement or flow-through","https://www.sec.gov/Archives/edgar/data/923796/000119312525059356/d882905ddef14a.htm","investigations/geo-group/sources/2026-07-14-lead-59112/sec/2025-03-20-geo-def14a.htm","For the year ended December 31, 2024, $180,000 was paid in the aggregate pursuant to the consulting agreement"
"GEO–Guidepost/B.I. corporate","B.I.→Guidepost","2025-12-31","GEO reported aggregate payment; agreement not extended past year-end","$420,000; most recent retainer $35,000/month","B.I. Incorporated→Guidepost at entity level","Consulting agreement; scope undisclosed","GEO says Audit and Finance Committee reviewed and approved related-party transactions","Agreement; invoices; personnel; deliverables; when/how retainer changed; Wood vote/recusal; Homan involvement or flow-through","https://www.sec.gov/Archives/edgar/data/923796/000119312526116014/d923546ddef14a.htm","investigations/geo-group/sources/2026-07-14-lead-59112/sec/2026-03-19-geo-def14a.htm","For the year ended December 31, 2025, $420,000 was paid in the aggregate pursuant to the consulting agreement"
"GEO–Guidepost/B.I. corporate","GEO Audit and Finance Committee authority","2024-11-12 charter","Committee reviews for approval certain Item 404 contracts or transactions above $120,000 and develops approval procedures","$120,000 charter threshold","N/A","Corporate related-party oversight","Charter gives review/approval authority","Meeting minutes; votes; Wood abstention/recusal; Homan issue; agreement-specific reasoning","https://www.geogroup.com/media/s3yd20vm/audit_finance_charter_2024.pdf","investigations/geo-group/sources/2026-07-14-lead-59112/sec/geo-audit-finance-charter-2024.pdf","Review and consider for approval any contracts or transactions (i) greater than $120,000"
