date,event_class,event,evidentiary_limit
2025-01-20,policy,President issued Executive Orders 14159 and 14165.,Court-reported background; temporal sequence alone does not prove influence or favoritism.
2025-01-23,unsolicited proposal,Salus submitted its initial unsolicited CSRO proposal to DHS.,Court finding from administrative record; three days after the executive orders.
2025-02-10,unsolicited proposal,Salus resubmitted its proposal; USAspending separately reports a $112.888 million CARE subaward to a Salus LLC on this date.,Same-date events; no causal inference. LLC/Corp relationship unresolved.
2025-02-18,agency review,DHS acknowledged the unsolicited proposal.,Court finding.
2025-02-22,agency review,PLCY completed a favorable initial review.,Court finding.
2025-02-24,agency review,DHS accepted the proposal for comprehensive evaluation.,Court finding.
2025-03-07,agency review,DHS completed a favorable comprehensive evaluation.,Court finding.
2025-04-04,scope development,"DHS separated voluntary returns and involuntary removals; Salus proposed a concept covering 276,000 movements and three international staging areas.","Court finding; proposal volume was a plan, not achieved output."
2025-04-17,scope development,Last precompetition Salus white paper identified in the court's chronology.,Court finding.
2025-04-18,OCI review,An inadvertent DHS email disclosure prompted contracting-officer and counsel review of potential organizational conflicts.,"Court finding; waiver later acknowledged appearances, not an adjudicated actual conflict."
2025-05-13,market engagement,Six vendors joined the industry meeting; DHS circulated a draft SOW/pricing schedule to those firms and a seventh firm.,Court finding.
2025-05-14,market engagement,DHS held a presolicitation conference and one-on-one/question activity.,Court finding.
2025-05-15,solicitation,DHS distributed RFP 70RDA225R0000008 to seven potential offerors under an urgency J&A.,Court record number conflicts with USAspending latest field 70RDA225R00000018.
2025-05-18,OCI waiver,The contracting officer executed and the HCA approved an OCI waiver.,Agency procurement judgment; not proof that no conflict existed.
2025-05-19,proposals and GAO,Four timely proposals were submitted; CSI filed a pre-award GAO protest around 9 a.m.,Court finding.
2025-05-20,award and stay override,DHS overrode the CICA stay and awarded the IDIQ to Salus; parent minimum obligation was $250.,CSI did not challenge the override in the COFC case.
2025-05-22,task order,DHS issued task order 70RDA225FR0000018 with an initial $30 million obligation.,USAspending transaction record; instrument date differs from the IDIQ award date.
2025-07-21,GAO ADR,GAO conducted outcome-predictive ADR.,The expected-denial account is attributed by the court to CSI; there was no GAO merits decision.
2025-08-06,GAO disposition,GAO confirmed CSI's withdrawal of the protest.,"Withdrawal, not a merits ruling."
2025-08-11,COFC filing,CSI filed No. 25-1338C in the Court of Federal Claims.,Public docket.
2026-02-05,replacement notice,"DHS posted a CSRO presolicitation notice, then removed it the following day.",Public RECAP exhibit; replacement procurement was not completed in this record.
2026-05-05,COFC judgment,Judgment dismissed CSI's complaint.,Threshold and alternative grounds must be stated separately.
2026-05-12,reported opinion,The court publicly filed its 66-page reported opinion.,The opinion was first issued under seal on May 4.
2026-05-22,task-order modification,"P00022 added $200 million, bringing task-order obligations to $697.707 million.",USAspending transaction sum; not a payment or revenue figure.
2026-05-27,separate ICE award,ICE signed purchase order 70CDCR26P00000010 for aircraft-maintenance operational support.,Separate $4.317 million instrument; excluded from CSRO totals.
2026-07-14,appeal check,Exact-party CourtListener search found no Federal Circuit appeal.,Bounded database search as of this date; not proof that no filing exists elsewhere or later.
