date,ecf,event_type,evidentiary_status,description,public_document,source
2022-11-02,,state_filing,court_recited_procedural_history,"Original complaint filed in Brunswick County Circuit Court",no,"ECF 130 p.4"
2023-10-02,,state_filing,court_recited_procedural_history,"First amended complaint filed in Brunswick County Circuit Court",no,"ECF 130 p.4"
2024-04-29,1,removal,docket_fact,"Case removed to E.D. Va.; state-record attachments unavailable in RECAP",no,"CourtListener docket entry 1"
2024-12-18,101,pleading,allegations,"Third amended complaint pleaded Counts 1-8 and demanded $10 million plus $350,000 punitive damages",yes,"CourtListener RECAP 469883825"
2025-05-15,130,motion_to_dismiss_ruling,court_ruling,"Mixed dismissal ruling; state respondeat-superior theories in Counts 1-6 continued and Count 8 was dismissed in full",yes,"CourtListener RECAP 439757074"
2025-05-15,131,order,court_ruling,"Order granted in part and denied in part the motions to dismiss",no,"CourtListener docket entry 131"
2025-12-16,,settlement_conference,docket_fact,"First settlement conference held; later filings show the case did not terminate then",no,"CourtListener docket"
2026-01-16,225,trial_schedule,court_ruling,"Court cancelled final pretrial conference and jury trial and stayed deadlines pending nine Daubert motions",yes,"CourtListener RECAP 469883956"
2026-03-23,226,judgment_on_pleadings,court_ruling,"Court dismissed Count Seven against all remaining defendants in full",no,"CourtListener docket entry 226"
2026-05-15,227,expert_order,court_ruling,"Court resolved Daubert motions, lifted the stay, set dispositive motions due in 21 days, and ordered another settlement conference",no,"CourtListener docket entry 227"
2026-05-15,228,expert_opinion,court_ruling,"Court excluded Colburn and Fournier and imposed detailed limits on McLearen and defense experts",yes,"CourtListener RECAP 479430100"
2026-05-21,232,replacement_experts,court_ruling,"Court denied plaintiff leave to designate replacement experts and kept the briefing schedule",no,"CourtListener docket entry 232"
2026-05-26,235,schedule,court_ruling,"Court denied GEO defendants' request to bifurcate or extend dispositive briefing",no,"CourtListener docket entry 235"
2026-06-01,236,settlement_schedule,scheduling_only,"Settlement conference scheduled for July 13 at 2:00 p.m. before Magistrate Judge Colombell",no,"CourtListener docket entry 236"
2026-06-02,237-238,summary_judgment,party_motion,"Meriam Kamara moved for summary judgment; supporting memorandum unavailable in RECAP",no,"CourtListener docket entries 237-238"
2026-06-04,239-240,summary_judgment,party_motion,"Delisa Jordan moved for summary judgment; supporting memorandum unavailable in RECAP",no,"CourtListener docket entries 239-240"
2026-06-05,241-242,summary_judgment,party_motion,"GEO and nine individual defendants moved for summary judgment and dismissal with prejudice",partial,"CourtListener RECAP 481930373"
2026-06-05,243,sealed_attachment,docket_fact,"Sealed attachment or exhibit filed in support of ECF 242; contents not public",sealed,"CourtListener docket entry 243"
2026-07-13,236,settlement_conference,unknown_outcome,"Scheduled conference date; no outcome in public CourtListener/RECAP snapshot checked at 11:52 p.m. EDT",no,"CourtListener docket/API snapshot"
