canonical_person,sec_role,roster_status,raw_candidate_rows,identity_retained_rows,excluded_or_unresolved_rows,source_receipt_rows,gross_source_receipts,geo_pac_source_rows,geo_pac_gross,external_source_rows,external_gross,trump_named_source_rows,trump_named_gross,linked_refunds,linked_refund_net,identity_basis
Thomas C. Bartzokis,Director nominee,current,4,4,0,2,740.0,0,0,2,740.0,2,740.0,0,740.0,"SEC proxy confirms the distinctive full name, Boca Raton medical practice, and director service since 2022."
Jack Brewer,Director nominee,current,1106,18,1088,18,22500.0,18,22500.0,0,0,0,0,0,22500.0,"SEC proxy name plus Boca Raton, GEO employer, and Board of Director occupation; same-name rows elsewhere remain unresolved."
Donna Arduin Kauranen,Director nominee,current,7,7,0,7,8750.0,7,8750.0,0,0,0,0,0,8750.0,"SEC proxy name plus distinctive three-part FEC name, Boca Raton, GEO, and director title."
Scott M. Kernan,Director nominee,current,0,0,0,0,0,0,0,0,0,0,0,0,0,Exact SEC full name; no FEC Schedule A rows returned in the six-cycle search.
Lindsay L. Koren,Director nominee,current,56,56,0,54,15022.5,11,13750.0,43,1272.5,0,0,0,15022.5,"SEC proxy confirms Darden service from 2015 and GEO board service from December 2022, matching the Orlando-to-Boca FEC transition."
Julie Myers Wood,Director nominee,current,4,4,0,4,5000.0,4,5000.0,0,0,0,0,0,5000.0,"SEC proxy name plus the distinctive hyphenated FEC name, GEO employer, Boca Raton, and board title."
George C. Zoley,Chairman and Chief Executive Officer; director nominee,current,293,293,0,186,1140393.9,124,56343.9,62,1084050.0,5,286600.0,8284.6,1132109.3,SEC proxy full name and role match the full-middle-name Boca Raton FEC records.
Mark Suchinski,Chief Financial Officer,current_at_proxy,102,102,0,101,21708.8,18,6922.8,83,14786.0,0,0,0,21708.8,"SEC proxy states Spirit AeroSystems CFO service through June 2024 and GEO appointment effective July 8, 2024, matching the FEC employer/location transition."
Paul Laird,"Senior Vice President, Secure Services",current,1772,110,1662,109,30375.0,108,28875.0,1,1500.0,0,0,0,30375.0,SEC proxy states GEO service since 2015 and operations-to-secure-services progression; only Charlotte/Boca/Delray GEO-title records are retained.
Matthew T. Albence,"Senior Vice President, Client Relations",current,43,43,0,43,17499.3,43,17499.3,0,0,0,0,0,17499.3,SEC full name and title match the Boca Raton GEO FEC records.
Richard K. Long,"Senior Vice President, Project Development",current,10,3,7,1,3000.0,0,0,1,3000.0,0,0,0,3000.0,"SEC proxy name/role plus FEC full middle name Kent, Coral Springs, GEO, and senior project/service titles."
David O. Meehan,"Senior Vice President, GEO Care",current,125,125,0,123,51897.6,123,51897.6,0,0,0,0,0,51897.6,SEC full name and role match the Boca Raton GEO FEC records.
Christopher D. Ryan,"Senior Vice President, Human Resources",current,159,128,31,126,61159.6,122,53959.6,4,7200.0,0,0,0,61159.6,SEC proxy states GEO human-resources service since 2011; only full-middle-name Florida GEO HR records are retained.
Donald Houston,"Senior Vice President, Health Services",current,99,25,74,25,10191.9,25,10191.9,0,0,0,0,0,10191.9,"SEC proxy title plus Boca Raton, GEO employer, and matching health-services title; other same-name records remain unresolved."
Daniel Ragsdale,"Senior Vice President, Contract Administration and Compliance",current,316,100,216,97,57467.6,86,40767.6,11,16700.0,2,4000.0,192.3,57275.3,SEC proxy title plus Boca Raton GEO contract/compliance titles; San Antonio and other common-name clusters remain unresolved.
Scott A. Schipma,"Senior Vice President, General Counsel and Corporate Secretary",current,22,22,0,22,8845.8,22,8845.8,0,0,0,0,0,8845.8,SEC full name and legal role match the Boca Raton GEO FEC records.
Ronald A. Brack,"Executive Vice President, Chief Accounting Officer and Controller",current,127,127,0,125,59659.3,123,55959.3,2,3700.0,0,0,0,59659.3,SEC full name and accounting role match the Boca Raton GEO FEC records.
Shayn P. March,"Executive Vice President, Finance and Treasurer",current,129,129,0,127,58709.3,123,55959.3,4,2750.0,0,0,0,58709.3,SEC full name and finance role match the Parkland/Boca GEO FEC records.
Nicole Mannarino,"Chief Compliance Officer and Controller, Financial Reporting",current,146,146,0,145,28480.0,114,27800.0,31,680.0,0,0,0,28480.0,SEC proxy states GEO financial-reporting service since 2012; the distinctive Florida GEO accounting records match.
Brian R. Evans,Former Chief Executive Officer and former Senior Vice President and CFO,former,28,25,3,20,31001.0,0,0,20,31001.0,1,11600.0,0,31001.0,2024 SEC proxy confirms GEO CFO service since 2009 and CEO appointment in 2024; only Florida GEO/CFO/CEO records are retained.
