context_id,role,dhs_component,public_prime,facility_or_rows,physical_facility_count,procurement_family_count,operator,recipient_architecture,verified_economic_or_control_evidence,recipient_visibility_result,materiality_status,primary_gaps,evidence_findings
KARNES,public-prime-chain,ICE,Karnes County,Karnes County Immigration Processing Center,1,1,GEO,ICE->Karnes County->GEO,"Funded annual task orders; invoice-to-CLIN substantiation and subcontract flow-down","Public-prime topology verified; downstream GEO amount not recovered",unquantified,"Funded orders; county-GEO agreement; rates; invoices; payments","12404;12442;12668"
LASALLE,public-prime-chain,ICE,LaSalle Economic Development District,"Alexandria Staging Facility; Central Louisiana ICE Processing Center",2,1,GEO,ICE->LEDD->GEO,"Same federal per diem and adjustments passed to GEO; tiered monthly fee; inspection rights; FY2023 ICE/GEO waterfall","Direct-recipient search does not express the LEDD-to-GEO economic layer","Material in one annual local ledger; not a seven-chain total","Federal task orders; later local amendments; invoice/check reconciliation","12407;12435;12436;12437;12657;12668"
CHARLTON,public-prime-chain,ICE,County of Charlton,"D. Ray James Correctional Facility; Folkston ICE Processing Center",2,1,GEO,ICE->Charlton County->GEO,"Quarterly county audit; bilateral 30-day convenience termination; GEO identified as subcontractor","Topology verified; economics redacted and downstream dollars absent",unquantified,"Federal task orders; unredacted compensation; county ledger; invoices","12405;12425;12439;12668"
CLEARFIELD,public-prime-chain,ICE,County of Clearfield,Moshannon Valley Processing Center,1,1,GEO,ICE->Clearfield County->GEO,"GEO-submitted equitable adjustment; local budget shows GEO/ICE pass-through and fee accounts","Economic role verified; account direction and structured-dollar recovery unresolved",partial-ambiguous,"County-GEO agreement; accounting direction; task-order join; invoices; checks","12408;12441;12668"
EVANGELINE,public-prime-chain,ICE,Evangeline Parish Sheriff's Office,"Pine Prairie ICE Processing Center; South Louisiana ICE Processing Center",2,1,GEO,ICE->Evangeline Parish Sheriff->GEO,"GEO identified as subcontractor; GEO-agreement-linked fund has equal additions and reductions","Topology verified; payer/payee identity and transaction direction unresolved",partial-ambiguous,"Federal task orders; local agreement; payer/payee ledger; invoices; fee schedule","12406;12438;12668"
MONTGOMERY,public-prime-chain,ICE,County of Montgomery,Joe Corley Processing Center,1,1,GEO,ICE/USMS->Montgomery County->GEO,"Same federal per diem passed to GEO net of historical fee; actual-detainee-day rule; GEO submitted current REA","Exact HigherGov and USAspending recipient queries failed; one verified ICE-chain visibility context","Large mixed ICE/USMS local fund; GEO share unquantified","Current agency split; county-GEO amendments; current fee; invoices; payments","12620;12624;12625;12626;12627;12628;12629;12660;12661;12668"
VALVERDE,public-prime-chain,CBP,County of Val Verde,Val Verde County Detention Facility,1,1,GEO,CBP->Val Verde County->GEO,"Historical IGA rider rates; GEO monthly invoices to county; county remittance to GEO","Same-day direct-GEO award deobligation and county-prime replacement creates a bounded recipient-name visibility loss","Current downstream economics unquantified; historical county-prime obligations are not GEO payments","Current county-GEO agreement; rates; invoices; remittances; fee; margin; reason for recipient switch","12711;12712;12713;12714;12727"
RGV-EH,direct-GEO-comparator,CBP,,East Hidalgo Detention Center,1,1,GEO,CBP->GEO,"Direct GEO PIID family; base IGA snapshot only","GEO visible as direct recipient; not a public-prime chain",not-applicable,"Current rates; invoices; utilization; facility allocation","12715;12716;12727"
RGV-CB,direct-GEO-comparator,CBP,,Coastal Bend Detention Center,1,1,GEO,CBP->GEO,"Direct GEO PIID family; base IGA snapshot only","GEO visible as direct recipient; not a public-prime chain",not-applicable,"Current rates; invoices; utilization; facility allocation","12715;12716;12727"
RGV-BR,direct-GEO-comparator,CBP,,Brooks County Detention Center,1,1,GEO,CBP->GEO,"Direct GEO PIID family; base IGA snapshot only","GEO visible as direct recipient; not a public-prime chain",not-applicable,"Current rates; invoices; utilization; facility allocation","12715;12716;12727"
MAVERICK,direct-GEO-comparator,CBP,,Maverick County Detention Facility,1,1,GEO,CBP->GEO,"Direct GEO BPA call mapped to Maverick; historical IGA snapshot only","GEO visible as direct recipient; not a public-prime chain",not-applicable,"2016 call package; contemporaneous rate; invoices; utilization","12717;12727"
