"row_id","context","finding_ids_or_artifact","source_family","dependency_cluster","independent_context_count","relationship_or_access","temporal_contemporaneity","named_decision_mechanism","procurement_or_performance_outcome","executive_bridge_reading","ordinary_explanation_reading","diagnosticity","disposition","hard_boundary"
"W11-01","Founder identity, governance, beneficial ownership, compensation, retirement, sales, and gifts","13039;13040;13041;13042;13043; Zoley Wave 11 report/timeline","SEC proxy and Forms 4","sec_governance_insider","1","Establishes founder-chairman-CEO authority, economic exposure, and insider status","Role periods and transaction dates are known","None; no political or agency intermediary, request routing, recusal, evaluation, approval, or intervention","None","Capacity predicate only; neutral on conversion of political access into a government decision","Expected founder governance and estate-planning record","None to low","No ACH assessment; descriptive context only","Proxy and Forms 4 are dependent corporate disclosure outputs, not multiple access contexts"
"W11-02","Florida officer-code entities","13044;13045; Zoley entity-role matrix","Florida Division of Corporations registry","fl_registry_officer_family","1","Shows officer-title codes at 16 active and 6 inactive entities in the GEO orbit","Current registry status and filing histories are recorded","None","None","Does not identify ownership, coordination, political access, or a government decision","Ordinary subsidiary and affiliate officer architecture is sufficient","None","No ACH assessment; network-volume control","Count 22 rows once; officer code is not beneficial ownership"
"W11-03","GEO Group Foundation presidency","13046","IRS nonprofit return extract","foundation_role","1","Shows Zoley as president with zero reported compensation","2023 return period","None; no contribution, grant, political payment, or agency contact at issue","None","No executive bridge","Ordinary related-foundation governance","None","No ACH assessment","Distinct source family but no decision proximity"
"W11-04","Personal property, compensation, retirement, stock sales, and gifts","13041;13042;13043;13047","SEC and Palm Beach County property records","personal_assets","1 analytical asset context; source families remain distinct","Establishes wealth/assets and estate-planning activity only","Dates and reporting periods are known","None; no money flow to an intermediary or official matter","None","Neutral absent a traced transfer, reimbursement, or decision mechanism","Ordinary compensation, ownership, residence, and estate planning","None","No ACH assessment","Asset magnitude is not access, motive, influence, or an outcome"
"W11-05","Personal political-money ledger","12523;12984;12985; donor report/person summary","FEC receipts plus SEC-bounded identity controls","fec_personal_money","1","Establishes substantial personal federal political participation, including Trump-named committee receipts under bounded identity rules","Receipt dates exist, but the ledger is identity-scoped rather than tenure- or decision-scoped","None; no reimbursement, bundling, solicitation, access event, request, or official-matter communication","None","Reason to test access, not evidence of a decision bridge","Ordinary personal giving remains sufficient","Low for causation; high for identity/arithmetic","No ACH assessment; existing political-money context","Receipts, committees, totals, and refunds are dependent ledger outputs, not independent causal votes"
"W11-06","2018 voluntary-work-program litigation-cost and Adelanto IGSA dispute","13004;13015;13048;13049; defense-cost report/matrix","Court declaration, GEO letter, ICE correspondence, contracting records","vwp_defense_cost_dispute","1","Directly establishes a Zoley ICE equitable-adjustment meeting, an Adelanto-government meeting, and senior ICE awareness of the company request","Contacts and requests are contemporaneous with the 2018 dispute","Ordinary contract-remedy request and agency routing are visible; no campaign, White House, donor, lobbyist, former-official, or consultant intervention is named","Contracting officers denied the requests; no acquired payment, compensating modification, appeal success, or DOJ takeover","Establishes access and advocacy but not political conversion; denial cuts against a simple successful-influence account","CEO-level advocacy followed by ordinary contracting-officer disposition fits the record","Medium on access; high on the observed remedy outcome; low on political causation","No new ACH assessment; already analyzed and #13049 alone does not encode the full episode","All letters, meetings, awareness records, requests, and denials count as one dispute episode"
"W11-07","House Homeland Security testimony about Adelanto incident","13050","House hearing transcript/video record","house_public_oversight","1","Establishes public testimony and acknowledgment of an incident","2020-07-13 hearing date","None; hearing participation is not acquisition or contract-administration contact","No cure, deduction, penalty, CPARS, option, renewal, termination, or other consequence identified","Does not establish a political or procurement bridge","Public congressional oversight explains the appearance","None to low","No ACH assessment against #335/#336","Keep separate from the 2018 dispute; testimony is not a procurement contact"
"W11-08","Controlling political-access versus DHS/GEO outcome synthesis","12939; prior Trump/DHS Tier 2 report and ACH","Prior dependency-weighted Tier 2 analysis","prior_controlling_synthesis","1 control","Dense political-access network already accepted","Multiple periods separately bounded in prior analysis","No accepted relationship-to-decision bridge","Aggregate expansion more directly explained by policy/budget/channel factors; vendor/facility selection remains unresolved","Wave 11 adds no named bridge","H0 remains substantially less inconsistent for aggregate expansion and weakly less inconsistent for vendor/facility selection","High as controlling synthesis","No new finding; #12939 unchanged","Coverage-bounded least-inconsistent result, not proof of absence"
"W11-09","Former-official, BI consulting, leadership, and lobbying competition","337;338; prior Wave 10 report/ACH","Existing ACH competition","geo_ice_expertise_channel","1 control","Existing functions and relationships remain documented","Prior analysis bounded timing and role gaps","#13049 names an internal CEO meeting, not coordination among the functions predicted by #337","No new function-linked procurement or policy outcome","Non-diagnostic for #337","Non-diagnostic for #338; prior #338 least-inconsistent result remains","None","No new ACH assessment","Do not import the full denial episode into a single-finding score or duplicate prior defense-cost analysis"
"W11-10","Performance-consequence competition","335;336; finding 13050; performance-consequence report/ACH","Existing ACH competition and House oversight record","geo_performance_consequence_gap","1 control","House testimony acknowledges an incident","Hearing is later than the acknowledged incident","No consequence decision mechanism identified","No applied remedy or performance consequence identified","Neutral between insulation and ordinary remedies","Neutral between insulation and ordinary remedies","None","No ACH update","Incident acknowledgment is not a remedy or consequence record"
"W11-11","Corporate political payer-selection competition","357;358; payer-selection report/ACH","Existing corporate payment ACH","geo_political_payer_selection_rule","1 control","Corporate political payment review and payer rotation remain separately documented","2016, 2024, and 2025 corporate contexts; personal receipts do not add corporate payer timing","No bank account, intercompany transfer, award-status comparison, or corporate payer-selection rule in Zoley's personal ledger","No procurement outcome","Personal giving does not test #357","Personal giving does not test #358; prior #358 least-inconsistent result remains","None","No ACH update","Keep individual FEC receipts separate from corporate treasury selection"
