"row_id","evidence_stream","lead_ids","finding_ids","verification_gate","primary_source_contexts","independence_dependency","metric_type","chronology","directional_reading","h1_material_access_effect","h0_policy_mechanics_effect","cannot_support","overall_diagnostic_note","aggregate_expansion_axis","vendor_selection_terms_axis","phase_status","durable_artifacts"
"D01","Trump-aligned political money streams","58870","12519;12520;12521;12522;12523;12524;12525","verified only","FEC donor and recipient filings; FEC MUR; GEO company report","FEC transactions are independent records by legal stream; the seven findings share one political-money ledger and must not be counted as seven independent contexts","contribution flow and legal-stream denominator","2016-2024 across first and third Trump campaign cycles","H1-consistent adjacency; not causal","Shows repeated corporate-subsidiary, PAC, inaugural, and individual support for Trump-aligned entities","Cross-party and unlabeled PAC denominators plus legally separate streams fit ordinary political participation","Any government contact, policy request, procurement intervention, award decision, reimbursement, or quid pro quo","low","low H1-consistent; low diagnostic weight","neutral; no selection bridge","complete input","2026-07-13-lead-58870-geo-trump-political-money.md;2026-07-13-geo-trump-political-money-ledger.csv;2026-07-13-geo-trump-political-money-summary.json"
"D02","Corporate federal committee reconstruction","59037","12752;12753;12754;12755;12756;12757;12758;12759","verified only; retracted #12751 excluded","FEC recipient filings; GEO 2024 and 2025 political reports","Recipient filings and company aggregates are separate records but describe overlapping payments; arithmetic residuals are not new independent contexts","recipient-reported gross receipts and company aggregate","2024-2025, including $1m MAGA-related receipts in each year","H1-consistent adjacency; weakly diagnostic","Shows financially material corporate-subsidiary giving to federal committees aligned with Trump politics","Unreconciled company-versus-recipient totals and distinct legal categories support accounting and classification caution","The actual payer account, internal purpose, recipient request, government access, or contract effect","low","low H1-consistent; low diagnostic weight","neutral; recipient money does not identify a procurement","complete input","2026-07-14-lead-59037-geo-corporate-federal-committee-reconciliation.md;2026-07-14-lead-59037-geo-corporate-federal-committee-reconciliation.json;2026-07-14-lead-59037-source-coverage-manifest.json"
"D03","Aggregate lobbying and contribution shift","57701","12866;12867","verified only","GEO 2024 and 2025 political activity reports","Successive unaudited company reports are one longitudinal disclosure series; calculations depend on those same reports","annual company-reported lobbying and contribution totals","2024 to 2025; federal lobbying +127.98%; state/local contributions +132.38%","mixed; scale is H1-consistent but non-diagnostic","Shows political activity expanded during the policy and procurement surge","Ordinary regulated-sector response and a large state/local shift remain plausible; totals do not identify a request or recipient","Recipient-level state/local identities, person-level contacts, or causation","low","low H1-consistent; low diagnostic weight","neutral; aggregate totals have no recipient or award link","complete input with state-recipient gate","2026-07-14-lead-57701-geo-political-network-parent-audit.md;2026-07-14-lead-57701-geo-political-network-machine-ledger.json;2026-07-14-lead-57701-source-coverage-manifest.json"
"D04","GEO LDA topical and temporal overlap","57701","12869","verified only","Senate LD-2; Public Law 119-21","The filing and public law are distinct records but form one timing synthesis; activity-level fields do not attribute individual contacts","lobbying expense, issue field, government-entity field, enactment chronology","Q2 2025 lobbying on H.R.1, ICE, immigration enforcement, and ATD; law enacted July 4","mixed; H1-consistent topic overlap, H0-consistent public policy surge","Shows GEO was lobbying on the same bill and ICE subject during the expansion window","The public appropriation supplies a demand and funding mechanism independent of any award-specific lobbying claim","GEO's position on the bill, a named communication, procurement request, source selection, or resulting decision","medium-low","mixed; H0 demand mechanism and H1 topical overlap","neutral; no named request or decision","complete input","2026-07-14-lead-57701-geo-political-network-parent-audit.md;2026-07-14-lead-57701-source-coverage-manifest.json"
"D05","Albence title-level advocacy and contribution gate","57701","12868","verified only","GEO political report; GEO SEC proxy","Company policy and proxy are complementary corporate disclosures, not independent proof of an action","governance role and approval-chain relationship","Albence joined GEO in 2022; approval structure disclosed for 2025","H1-consistent internal mechanism; equally H0-consistent formal governance","Places a former acting ICE director at a disclosed internal gate for external advocacy and contribution requests","Counsel and CEO/CFO controls are ordinary compliance architecture","That Albence approved a particular payment, contacted an official, influenced policy, or affected a procurement","medium-low","neutral","low H1-consistent internal mechanism; no external decision bridge","complete input","2026-07-14-lead-57701-geo-political-network-parent-audit.md;2026-07-14-lead-57701-source-coverage-manifest.json"
"D06","Consultant and trade-association network","57701","12870;12871","verified only","GEO political reports; selected Senate LDA filings","The roster and LDA filings are complementary; Day 1 and chamber figures are company representations; no person-to-contact attribution","firm roster, association payments, covered-position history","six federal firms in 2024 and nine in 2025; continuing association payments","mixed but non-diagnostic","Shows expanded access capacity and multiple former-official backgrounds","Broad government-relations staffing and trade-association participation are ordinary regulated-sector practices","Named government contacts, work assignments, award targets, or procurement authority","low","low H1-consistent access capacity","neutral","complete input","2026-07-14-lead-57701-geo-political-network-parent-audit.md;2026-07-14-lead-57701-geo-political-network-machine-ledger.json"
"D07","Revolving-door peer baseline","58137","12855;12856;12857;12858;12859","verified only","GEO and CoreCivic SEC proxies; federal directories; House hearing record; GAO","GEO and CoreCivic rosters are independent company contexts; MTC and LaSalle are incomplete private-company inventories; person rows within a company are not separate company contexts","role prevalence and role-authority taxonomy","current 2026 rosters with historical government service and join dates","mixed; GEO-specific ICE concentration, sector-wide former-corrections practice","GEO has three ICE leaders among 21 disclosed people versus zero ICE/DHS matches among 18 at CoreCivic","CoreCivic, MTC, and LaSalle show broader former-detention and corrections hiring; no matter-specific procurement authority was located","Statistical significance, private-peer prevalence, coordination, or a specific award decision","medium","mixed; GEO-specific concentration versus sector practice","neutral; no matter-specific authority","complete input","2026-07-14-geo-ice-dhs-revolving-door-peer-baseline.md;2026-07-14-geo-ice-dhs-revolving-door-peer-matrix.json;2026-07-14-geo-ice-dhs-revolving-door-source-manifest.json"
"D08","Homan pre-government consulting edge","58983","12526;12527;12528;12529","verified only","White House OGE disclosure; GEO SEC related-party disclosure; official corporate records","OGE compensation and GEO-Guidepost corporate payments are independent records but no source joins the engagements; the common Guidepost name is a dependent network path, not corroboration","compensation-source relationship and payer identity","services sometime from January 2023 to February 10, 2025; appointment January 20, 2025","H1-consistent adjacency; not diagnostic","Establishes reportable consulting for GEO Care and Guidepost before government service","Exact scope, date, amount, payer path, and any link to Guidepost's B.I. work remain absent; ordinary pre-government consulting remains plausible","Work on ICE/ISAP matters, direct GEO payment, recusal failure, or procurement influence","low","neutral","neutral; consulting scope and matter participation unknown","complete input","2026-07-13-lead-58983-homan-geo-guidepost-consulting.md;2026-07-13-lead-58983-homan-geo-guidepost-source-matrix.csv"
"D09","Venturella GEO proposal work and return to ICE","58985","12535;12536;12537;12538;12539;12540;12541","verified only","ICE archived leadership pages; GEO SEC filings; GAO; DHS APFS; OGE search guidance","ICE chronology, SEC compensation, and procurement-office placement are independent source families; vesting depends on the consulting agreement and does not prove retained holdings","role chronology, compensation, ethics-record gap, procurement-authority boundary","GEO consulting ended January 31, 2025 on the public record; ICE leadership appearance May 2026","H1-consistent high-relevance adjacency; current effect neutral","Former GEO proposal and renewal consultant later became ICE SOPTD Director during continued expansion","Public acquisition operations are assigned to M&A/OAQ; no Venturella procurement record or authority instrument was located","Current holdings, ethics screen, supervisory intervention, recusal failure, or any GEO award act","medium pending agency-held records","neutral","low H1-consistent but ethics and authority records pending","complete input with unresolved records","2026-07-13-lead-58985-venturella-ice-return-ethics.md;2026-07-13-lead-58985-venturella-source-matrix.csv"
"D10","Ballard lobbying and contact audit","59423","12724;12725;12726","verified only","complete Senate LDA series; DHS FOIA no-record response; OMB visitor files","LDA, bounded DHS response, and OMB appointments are distinct source families; OMB events lack client and purpose; no-record scope ends February 2019","lobbying income, roster chronology, bounded contact evidence","engagement February 2017 to January 2021","H0-consistent; weighs against observed H1 mechanism","Confirms administration-connected lobbyists and $1.8m engagement but no person-attributed procurement path","Complete activity filings and bounded contact/procurement negatives fit ordinary aggregate lobbying","Agency-wide absence, post-February-2019 contacts, private work papers, or no influence","medium","neutral","medium H0-consistent within bounded contact coverage","complete input","2026-07-13-ballard-geo-lobbying-contact-audit.md;2026-07-13-ballard-geo-lobbying-contact-audit.json"
