issue,record_or_claim,speaker_or_source_class,disposition,source,limitation
Solicitation identifier,Reported opinion and public pleadings identify 70RDA225R0000008; USAspending latest IDIQ field reports 70RDA225R00000018.,court record + federal spending system,unresolved conflict,CourtListener ECF 70; USAspending IDIQ detail,No signed public RFP was recovered; neither number should silently replace the other.
Competition,DHS sent the RFP to seven potential offerors and received four timely proposals.,court factual chronology from administrative record,established in reported opinion,"CourtListener ECF 70 pp. 20, 23",Potential offeror names remain redacted; limited competition was justified under FAR 6.302-2.
Source selection,"Salus alone received high confidence for technical approach and had the lowest $1,409,688 evaluated price.",court factual chronology from administrative record,established in reported opinion,CourtListener ECF 70 p. 23,"The evaluated price is a comparison scenario, not the $915 million ceiling, obligation, outlay, payment, or revenue."
OCI waiver,"The HCA acknowledged appearances of biased ground rules, unequal information, and impropriety, then approved a waiver based on urgency and mitigation.",agency determination quoted in court opinion,documented procurement judgment,CourtListener ECF 70 pp. 21-22,The waiver is not proof that an actual conflict did or did not exist.
GAO protest,CSI withdrew after outcome-predictive ADR; GAO issued no merits decision.,court chronology; expected-denial account attributed to CSI,withdrawn,CourtListener ECF 70 pp. 24-25,Do not describe the withdrawal as a GAO holding or merits denial.
Article III standing,The court dismissed under RCFC 12(h)(3) for lack of Article III standing.,court holding,primary ground,CourtListener ECF 70 pp. 65-66; ECF 68,Threshold disposition; distinct from statutory standing and alternative merits-prejudice analysis.
Statutory standing,"Alternatively, the court granted Salus's RCFC 12(b)(6) motion for lack of statutory standing.",court holding,alternative ground,CourtListener ECF 70 p. 66,Distinct from Article III standing and the further alternative cross-MJAR disposition.
Interested party and prejudice,"Alternatively, the court granted the government and Salus cross-MJARs because CSI failed to prove interested-party status and prejudice.",court holding,alternative merits ground,CourtListener ECF 70 p. 66,This was not a general merits adjudication of every procurement criticism.
Bad faith/unfair dealings,The court stated its review of the administrative record yielded no evidence of bad faith or unfair dealings.,court observation while denying judicial notice,record-bounded observation,CourtListener ECF 70 pp. 65-66,The court said CSI had not expressly pleaded those claims and limited these merits-related conclusions to the judicial-notice request.
Option-period documentation,The court said the CO may have misinterpreted FAR 6.302-2 and contemporaneous support for two option years appeared minimal.,court footnote,possible error not reached,CourtListener ECF 70 p. 19 n.16,CSI did not identify the possible error and the court did not decide it because of standing/prejudice conclusions.
Public structured subawards,Correct USAspending advanced and parent-award subaward queries returned zero CSRO rows.,federal structured reporting result,negative search result,USAspending advanced CSRO subaward export,"Reporting absence is not proof that Salus used no subcontractors, CTAs, vendors, or affiliates."
Afghan CARE antecedent,"The court says Salus performed as a CARE subcontractor; USAspending reports a $112,888,125 subaward to SALUS WORLDWIDE SOLUTIONS LLC under Xator task order 19AQMM23F0766.",court record + federal structured subaward,antecedent experience documented; entity resolution open,CourtListener ECF 70 pp. 13-14; USAspending PO-0018454,CSRO awardee is Corp. with UEI EA4VD72SB1W3; no primary record reviewed links the reported LLC and Corp. legal forms.
Trump-administration relationship,"Public court and procurement records establish fast policy-to-proposal chronology but no verified pre-award political-appointee, donation, investment, or favor bridge.",multi-source synthesis,not established in reviewed public record,CourtListener record; SAM extract; exact FEC searches; USAspending,"Absence is bounded to reviewed names, systems, public filings, and the public/redacted record; sealed/protected material and unidentified intermediaries remain outside it."
GEO Group relationship,"No operational, ownership, subcontract, investment, donation, or procurement relationship between Salus and GEO was identified in the reviewed public record.",multi-source negative-result synthesis,not established in reviewed public record,Public COFC/RECAP set; Salus corporate disclosure; SAM extract; USAspending CSRO subaward search; exact EDGAR-oriented search,"Not proof of no relationship. Congressional exhibits mention GEO as a separate comparator/contractor, not as a demonstrated Salus partner."
Later direct ICE relationship,"ICE awarded Salus a separate $4,317,331.04 aircraft-maintenance purchase order in May 2026.",federal spending system,separate verified instrument,USAspending 70CDCR26P00000010,Excluded from CSRO totals; one-off award reporting does not establish political influence.
