source_family,query_or_identifier,coverage,outcome,material_output,limitations,archive_path
SEC proxy,"GEO CIK 0000923796; 2026 DEF 14A",full primary filing,positive,"identity bridge; parent-company role chronology; 4,252,529 shares/3.20%; 2025 compensation; retirement balance","issuer disclosure; ownership figure includes voting restricted shares",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/sec/sec-geo-2026-def14a.html
SEC Forms 3/4/5,"owner CIK 0001012998; 2022-2026",96 matches; 23 detailed 2022-2026 forms; all 13 forms for 2025-2026 archived as raw XML,positive,"estate-planning sales; grants; tax surrenders; 2026 gifts; direct holdings reconciliation","local --detail parser missed XSL-linked transactions; raw XML used; papercut #1040",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/sec/raw
SEC 13D/G,"George Zoley",bounded,negative,"two historical incidental documents; no Zoley filer result","not evidence of a new ownership filing",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/sec/sec-edgar-george-zoley-13dg.json
Florida corporate registry,"George Zoley / George C. Zoley",complete exact officer result set,positive,"22 officer rows: 16 active / 6 inactive; 21 new role rows beyond existing Baker role","title codes preserved; officer status is not ownership",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/registry/registry-officers-george-zoley.json
Florida UCC,"George C. Zoley",exact name,negative,0 filings,"Florida only",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/registry/registry-ucc-george-c-zoley-fl.json
OpenCorporates,"George C. Zoley",attempted,blocked,no output,"invalid configured API token; papercut #1044",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/logs/opencorporates-officers-george-c-zoley.log
Palm Beach property,"George C Zoley",official exact owner page,positive,"co-owner record; 2012 sale; 2025 values","street address suppressed in narrative/findings",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/property/pbcpao-parcel-06434729100170160.html
CourtListener/RECAP,"George C. Zoley",46 RECAP hits; 21 party dockets; 100 document hits,positive bounded,"Novoa sworn declaration and capacity classification","most dockets were named-defendant/incidental and already covered; no broad litigation duplicates",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/court
Government releases,"George Zoley",full local corpus search,negative,0 results,"punctuated query initially failed; retry succeeded; papercut #1041",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/political/government-releases-george-zoley.json
SEC enforcement,"George Zoley",litigation/admin/AAER corpora,negative,0 results,"punctuated query initially failed; retry succeeded; papercut #1042",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/political/sec-enforcement-george-zoley.json
IRS 990,"George C. Zoley; George Zoley; EIN 27-4034030",person exact plus organization lookup,positive,"2023 foundation president; $0 compensation","person-name search returned zero; EIN lookup resolved the role",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/nonprofit
LDA/FARA,"George C. Zoley",exact person,negative,"0 LDA lobbyist; 0 contribution; 0 FARA registrant/principal","zero-result output/count frictions logged #1043/#1045",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/political
Congress official event,"George Zoley / George C. Zoley",official hearing record,positive,"July 13 2020 House testimony and Adelanto chemical-agent acknowledgment","witness statement/testimony; not independent adjudication",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/political/congress-house-hearing-43192.pdf
FEC,prior identity-controlled ledger,full prior ledger checksum/recomputation,control,"272 hashes pass; 186 rows; $1,140,393.90 gross","no broad donor rerun and no new donor finding",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/controls/prior-fec-sha-check.txt
LittleSis/OpenSanctions/GLEIF,"George C. Zoley",exact person,negative,0 exact results,"discovery sources only",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/network
ICIJ offshore,"George C. Zoley",reconcile 50 fuzzy candidates,negative,"0 match=true candidates","fuzzy names were not identity-resolved",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/network/icij-george-c-zoley.json
FAA,"George C. Zoley",exact person,negative,0 results,"name-only bounded check",investigations/geo-group/sources/2026-07-14-lead-60514-george-zoley-deep-dive-wave11/network/faa-george-c-zoley.json
