facility,report_id,report_date,row_evidentiary_role,oversight_body,oversight_record_type,oversight_issue_domain,oversight_quote,oversight_source_url,award_or_vehicle,report_consequence_class,deficiency_notice_or_discrepancy,ucap_or_corrective_action,cure_or_show_cause,invoice_deduction_or_withheld_payment,award_fee_or_cpars,option_extension_renewal,later_capacity_or_funding,agency_response_or_control,consequence_evidence_refs,public_record_gap,causation_limit,linked_findings
Adelanto ICE Processing Center,OIG-18-86,2018-09-27,adverse_or_systemic_observation,DHS OIG,unannounced inspection,PBNDS / health and safety,serious issues that violate ICE’s 2011 Performance-Based National Detention Standards and pose significant health and safety risks at the facility,https://www.oig.dhs.gov/sites/default/files/assets/Mga/2018/oig-18-86-sep18.pdf,70CDCR20D00000009 (later direct ICE period; do not merge with historical City D-IGSA),corrective_follow_up_no_public_financial_effect,The OIG report itself documented PBNDS violations; no separate contractual discrepancy/cure notice was located.,ICE said it would conduct a full inspection and Special Assessment Review; July 2024 ODO follow-up reported no findings.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2019-12-20 through 2029-12-19; FY2026 task 70CDCR26FR0000028.,"FY2026 task actions totaled $86,404,000 through 2026-06-10; the descriptions fund detention and transportation, not a performance remedy.",ICE stated that it conducted a full inspection and a Special Assessment Review.,OIG-18-86 | HigherGov:70CDCR20D00000009 | USAspending:70CDCR26FR0000028,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12789 | 12790 | 12801
Adelanto ICE Processing Center,OIG-19-47,2019-06-03,adverse_or_systemic_observation,DHS OIG,unannounced inspection,segregation,"Our spot inspections of the Adelanto, Essex, and Aurora facilities identified serious issues with the administrative and disciplinary segregation of detainees.",https://www.oig.dhs.gov/sites/default/files/assets/2019-06/OIG-19-47-Jun19.pdf,70CDCR20D00000009 (later direct ICE period; do not merge with historical City D-IGSA),aggregate_corrective_response_no_facility_financial_effect,Aggregate OIG report; no facility-specific contract discrepancy or cure notice located.,ICE reported corrective action when warranted and promised follow-up documentation; the recommendation was resolved/open at issuance.,No public cure/show-cause letter located in the reviewed official sources.,"No facility-specific deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2019-12-20 through 2029-12-19; FY2026 task 70CDCR26FR0000028.,"FY2026 task actions totaled $86,404,000 through 2026-06-10; the descriptions fund detention and transportation, not a performance remedy.",ICE stated field offices had taken corrective action at each facility when warranted.,OIG-19-47 | HigherGov:70CDCR20D00000009 | USAspending:70CDCR26FR0000028,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12789 | 12790 | 12801
Denver Contract Detention Facility,OIG-19-47,2019-06-03,adverse_or_systemic_observation,DHS OIG,unannounced inspection,segregation,"Our spot inspections of the Adelanto, Essex, and Aurora facilities identified serious issues with the administrative and disciplinary segregation of detainees.",https://www.oig.dhs.gov/sites/default/files/assets/2019-06/OIG-19-47-Jun19.pdf,HSCEDM11D00003 (historical); 70CDCR22D00000001 (later direct IDIQ),aggregate_corrective_response_no_facility_financial_effect,Aggregate OIG report; no facility-specific contract discrepancy or cure notice located.,ICE reported corrective action when warranted and promised follow-up documentation; the recommendation was resolved/open at issuance.,No public cure/show-cause letter located in the reviewed official sources.,"No facility-specific deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2021-10-16 through 2026-10-15; annual task orders continued after the 2024 reports.,"P00011 on 70CDCR25FR0000005 added $7,004,194.70 and increased the maximum number of beds on 2025-09-23.",ICE stated field offices had taken corrective action at each facility when warranted.,OIG-19-47 | USAspending:70CDCR25FR0000005-P00011,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12799 | 12800 | 12802 | 12820
Northwest ICE Processing Center,OIG-20-45,2020-07-01,adverse_or_systemic_observation,DHS OIG,unannounced inspection,grievance timeliness,"Of the 467 grievances filed from September 2018 to March 2019 at Northwest, 222 (47 percent) did not meet the 5-calendar-day response requirement, with 144 taking 10 days or longer to provide a response.",https://www.oig.dhs.gov/sites/default/files/assets/2020-07/OIG-20-45-Jul20.pdf,HSCEDM15D00015 (through 2025); 70CDCR26D00000026 (2026 bridge),planned_sar_with_later_recurrence,The OIG report documented Northwest grievance deficiencies; no separate contractual notice located.,ICE planned a Special Assessment Review; later OIG/ODO records found grievance or repeat deficiencies.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,P00008 extended FY2025 task 70CDCR25FR0000004; a later seven-month sole-source IDIQ/task runs through 2026-10-27.,"P00008 added $11,894,500 for services including expansion, remote posts, and overtime beds; the 2026 bridge task records $39,042,746.99 in the current universe.",ICE concurred and directed field offices to take ongoing actions.,OIG-20-45 | USAspending:70CDCR25FR0000004-P00008 | USAspending:70CDCR26D00000026 | USAspending:70CDCR26FR0000055,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12792 | 12795 | 12796 | 12803 | 12804 | 12819 | 12822 | 12823
South Texas ICE Processing Center,OIG-22-40,2022-04-22,adverse_or_systemic_observation,DHS OIG,unannounced inspection,grievances / segregation / COVID-19 / communication,"South Texas did not meet standards for grievances, segregation, COVID-19 response, or detainee communication.",https://www.oig.dhs.gov/sites/default/files/assets/2022-05/OIG-22-40-Apr22.pdf,HSCEDM12D00001 (historical); 70CDCR20D00000012 (later direct IDIQ),closed_readiness_response_minimum_preserved,OIG documented deficiencies and approximately $18 million paid for unused guaranteed beds; no separate cure notice located.,Three recommendations were closed at issuance; recommendations 2 and 4 remained publicly open on 2026-07-14. Recommendation 5 closed after ICE described combining housing units to meet the guaranteed minimum while following pandemic rules.,No public cure/show-cause letter located in the reviewed official sources.,"The public report documents full guaranteed-minimum economics, not a deduction or rate reduction.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ ordering period runs 2020-08-06 through 2030-08-05; FY2025 task 70CDCR25FR0000091 continued into 2026.,"P00001 incorporated emergency beds on 2025-09-16; current task actions total $57,517,165.28, but the public descriptions do not link the expansion to OIG-22-40.",ICE concurred with all five recommendations.,OIG-22-40 | USAspending:70CDCR20D00000012 | USAspending:70CDCR25FR0000091-P00001,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12793 | 12794 | 12818 | 12821
South Texas ICE Processing Center,OIG-22-40,2022-04-22,control_or_counterevidence,DHS OIG,unannounced inspection,legal services / voluntary work / classification / medical,"South Texas complied with standards for legal services, the voluntary work program, and detainee classification and provided sufficient medical care to detainees.",https://www.oig.dhs.gov/sites/default/files/assets/2022-05/OIG-22-40-Apr22.pdf,HSCEDM12D00001 (historical); 70CDCR20D00000012 (later direct IDIQ),closed_readiness_response_minimum_preserved,OIG documented deficiencies and approximately $18 million paid for unused guaranteed beds; no separate cure notice located.,Three recommendations were closed at issuance; recommendations 2 and 4 remained publicly open on 2026-07-14. Recommendation 5 closed after ICE described combining housing units to meet the guaranteed minimum while following pandemic rules.,No public cure/show-cause letter located in the reviewed official sources.,"The public report documents full guaranteed-minimum economics, not a deduction or rate reduction.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ ordering period runs 2020-08-06 through 2030-08-05; FY2025 task 70CDCR25FR0000091 continued into 2026.,"P00001 incorporated emergency beds on 2025-09-16; current task actions total $57,517,165.28, but the public descriptions do not link the expansion to OIG-22-40.",Documented ordinary readiness response; the public record does not show that the guaranteed minimum or rates were changed.,OIG-22-40 | USAspending:70CDCR20D00000012 | USAspending:70CDCR25FR0000091-P00001,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12793 | 12794 | 12818 | 12821
Folkston ICE Processing Center,OIG-22-47,2022-07-01,adverse_or_systemic_observation,DHS OIG,unannounced inspection,conditions / medical / grievances / segregation / communication / property,"Folkston did not meet standards for facility conditions, medical care, grievances, segregation, staff-detainee communication, and detainee property.",https://www.oig.dhs.gov/sites/default/files/assets/2022-07/OIG-22-47-July22.pdf,EROIGSA-17-0002 (Charlton County prime; GEO downstream operator),documented_penalty_non_enforcement_with_operational_cost,ICE filed staffing-related contract discrepancy reports in 2019 and 2021.,Twelve recommendations were closed at issuance and one open; staffing recommendation 12 is now publicly closed. ICE said vendor-paid overtime covered posts while hiring continued.,No public cure/show-cause letter located in the reviewed official sources.,OIG said ICE did not enforce the stated financial penalties and Folkston continued to receive full contract funding.,No public award-fee or CPARS record located; absence is not proof that none exists.,Signed modification P00022 lists performance through 2027-02-15; it is not a remedy document.,ICE reported all posts covered with overtime at the vendor's expense while hiring continued.,ICE concurred with all 13 recommendations.,OIG-22-47 | ICE:EROIGSA-17-0002-P00022 | DHS-OIG:OIG-22-47#p29,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12425 | 12426 | 12427
Folkston ICE Processing Center,OIG-22-47,2022-07-01,control_or_counterevidence,DHS OIG,unannounced inspection,legal services / voluntary work / classification,"Folkston complied with standards for access to legal services, the voluntary work program, and detainee classification.",https://www.oig.dhs.gov/sites/default/files/assets/2022-07/OIG-22-47-July22.pdf,EROIGSA-17-0002 (Charlton County prime; GEO downstream operator),documented_penalty_non_enforcement_with_operational_cost,ICE filed staffing-related contract discrepancy reports in 2019 and 2021.,Twelve recommendations were closed at issuance and one open; staffing recommendation 12 is now publicly closed. ICE said vendor-paid overtime covered posts while hiring continued.,No public cure/show-cause letter located in the reviewed official sources.,OIG said ICE did not enforce the stated financial penalties and Folkston continued to receive full contract funding.,No public award-fee or CPARS record located; absence is not proof that none exists.,Signed modification P00022 lists performance through 2027-02-15; it is not a remedy document.,ICE reported all posts covered with overtime at the vendor's expense while hiring continued.,"Strongest public GEO example of documented non-enforcement; invoice amounts, waivers, and closure support remain unavailable.",OIG-22-47 | ICE:EROIGSA-17-0002-P00022 | DHS-OIG:OIG-22-47#p29,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12425 | 12426 | 12427
Northwest ICE Processing Center,OIG-23-26,2023-05-22,adverse_or_systemic_observation,DHS OIG,unannounced inspection,grievances / language / food / medical staffing,Northwest did not always provide timely responses to detainee grievances and did not always respond to detainee requests and grievances in a language understood by the detainee.,https://www.oig.dhs.gov/sites/default/files/assets/2023-05/OIG-23-26-May23.pdf,HSCEDM15D00015 (through 2025); 70CDCR26D00000026 (2026 bridge),open_contract_correction_plus_later_extension,OIG documented facility deficiencies; no separate cure/show-cause notice located.,"Three recommendations closed, four resolved/open, and recommendation 7 unresolved/open after ICE non-concurred with adjusting the guaranteed minimum; public page still showed 1, 2, 3, 7, and 8 open on 2026-07-14.",No public cure/show-cause letter located in the reviewed official sources.,No public deduction or CPARS consequence located; recommendation 7 sought a contract-minimum adjustment.,No public award-fee or CPARS record located; absence is not proof that none exists.,P00008 extended FY2025 task 70CDCR25FR0000004; a later seven-month sole-source IDIQ/task runs through 2026-10-27.,"P00008 added $11,894,500 for services including expansion, remote posts, and overtime beds; the 2026 bridge task records $39,042,746.99 in the current universe.",ICE concurred with seven recommendations and did not concur with one.,OIG-23-26 | USAspending:70CDCR25FR0000004-P00008 | USAspending:70CDCR26D00000026 | USAspending:70CDCR26FR0000055,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12792 | 12795 | 12796 | 12803 | 12804 | 12819 | 12822 | 12823
Northwest ICE Processing Center,OIG-23-26,2023-05-22,control_or_counterevidence,DHS OIG,unannounced inspection,intake / classification / conditions / legal / recreation / segregation / use of force / requests,"the facility complied with standards for intake and classification; facility conditions, including housing and hygiene; detainee access to law library and legal services; recreation; segregation; use of force; and providing timely responses to detainee requests",https://www.oig.dhs.gov/sites/default/files/assets/2023-05/OIG-23-26-May23.pdf,HSCEDM15D00015 (through 2025); 70CDCR26D00000026 (2026 bridge),open_contract_correction_plus_later_extension,OIG documented facility deficiencies; no separate cure/show-cause notice located.,"Three recommendations closed, four resolved/open, and recommendation 7 unresolved/open after ICE non-concurred with adjusting the guaranteed minimum; public page still showed 1, 2, 3, 7, and 8 open on 2026-07-14.",No public cure/show-cause letter located in the reviewed official sources.,No public deduction or CPARS consequence located; recommendation 7 sought a contract-minimum adjustment.,No public award-fee or CPARS record located; absence is not proof that none exists.,P00008 extended FY2025 task 70CDCR25FR0000004; a later seven-month sole-source IDIQ/task runs through 2026-10-27.,"P00008 added $11,894,500 for services including expansion, remote posts, and overtime beds; the 2026 bridge task records $39,042,746.99 in the current universe.",Contract correction remained open while later task extension/expansion actions occurred; the records do not state that oversight caused or was ignored in those actions.,OIG-23-26 | USAspending:70CDCR25FR0000004-P00008 | USAspending:70CDCR26D00000026 | USAspending:70CDCR26FR0000055,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12792 | 12795 | 12796 | 12803 | 12804 | 12819 | 12822 | 12823
